FILE	 Wves_predicted	 Wves_actual	 coherence	 thresh_predicted	 thresh_actual_d0	 coherence	 thresh_actual_all	 thresh_actual_pm	 bias_delta0	 Wves_actual_minus	 Wves_actual_plus
m19c0r59.htb	0.734	0.856	12	2.685	3.616	12	3.046	2.76	-0.526	0.995	0.718
m19c0r59.htb	0.076	0.464	45	0.861	2.339	45	2.101	1.981	0.43	0.4	0.528
m19c0r59.htb	0.734	0.856	12	2.685	3.616	12	3.046	2.76	-0.526	0.995	0.718
m19c0r59.htb	0.076	0.464	45	0.861	2.339	45	2.101	1.981	0.43	0.4	0.528
m19c0r59.htb	0.734	0.856	12	2.685	3.616	12	3.046	2.76	-0.526	0.995	0.718
m19c0r59.htb	0.076	0.464	45	0.861	2.339	45	2.101	1.981	0.43	0.4	0.528
m18c0r211.htb	1	0.727	10	5.978	-62.616	10	-11.405	14.201	2.514	1.334	0.119
m18c0r211.htb	0.11	0.292	50	1.982	7.649	50	6.662	6.168	-2.468	-0.432	1.017
m18c0r212.htb	0.999	0.795	10	0.945	3.574	10	3.732	3.811	-3.179	0.866	0.723
m18c0r212.htb	0.788	0.716	50	0.839	9.041	50	7.421	6.612	-7.87	-0.446	1.877
m18c0r212.htb	0.999	0.795	10	0.945	3.574	10	3.732	3.811	-3.179	0.866	0.723
m18c0r212.htb	0.788	0.716	50	0.839	9.041	50	7.421	6.612	-7.87	-0.446	1.877
m18c0r213.htb	0.135	0.683	10	1.917	2.674	10	2.775	2.825	0.903	0.782	0.584
m18c0r213.htb	0.032	0.247	50	0.936	1.117	50	0.78	0.611	0.468	0.381	0.113
m18c0r214.htb	0.17	0.556	10	4.317	3.632	10	3.018	2.711	1.857	0.717	0.394
m18c0r214.htb	0.018	0.12	50	1.409	0.97	50	0.877	0.831	0.351	0.136	0.105
m18c0r211.htb	1	0.727	10	5.978	-62.616	10	-11.405	14.201	2.514	1.334	0.119
m18c0r211.htb	0.11	0.292	50	1.982	7.649	50	6.662	6.168	-2.468	-0.432	1.017
m18c0r213.htb	0.135	0.683	10	1.917	2.674	10	2.775	2.825	0.903	0.782	0.584
m18c0r213.htb	0.032	0.247	50	0.936	1.117	50	0.78	0.611	0.468	0.381	0.113
m19c0r60.htb	0.497	0.886	12	2.125	2.965	12	3.02	3.047	-1.208	0.805	0.967
m19c0r60.htb	0.066	0.63	45	0.773	1.727	45	1.791	1.823	0.04	0.557	0.702
m18c0r215.htb	0.576	0.976	10	3.444	2.959	10	3.325	3.508	2.46	0.998	0.955
m18c0r215.htb	0.077	0.31	50	1.256	1.218	50	1.365	1.438	0.514	0.363	0.258
m19c0r61.htb	0.682	0.8	11	1.787	2.756	11	2.999	3.121	-0.634	0.892	0.709
m19c0r61.htb	0.198	0.404	60	0.963	0.892	60	1.385	1.632	0.714	0.386	0.422
m18c0r216.htb	0.698	0.749	12	2.275	3.89	12	3.648	3.528	0.383	0.492	1.007
m18c0r216.htb	0.006	0.248	50	0.217	0.847	50	1.181	1.348	0.394	0.31	0.186
m18c0r216.htb	0.698	0.749	12	2.275	3.89	12	3.648	3.528	0.383	0.492	1.007
m18c0r216.htb	0.006	0.248	50	0.217	0.847	50	1.181	1.348	0.394	0.31	0.186
m18c0r217.htb	0.709	0.708	12	2.213	3.629	12	3.422	3.318	0.526	0.457	0.958
m18c0r217.htb	0.034	0.242	50	0.485	0.889	50	1.098	1.203	0.237	0.276	0.207
m19c0r62.htb	0.32	0.704	11	2.738	2.747	11	3.154	3.357	-2.236	0.922	0.486
m19c0r62.htb	0.111	0.409	60	1.609	1.318	60	1.632	1.789	0.407	0.461	0.357
m19c0r63.htb	0.407	0.787	11	3.094	2.855	11	3.867	4.372	-1.201	0.833	0.74
m19c0r63.htb	0.035	0.415	60	0.912	1.882	60	1.484	1.284	0.276	0.486	0.344
m18c0r218.htb	0.831	0.798	10	2.762	3.57	10	3.372	3.273	1.644	0.695	0.901
m18c0r218.htb	0.125	0.264	60	1.07	0.856	60	0.982	1.044	0.777	0.288	0.239
m19c0r64.htb	0.69	0.907	10	3.152	3.597	10	2.634	2.152	-0.577	0.95	0.863
m19c0r64.htb	0.064	0.285	70	0.957	1.103	70	1.185	1.226	0.929	0.336	0.234
m18c0r221.htb	0.638	0.861	12	3.709	3.423	12	3.432	3.436	3.233	0.998	0.724
