FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c193r2.htb 0.000 0.000 0.096 0.269 0.462 0.481 0.808 1.000 1.000 0.000 0.019 0.096 0.288 0.327 0.442 0.654 0.981 1.000 0.000 0.000 0.077 0.269 0.423 0.615 0.885 1.000 1.000 0.452 0.427 0.462 0.528 0.472 0.538 0.573 0.548 0.525 0.481 0.480 0.464 0.536 0.520 0.519 0.475 0.423 0.483 0.516 0.566 0.434 0.484 0.517 0.577 
m2c195r2.htb 0.000 0.000 0.133 0.267 0.567 0.600 0.900 1.000 1.000 0.000 0.000 0.200 0.467 0.467 0.700 0.867 0.967 1.000 0.000 0.000 0.100 0.300 0.733 0.767 0.933 1.000 1.000 0.487 0.457 0.423 0.385 0.615 0.577 0.543 0.513 0.489 0.426 0.484 0.556 0.444 0.516 0.574 0.511 0.434 0.509 0.531 0.524 0.476 0.469 0.491 0.566 
m2c196r3.htb 0.000 0.000 0.000 0.148 0.357 0.593 0.778 1.000 1.000 0.000 0.037 0.333 0.407 0.393 0.593 0.821 1.000 1.000 0.000 0.000 0.074 0.148 0.321 0.607 0.889 1.000 1.000 0.013 0.076 0.113 0.393 0.607 0.887 0.924 0.987 0.000 0.035 0.239 0.350 0.650 0.761 0.965 1.000 0.000 0.000 0.170 0.464 0.536 0.830 1.000 1.000 
m2c197r2.htb 0.000 0.000 0.095 0.238 0.262 0.595 0.833 1.000 1.000 0.000 0.000 0.310 0.476 0.628 0.837 0.929 1.000 1.000 0.000 0.000 0.167 0.214 0.595 0.500 0.881 1.000 1.000 0.078 0.176 0.287 0.334 0.666 0.713 0.824 0.922 0.000 0.006 0.259 0.295 0.705 0.741 0.994 1.000 0.005 0.006 0.212 0.357 0.643 0.788 0.994 0.995 
m2c198r2.htb 0.000 0.000 0.100 0.190 0.450 0.800 0.950 1.000 1.000 0.000 0.048 0.200 0.600 0.524 0.900 0.850 1.000 1.000 0.000 0.000 0.100 0.350 0.650 0.800 1.000 1.000 1.000 0.127 0.290 0.226 0.324 0.676 0.774 0.710 0.873 0.025 0.149 0.492 0.417 0.583 0.507 0.851 0.975 0.067 0.166 0.283 0.429 0.571 0.717 0.834 0.933 
m2c199r2.htb 0.000 0.000 0.200 0.267 0.633 0.833 0.933 1.000 1.000 0.000 0.000 0.100 0.267 0.500 0.633 0.833 1.000 1.000 0.000 0.000 0.167 0.267 0.600 0.800 1.000 1.000 1.000 0.146 0.268 0.401 0.533 0.467 0.599 0.732 0.854 0.078 0.314 0.429 0.423 0.577 0.571 0.686 0.922 0.101 0.164 0.242 0.534 0.466 0.758 0.836 0.899 
m2c200r2.htb 0.000 0.000 0.067 0.467 0.533 0.767 0.800 1.000 1.000 0.000 0.000 0.100 0.267 0.300 0.733 0.800 1.000 1.000 0.000 0.000 0.033 0.233 0.367 0.600 0.867 1.000 1.000 0.079 0.136 0.389 0.491 0.509 0.611 0.864 0.921 0.017 0.133 0.403 0.444 0.556 0.597 0.867 0.983 0.000 0.128 0.273 0.543 0.457 0.727 0.872 1.000 
m2c202r2.htb 0.000 0.000 0.075 0.175 0.425 0.750 0.925 1.000 1.000 0.000 0.000 0.150 0.375 0.625 0.825 0.950 1.000 1.000 0.000 0.000 0.100 0.125 0.475 0.675 0.875 1.000 1.000 0.433 0.403 0.502 0.426 0.574 0.498 0.597 0.567 0.295 0.329 0.419 0.450 0.550 0.581 0.671 0.705 0.375 0.386 0.404 0.528 0.472 0.596 0.614 0.625 
m2c214r2.htb 0.000 0.000 0.192 0.462 0.654 0.654 1.000 1.000 1.000 0.000 0.000 0.038 0.192 0.615 0.538 0.962 1.000 1.000 0.000 0.000 0.077 0.462 0.538 0.923 1.000 1.000 1.000 0.108 0.274 0.325 0.348 0.652 0.675 0.726 0.892 0.000 0.037 0.242 0.277 0.723 0.758 0.963 1.000 0.000 0.009 0.203 0.352 0.648 0.797 0.991 1.000 
m2c220r2.htb 0.000 0.000 0.150 0.350 0.500 0.750 0.800 1.000 1.000 0.000 0.000 0.300 0.600 0.750 0.700 1.000 1.000 1.000 0.000 0.000 0.050 0.350 0.650 0.800 0.950 1.000 1.000 0.351 0.406 0.607 0.310 0.690 0.393 0.594 0.649 0.010 0.200 0.305 0.545 0.455 0.695 0.800 0.990 0.100 0.389 0.338 0.515 0.485 0.663 0.611 0.900 
m2c221r2.htb 0.036 0.036 0.143 0.321 0.357 0.571 0.857 0.964 1.000 0.000 0.000 0.071 0.214 0.536 0.750 0.786 1.000 1.000 0.000 0.000 0.036 0.214 0.500 0.714 0.929 1.000 1.000 0.193 0.431 0.334 0.343 0.657 0.666 0.569 0.807 0.451 0.377 0.578 0.473 0.527 0.422 0.623 0.549 0.071 0.223 0.351 0.482 0.518 0.649 0.777 0.929 
m2c223r2.htb 0.000 0.000 0.139 0.611 0.750 0.750 0.917 0.972 1.000 0.000 0.000 0.028 0.278 0.611 0.611 0.861 1.000 1.000 0.000 0.000 0.111 0.389 0.667 0.861 1.000 1.000 1.000 0.257 0.411 0.434 0.412 0.588 0.566 0.589 0.743 0.431 0.482 0.383 0.523 0.477 0.617 0.518 0.569 0.085 0.285 0.362 0.431 0.569 0.638 0.715 0.915 
m2c226r2.htb 0.000 0.000 0.200 0.257 0.429 0.686 0.829 1.000 1.000 0.000 0.000 0.143 0.429 0.571 0.800 0.943 1.000 1.000 0.000 0.000 0.057 0.400 0.571 0.657 0.971 1.000 1.000 0.029 0.169 0.326 0.469 0.531 0.674 0.831 0.971 0.027 0.351 0.446 0.486 0.514 0.554 0.649 0.973 0.018 0.107 0.449 0.537 0.463 0.551 0.893 0.982 
m2c231r2.htb 0.000 0.000 0.097 0.290 0.419 0.742 0.774 1.000 1.000 0.000 0.000 0.258 0.323 0.645 0.871 0.903 1.000 1.000 0.000 0.000 0.065 0.194 0.645 0.774 0.968 1.000 1.000 0.303 0.367 0.368 0.401 0.599 0.632 0.633 0.697 0.055 0.240 0.460 0.532 0.468 0.540 0.760 0.945 0.178 0.334 0.305 0.432 0.568 0.695 0.666 0.822 
m2c233r2.htb 0.000 0.000 0.074 0.296 0.407 0.667 0.926 1.000 1.000 0.000 0.037 0.111 0.259 0.630 0.778 0.889 1.000 1.000 0.000 0.000 0.037 0.259 0.296 0.778 0.926 1.000 1.000 0.464 0.466 0.381 0.481 0.519 0.619 0.534 0.536 0.263 0.256 0.556 0.452 0.548 0.444 0.744 0.737 0.259 0.500 0.433 0.387 0.613 0.567 0.500 0.741 
m2c236r2.htb 0.000 0.000 0.075 0.200 0.200 0.675 0.800 1.000 1.000 0.000 0.000 0.073 0.225 0.225 0.756 0.854 1.000 1.000 0.000 0.000 0.025 0.200 0.390 0.675 0.950 1.000 1.000 0.206 0.230 0.332 0.343 0.657 0.668 0.770 0.794 0.301 0.588 0.537 0.563 0.437 0.463 0.412 0.699 0.269 0.424 0.385 0.416 0.584 0.615 0.576 0.731 
m2c237r2.htb 0.000 0.022 0.156 0.422 0.644 0.578 0.978 1.000 1.000 0.000 0.000 0.178 0.356 0.578 0.800 0.955 1.000 1.000 0.000 0.023 0.267 0.333 0.682 0.800 0.978 1.000 1.000 0.330 0.452 0.319 0.524 0.476 0.681 0.548 0.670 0.016 0.148 0.373 0.391 0.609 0.627 0.852 0.984 0.019 0.110 0.361 0.422 0.578 0.639 0.890 0.981 
m2c240r2.htb 0.000 0.000 0.054 0.189 0.324 0.622 0.737 1.000 1.000 0.000 0.000 0.054 0.342 0.289 0.711 0.838 1.000 1.000 0.000 0.000 0.027 0.184 0.459 0.605 0.919 1.000 1.000 0.438 0.417 0.424 0.474 0.526 0.576 0.583 0.562 0.230 0.393 0.400 0.468 0.532 0.600 0.607 0.770 0.209 0.341 0.470 0.519 0.481 0.530 0.659 0.791 
m2c241r2.htb 0.000 0.000 0.050 0.400 0.300 0.650 0.800 1.000 1.000 0.000 0.000 0.250 0.600 0.750 0.850 1.000 1.000 1.000 0.000 0.000 0.050 0.200 0.500 0.700 0.850 1.000 1.000 0.404 0.496 0.524 0.632 0.368 0.476 0.504 0.596 0.279 0.385 0.399 0.554 0.446 0.601 0.615 0.721 0.374 0.333 0.495 0.424 0.576 0.505 0.667 0.626 
m2c242r2.htb 0.000 0.000 0.080 0.200 0.360 0.680 0.880 1.000 1.000 0.000 0.000 0.080 0.360 0.640 0.680 0.920 1.000 1.000 0.000 0.000 0.000 0.160 0.320 0.480 0.800 1.000 1.000 0.008 0.181 0.454 0.498 0.502 0.546 0.819 0.992 0.077 0.270 0.385 0.427 0.573 0.615 0.730 0.923 0.000 0.115 0.239 0.358 0.642 0.761 0.885 1.000 
m2c244r2.htb 0.000 0.056 0.222 0.389 0.333 0.611 0.944 0.944 1.000 0.000 0.000 0.056 0.167 0.333 0.444 0.889 1.000 1.000 0.000 0.000 0.056 0.167 0.167 0.556 0.944 1.000 1.000 0.423 0.285 0.594 0.471 0.529 0.406 0.715 0.577 0.404 0.431 0.497 0.452 0.548 0.503 0.569 0.596 0.437 0.535 0.537 0.614 0.386 0.463 0.465 0.563 
