m1c534r88.htb 100.000 0.116 0.499 0.000 1.000 
m1c534r89.htb 0.000 -0.078 2.496 0.000 0.857 
m1c534r90.htb 10.000 -0.255 1.735 0.333 1.000 
m1c534r91.htb 0.000 -0.049 2.653 0.000 1.000 
m1c534r92.htb 10.000 -0.228 1.316 0.000 1.000 
m1c534r93.htb 100.000 -0.026 0.370 0.000 1.000 
m1c534r94.htb 0.000 26.399 137.646 0.350 0.535 
m1c534r95.htb 10.000 0.695 3.383 0.200 1.000 
m1c534r96.htb 0.000 46.814 166.365 0.283 0.519 
m1c534r97.htb 0.000 -2.080 99.982 0.464 0.679 
m1c534r98.htb 10.000 -0.034 3.884 0.714 1.000 
m1c534r99.htb 0.000 -7.427 59.340 0.296 0.672 
m1c534r100.htb 10.000 -0.175 2.938 0.000 0.600 
m1c534r101.htb 100.000 0.100 0.705 0.000 1.000 
m1c534r102.htb 0.000 3.890 46.706 0.364 0.739 
m1c534r103.htb 10.000 0.170 1.916 0.000 0.500 
m1c534r104.htb 0.000 -1.206 45.471 0.302 0.656 
m1c534r105.htb 10.000 -0.299 1.560 0.167 1.000 
m1c534r106.htb 0.000 13.333 60.073 0.203 0.545 
m1c534r107.htb 10.000 -0.207 1.596 0.200 0.800 
m1c534r108.htb 100.000 0.211 1.499 0.500 1.000 
m1c534r109.htb 0.000 -8.235 71.638 0.353 0.661 
m1c534r110.htb 10.000 0.259 1.620 0.333 1.000 
m1c534r111.htb 100.000 0.064 0.540 0.000 1.000 
m1c534r112.htb 0.000 -30.940 94.330 0.461 0.654 
m1c534r113.htb 10.000 0.254 1.851 0.000 1.000 
m1c534r114.htb 0.000 0.277 57.836 0.291 0.554 
m1c534r115.htb 10.000 0.421 2.443 0.000 1.000 
m1c534r116.htb 100.000 -0.021 0.485 0.000 1.000 
m1c534r117.htb 0.000 -6.719 190.453 0.419 0.476 
m1c534r118.htb 0.000 -8.457 49.866 0.283 0.737 
m1c534r119.htb 10.000 0.143 9.969 0.077 0.824 
m1c534r120.htb 0.000 -7.335 75.524 0.358 0.710 
m1c534r121.htb 0.000 -1.452 52.506 0.320 0.692 
m1c534r122.htb 10.000 -0.655 5.215 0.200 0.667 
m1c534r123.htb 0.000 -1.628 73.686 0.345 0.529 
m1c534r124.htb 0.000 2.586 33.600 0.269 0.742 
m1c534r125.htb 10.000 -0.213 4.899 0.000 1.000 
m1c534r126.htb 0.000 0.794 33.437 0.269 0.833 
m1c534r127.htb 0.000 -11.863 51.801 0.314 0.729 
m1c534r128.htb 10.000 0.104 3.452 0.000 0.800 
m1c534r129.htb 0.000 2.575 56.110 0.329 0.729 
m1c534r130.htb 0.000 1.490 54.090 0.242 0.643 
m1c534r131.htb 10.000 1.067 12.215 0.333 1.000 
m1c534r132.htb 0.000 12.509 56.355 0.192 0.554 
m1c534r133.htb 0.000 6.830 56.817 0.240 0.561 
m1c534r134.htb 10.000 1.031 19.339 0.222 0.700 
m1c534r135.htb 0.000 0.278 51.842 0.333 0.750 
m1c534r136.htb 0.000 -1.879 39.494 0.293 0.721 
m1c534r137.htb 10.000 -6.059 11.311 0.143 0.857 
m1c534r138.htb 0.000 -7.353 50.434 0.382 0.676 
m1c534r139.htb 0.000 3.831 54.930 0.309 0.708 
m1c534r140.htb 10.000 -1.473 18.552 0.269 0.850 
m1c534r141.htb 0.000 0.472 64.737 0.352 0.627 
m1c534r142.htb 0.000 12.940 47.731 0.257 0.660 
m1c534r143.htb 10.000 1.376 10.229 0.083 0.833 
m1c534r144.htb 0.000 2.006 45.485 0.300 0.718 
m1c534r145.htb 0.000 -6.922 58.724 0.400 0.600 
m1c534r146.htb 10.000 0.787 11.008 0.167 0.706 
m1c534r147.htb 0.000 1.477 38.326 0.333 0.720 
m1c534r148.htb 10.000 1.559 7.416 0.000 0.750 
m1c534r149.htb 10.000 0.636 7.120 0.000 0.800 
m1c534r150.htb 100.000 0.120 3.232 0.000 1.000 
