FILE	
m2c247r2.htb 1295.849 0.534 0.656 0.505 0.334 0.318 0.537 0.547 
m2c252r2.htb 34.741 0.612 0.012 0.120 0.234 0.075 0.568 0.566 
m2c254r2.htb 28.103 0.520 0.628 0.095 0.265 0.390 0.549 0.556 
m2c258r2.htb 21.407 0.642 0.000 0.717 0.079 0.388 0.546 0.522 
m2c260r2.htb 50.199 0.633 0.010 0.865 0.006 0.511 0.483 0.512 
m2c262r2.htb 75.695 0.529 0.474 0.454 0.577 0.868 0.473 0.472 
m2c364r2.htb 39.263 0.481 0.702 0.233 0.401 0.143 0.428 0.423 
m2c365r2.htb 14.765 0.500 0.974 0.850 0.092 0.781 0.453 0.454 
m2c368r2.htb 14.692 0.710 0.000 0.931 0.120 0.029 0.485 0.513 
m2c369r2.htb 19.775 0.675 0.000 0.374 0.789 0.591 0.534 0.534 
m2c370r2.htb 10.309 0.782 0.000 0.962 0.834 0.209 0.519 0.503 
m2c372r2.htb 23.947 0.632 0.004 0.942 0.007 0.638 0.449 0.499 
m2c374r2.htb 65.331 0.605 0.008 0.001 0.294 0.705 0.647 0.629 
m2c376r2.htb 53.590 0.621 0.038 0.656 0.807 0.395 0.471 0.477 
m2c378r2.htb 29.603 0.654 0.000 0.676 0.012 0.034 0.545 0.505 
m2c382r2.htb 10.973 0.677 0.000 0.105 0.001 0.923 0.453 0.409 
m2c384r2.htb 14.199 0.679 0.000 0.981 0.363 0.345 0.523 0.510 
m2c392r2.htb 14.444 0.628 0.026 0.195 0.349 0.348 0.606 0.591 
m2c403r2.htb 39.363 0.569 0.144 0.235 0.096 0.948 0.565 0.557 
m2c409r2.htb 263.926 0.353 0.044 0.575 0.765 0.146 0.557 0.554 
m2c417r2.htb 18.652 0.646 0.018 0.852 0.835 0.858 0.505 0.501 
m2c423r2.htb 60.275 0.638 0.002 0.633 0.987 0.502 0.472 0.474 
m2c427r2.htb 15.077 0.581 0.078 0.900 0.589 0.760 0.512 0.506 
m2c429r2.htb 30.434 0.474 0.620 0.003 0.249 0.920 0.651 0.652 
m2c436r2.htb 12.255 0.624 0.000 0.014 0.340 0.915 0.603 0.588 
m2c441r2.htb 22.772 0.575 0.090 0.000 0.282 0.662 0.691 0.679 
m2c443r2.htb 11.522 0.603 0.024 0.770 0.123 0.829 0.528 0.518 
m2c445r2.htb 31.593 0.546 0.400 0.025 0.922 0.930 0.646 0.647 
m2c450r2.htb -172.427 0.638 0.080 0.179 0.237 0.742 0.590 0.608 
m5c4r2.htb 47.698 0.561 0.206 0.971 0.965 0.159 0.502 0.503 
m5c6r2.htb 29.992 0.682 0.000 0.026 0.327 0.097 0.634 0.600 
m5c7r2.htb 55.989 0.620 0.012 0.134 0.131 0.690 0.608 0.582 
m5c8r2.htb 24.090 0.757 0.000 0.612 0.898 0.564 0.570 0.556 
m5c13r2.htb 36.282 0.696 0.000 0.412 0.599 0.749 0.542 0.526 
m5c14r2.htb 44.034 0.753 0.000 0.528 0.076 0.687 0.499 0.536 
m5c15r2.htb 24.678 0.760 0.000 0.328 0.448 0.012 0.511 0.520 
m5c25r2.htb 197.608 0.476 0.560 0.957 0.555 0.909 0.512 0.519 
m5c29r2.htb 19.143 0.653 0.000 0.178 0.032 0.243 0.520 0.545 
m5c30r2.htb 4.677 0.680 0.026 0.140 0.003 0.195 0.503 0.585 
m5c35r2.htb 21.304 0.706 0.000 0.206 0.626 0.191 0.603 0.585 
m5c37r2.htb 11.492 0.741 0.000 0.001 0.731 0.052 0.718 0.687 
m5c38r2.htb 134.161 0.515 0.784 0.002 0.848 0.170 0.632 0.630 
m5c40r2.htb 51.964 0.497 0.890 0.602 0.682 0.391 0.485 0.483 
m5c42r2.htb 16.797 0.577 0.430 0.874 0.611 0.031 0.554 0.573 
m5c46r2.htb 30.876 0.560 0.070 0.326 0.133 0.686 0.457 0.470 
m5c49r2.htb 23.116 0.717 0.000 0.623 0.375 0.212 0.526 0.543 
m5c54r2.htb 31.862 0.596 0.074 0.796 0.880 0.931 0.495 0.494 
m5c60r2.htb 70.588 0.465 0.492 0.055 0.362 0.006 0.597 0.600 
m5c63r2.htb 47.974 0.507 0.880 0.702 0.539 0.835 0.564 0.550 
m5c66r2.htb 17.848 0.683 0.000 0.087 0.244 0.093 0.578 0.592 
m5c67r2.htb 15.095 0.669 0.004 0.714 0.849 0.516 0.475 0.487 
m5c69r2.htb 12.645 0.750 0.000 0.088 0.558 0.879 0.603 0.554 
m5c70r2.htb 18.018 0.611 0.002 0.010 0.469 0.617 0.619 0.601 
m5c71r2.htb 13.294 0.562 0.124 0.112 0.532 0.595 0.562 0.563 
