FILE	 Wves_predicted	 Wves_actual	 coherence	 thresh_predicted	 thresh_actual_d0	 coherence	 thresh_actual_all	 thresh_actual_pm	 bias_delta0	 Wves_actual_minus	 Wves_actual_plus
m24c94r2.htb	0.951	3.057	16	22.371	300	16	171.232	106.848	-28.286	-8.238	14.352
m24c94r2.htb	0.874	3.765	60	21.45	72.065	60	117.337	139.972	-8.144	2.455	5.075
m24c94r2.htb	0.475	3.683	16	22.25	123.908	16	152.158	166.282	8.658	3.838	3.527
m24c94r2.htb	0.807	16.876	60	29.004	32.006	60	170.48	239.717	-5.953	24.042	9.711
m24c94r2.htb	0.711	2.874	16	26.474	202.011	16	122.819	83.224	-1.662	0.396	5.352
m24c94r2.htb	0.628	10.259	60	24.885	300	60	188.602	132.903	81.606	36.58	-16.061
m24c102r2.htb	0.708	2.377	16	27.788	300	16	141.8	62.7	7.958	1.638	3.116
m24c102r2.htb	0.74	1.016	60	28.417	12.66	60	12.296	12.115	-2.346	1.094	0.939
m24c102r2.htb	0.501	5.045	16	29.08	26.223	16	66.186	86.167	5.987	1.137	8.952
m24c102r2.htb	0.982	0.792	60	40.708	12.625	60	14.097	14.834	-3.132	0.886	0.698
m24c103r2.htb	0.246	2.764	16	45.571	123.069	16	194.832	230.713	12.85	0.915	4.612
m24c103r2.htb	0.914	-0.904	60	87.777	109.669	60	101.73	97.761	0.672	-2.56	0.752
m24c105r2.htb	0.242	-21.583	16	27.862	137.762	16	180.196	201.413	-43.085	-17.764	-25.402
m24c105r2.htb	0.966	-2.116	60	55.657	55.129	60	66.938	72.843	-5.025	0.246	-4.478
m24c110r2.htb	0.987	-2.423	16	19.056	125.841	16	125.436	125.234	7.95	-3.603	-1.242
m24c110r2.htb	0.152	-0.202	60	7.471	10.023	60	10.142	10.202	1.866	-0.777	0.373
m24c111r2.htb	0.996	1.54	16	19.578	23.86	16	29.041	31.631	3.541	0.632	2.448
m24c111r2.htb	0.918	0.209	60	18.799	19.323	60	22.539	24.147	-0.873	0.383	0.035
