FILE	         CP	
m2c185r2.htb  NaN  NaN 0.870 0.760 0.885 0.749 0.823  NaN  NaN 0.754 0.777 
m2c186r2.htb  NaN  NaN 0.469 0.395 0.422 0.340  NaN  NaN  NaN 0.340 0.429 
m2c187r2.htb  NaN  NaN  NaN 0.659 0.583 0.700 0.404  NaN  NaN 0.565 0.659 
m2c189r2.htb  NaN  NaN  NaN 0.686 0.419 0.402  NaN  NaN  NaN 0.402 0.686 
m2c190r2.htb  NaN  NaN 0.569 0.390 0.377 0.475 0.593  NaN  NaN 0.519 0.456 
m2c191r2.htb  NaN  NaN 0.573 0.617 0.569 0.370 0.188  NaN  NaN 0.314 0.590 
m2c193r2.htb  NaN  NaN 0.509 0.619 0.533 0.687 0.527  NaN  NaN 0.620 0.572 
m2c195r2.htb  NaN  NaN 0.375 0.378 0.543 0.479  NaN  NaN  NaN 0.385 0.479 
m2c196r3.htb  NaN  NaN  NaN 0.690 0.661 0.724 0.512  NaN  NaN 0.596 0.690 
m2c197r2.htb  NaN  NaN 0.766 0.588 0.485 0.519 0.492  NaN  NaN 0.520 0.644 
m2c198r2.htb  NaN  NaN  NaN 0.353 0.566 0.711  NaN  NaN  NaN 0.711 0.353 
m2c199r2.htb  NaN  NaN 0.524 0.500 0.641 0.740  NaN  NaN  NaN 0.509 0.740 
m2c200r2.htb  NaN  NaN  NaN 0.482 0.598 0.708 0.552  NaN  NaN 0.628 0.482 
m2c202r2.htb  NaN  NaN  NaN 0.617 0.616 0.620  NaN  NaN  NaN 0.617 0.620 
m2c214r2.htb  NaN  NaN 0.324 0.402 0.565 0.755  NaN  NaN  NaN 0.382 0.755 
m2c220r2.htb  NaN  NaN  NaN 0.720 0.480 0.540 0.570  NaN  NaN 0.554 0.720 
m2c221r2.htb  NaN  NaN 0.568 0.515 0.514 0.698 0.781  NaN  NaN 0.716 0.520 
m2c223r2.htb  NaN  NaN 0.555 0.571 0.704 0.488  NaN  NaN  NaN 0.488 0.545 
m2c226r2.htb  NaN  NaN 0.584 0.722 0.638 0.527 0.736  NaN  NaN 0.599 0.652 
m2c231r2.htb  NaN  NaN  NaN 0.515 0.566 0.592 0.804  NaN  NaN 0.697 0.515 
m2c233r2.htb  NaN  NaN  NaN 0.546 0.520 0.500  NaN  NaN  NaN 0.546 0.500 
m2c236r2.htb  NaN  NaN  NaN 0.666 0.670 0.745 0.533  NaN  NaN 0.666 0.655 
m2c237r2.htb  NaN  NaN 0.731 0.384 0.548 0.677  NaN  NaN  NaN 0.515 0.677 
m2c240r2.htb  NaN  NaN  NaN 0.524 0.423 0.531 0.450  NaN  NaN 0.495 0.524 
m2c241r2.htb  NaN  NaN  NaN 0.594 0.482 0.484 0.641  NaN  NaN 0.594 0.527 
m2c242r2.htb  NaN  NaN  NaN 0.655 0.753 0.493  NaN  NaN  NaN 0.655 0.493 
m2c244r2.htb  NaN  NaN 0.580 0.779 0.521 0.792  NaN  NaN  NaN 0.792 0.667 
m2c247r2.htb  NaN  NaN  NaN 0.731 0.299 0.675 0.424  NaN  NaN 0.731 0.560 
m2c252r2.htb  NaN  NaN  NaN 0.540 0.515 0.633 0.629  NaN  NaN 0.540 0.613 
m2c254r2.htb  NaN  NaN  NaN 0.536 0.563 0.504 0.824  NaN  NaN 0.572 0.536 
m2c258r2.htb  NaN  NaN 0.443 0.718 0.626 0.327 0.555  NaN  NaN 0.417 0.641 
m2c260r2.htb  NaN  NaN 0.560 0.382 0.606 0.268  NaN  NaN  NaN 0.476 0.268 
m2c262r2.htb  NaN  NaN 0.542 0.565 0.411 0.380 0.489  NaN  NaN 0.421 0.556 
m2c364r2.htb  NaN  NaN 0.399 0.286 0.376 0.597  NaN  NaN  NaN 0.332 0.597 
m2c365r2.htb  NaN  NaN  NaN 0.393 0.484 0.526 0.437  NaN  NaN 0.471 0.393 
m2c368r2.htb  NaN  NaN  NaN 0.438 0.503 0.525 0.429  NaN  NaN 0.487 0.438 
m2c369r2.htb  NaN  NaN  NaN  NaN 0.472 0.547 0.610  NaN  NaN 0.567  NaN 
m2c370r2.htb  NaN  NaN  NaN  NaN 0.813 0.590 0.192  NaN  NaN  NaN 0.390 
m2c372r2.htb  NaN  NaN 0.591 0.240 0.455 0.386 0.462  NaN  NaN 0.388 0.429 
m2c374r2.htb  NaN  NaN 0.686 0.743 0.687 0.565 0.683  NaN  NaN 0.717 0.624 
m2c376r2.htb  NaN  NaN  NaN 0.512 0.529 0.497 0.417  NaN  NaN 0.512 0.441 
m2c378r2.htb  NaN  NaN 0.519 0.529 0.407 0.643 0.725  NaN  NaN 0.663 0.536 
m2c382r2.htb  NaN  NaN 0.412 0.465 0.406 0.500  NaN  NaN  NaN 0.438 0.500 
m2c384r2.htb  NaN  NaN  NaN 0.574 0.522 0.529 0.537  NaN  NaN 0.527 0.574 
m2c392r2.htb  NaN  NaN  NaN 0.479 0.663 0.535 0.909  NaN  NaN 0.479 0.658 
m2c403r2.htb  NaN  NaN 0.500 0.711 0.561 0.496 0.710  NaN  NaN 0.616 0.565 
m2c409r2.htb  NaN  NaN 0.596 0.694 0.493 0.492  NaN  NaN  NaN 0.640 0.492 
m2c417r2.htb  NaN  NaN 0.507 0.732 0.347 0.462  NaN  NaN  NaN 0.462 0.637 
m2c423r2.htb  NaN  NaN 0.477 0.514 0.529 0.338  NaN  NaN  NaN 0.502 0.338 
m2c427r2.htb  NaN  NaN 0.330 0.640 0.472 0.627 0.521  NaN  NaN 0.577 0.496 
m2c429r2.htb  NaN  NaN  NaN 0.747 0.679 0.571 0.674  NaN  NaN 0.611 0.747 
m2c436r2.htb  NaN  NaN 0.593 0.667 0.659 0.570 0.507  NaN  NaN 0.634 0.545 
m2c441r2.htb  NaN  NaN 0.809 0.770 0.727 0.782 0.727  NaN  NaN 0.720 0.778 
m2c443r2.htb  NaN  NaN 0.457 0.489 0.645 0.578 0.478  NaN  NaN 0.544 0.479 
m2c445r2.htb  NaN  NaN 0.554 0.690 0.790 0.567  NaN  NaN  NaN 0.616 0.567 
m2c450r2.htb  NaN  NaN  NaN 0.400 0.586 0.721  NaN  NaN  NaN 0.400 0.721 
m5c4r2.htb  NaN  NaN  NaN 0.525 0.432 0.649 0.418 0.504  NaN 0.525 0.514 
m5c6r2.htb  NaN  NaN 0.889 0.575 0.583 0.642 0.584  NaN  NaN 0.616 0.721 
m5c7r2.htb  NaN  NaN 0.575 0.622 0.464 0.639 0.781  NaN  NaN 0.593 0.712 
m5c8r2.htb  NaN  NaN  NaN 0.481 0.777 0.616 0.482  NaN  NaN 0.481 0.516 
m5c13r2.htb  NaN 0.418 0.532 0.576 0.670 0.602 0.500  NaN  NaN 0.521 0.535 
m5c14r2.htb  NaN  NaN 0.600 0.488 0.477 0.494 0.514  NaN  NaN 0.487 0.519 
m5c15r2.htb  NaN  NaN 0.503 0.601 0.506 0.471 0.350  NaN  NaN 0.421 0.573 
m5c25r2.htb  NaN  NaN 0.576 0.554 0.436 0.666 0.363  NaN  NaN 0.541 0.557 
m5c29r2.htb  NaN  NaN 0.648 0.467 0.478 0.490 0.605  NaN  NaN 0.539 0.535 
m5c30r2.htb  NaN 0.818 0.270 0.470 0.481  NaN  NaN  NaN  NaN 0.522  NaN 
m5c35r2.htb  NaN  NaN 0.625 0.608 0.658 0.714 0.391  NaN  NaN 0.601 0.613 
m5c37r2.htb  NaN  NaN  NaN 0.971 0.847  NaN 0.602 0.673  NaN 0.971 0.635 
m5c38r2.htb  NaN  NaN 0.597 0.733 0.736 0.567 0.616 0.888  NaN 0.662 0.620 
m5c40r2.htb  NaN  NaN 0.606 0.586 0.454 0.341 0.443  NaN  NaN 0.388 0.592 
m5c42r2.htb  NaN 0.667 0.329 0.657  NaN  NaN  NaN  NaN  NaN  NaN 0.554 
m5c46r2.htb  NaN  NaN 0.419 0.468 0.462 0.362 0.497 0.482  NaN 0.459 0.446 
m5c49r2.htb  NaN  NaN  NaN 0.634 0.465 0.497 0.516  NaN  NaN 0.634 0.512 
m5c54r2.htb  NaN  NaN 0.355 0.792 0.475 0.384 0.456  NaN  NaN 0.607 0.423 
m5c60r2.htb  NaN  NaN 0.693 0.547 0.498 0.696  NaN  NaN  NaN 0.696 0.609 
m5c63r2.htb  NaN  NaN 0.509 0.800 0.236  NaN  NaN  NaN  NaN 0.646  NaN 
m5c66r2.htb  NaN  NaN 0.653 0.565 0.595 0.640  NaN  NaN  NaN 0.574 0.640 
m5c67r2.htb  NaN  NaN 0.395 0.506 0.545  NaN  NaN  NaN  NaN  NaN 0.448 
m5c69r2.htb  NaN  NaN 0.822 0.735 0.570 0.352  NaN  NaN  NaN 0.776 0.352 
m5c70r2.htb  NaN  NaN 0.593 0.563 0.580 0.631 0.811  NaN  NaN 0.563 0.705 
m5c71r2.htb  NaN  NaN  NaN  NaN 0.731 0.573 0.632 0.466  NaN 0.556  NaN 
m5c74r2.htb  NaN  NaN  NaN 0.360 0.689 0.636 0.446  NaN  NaN 0.360 0.550 
m5c75r2.htb  NaN  NaN  NaN 0.651 0.423 0.564 0.388  NaN  NaN 0.468 0.651 
m5c79r2.htb  NaN  NaN 0.704 0.507 0.469 0.437  NaN  NaN  NaN 0.591 0.437 
m5c81r2.htb  NaN  NaN 0.381 0.558 0.551 0.447 0.526  NaN  NaN 0.486 0.482 
m5c82r2.htb  NaN  NaN  NaN 0.521 0.593 0.609  NaN  NaN  NaN 0.609 0.521 
m5c83r2.htb  NaN  NaN  NaN 0.699 0.550 0.591 0.660  NaN  NaN 0.620 0.699 
m5c87r2.htb  NaN  NaN 0.659  NaN  NaN 0.527 0.520  NaN  NaN 0.659 0.523 
m5c92r2.htb  NaN  NaN 0.676 0.486 0.745 0.675  NaN  NaN  NaN 0.556 0.675 
m5c94r2.htb  NaN  NaN 0.703 0.339 0.456  NaN  NaN  NaN  NaN 0.470  NaN 
m5c95r2.htb  NaN  NaN 0.457 0.448 0.656 0.679  NaN  NaN  NaN 0.679 0.461 
m5c100r2.htb  NaN  NaN 0.864 0.328 0.713 0.213  NaN  NaN  NaN 0.213 0.550 
m5c103r2.htb  NaN  NaN  NaN 0.600 0.607  NaN  NaN  NaN  NaN  NaN 0.600 
m5c107r2.htb  NaN  NaN 0.539 0.501 0.604 0.383  NaN  NaN  NaN 0.383 0.515 
m5c108r3.htb  NaN 0.355 0.588 0.546 0.508 0.468  NaN  NaN  NaN 0.468 0.525 
m5c109r2.htb  NaN  NaN 0.426 0.440 0.242 0.423  NaN  NaN  NaN 0.423 0.439 
m5c111r2.htb  NaN  NaN 0.227 0.525 0.659 0.557  NaN  NaN  NaN 0.557 0.423 
m5c118r2.htb  NaN  NaN 0.442 0.581 0.574 0.529 0.535  NaN  NaN 0.540 0.539 
m5c125r2.htb  NaN  NaN 0.463 0.486 0.495 0.535  NaN  NaN  NaN 0.490 0.535 
m5c128r2.htb  NaN  NaN 0.532 0.426 0.645 0.403 0.385  NaN  NaN 0.384 0.462 
