FILE	
m2c179r2.htb 15.172 19.569 20.996 20.792 23.642 24.840 22.976 25.131 26.150 25.768 35.591 34.802 28.637 29.578 36.263 21.791 14.379 26.742 7.251 10.891 12.231 14.269 14.311 12.609 13.891 15.002 12.202 10.380 20.402 37.660 39.635 46.999 25.922 29.259 41.915 38.185 15.572 21.462 25.102 27.461 27.490 27.635 27.868 27.257 27.082 54.178 27.551 34.095 41.904 39.334 40.719 44.686 29.304 28.095 
m2c180r2.htb 20.698 21.169 19.708 19.189 18.152 18.812 19.755 18.953 18.812 17.440 14.065 22.734 24.456 11.502 15.391 21.613 20.908 16.763 13.861 14.569 15.134 15.198 14.946 16.549 15.747 15.747 15.747 6.274 11.876 13.542 8.163 9.402 8.248 10.872 12.931 13.127 16.124 14.993 16.973 16.737 16.077 15.842 15.134 17.539 19.896 14.228 5.812 10.419 8.323 6.657 10.587 14.816 9.817 12.931 
m2c181r2.htb 72.258 65.232 63.576 61.348 60.187 58.949 58.378 53.941 47.848 72.369 60.381 81.166 42.824 85.087 67.754 81.921 52.801 53.733 35.401 28.751 26.181 26.447 26.447 23.153 22.944 22.258 19.354 62.962 51.973 66.868 79.782 48.528 37.065 36.241 37.309 44.587 54.703 46.954 44.212 40.823 41.394 40.575 40.308 35.567 30.198 98.063 40.225 61.120 60.533 60.972 55.108 41.685 57.851 51.879 
m2c182r2.htb 20.809 23.152 24.455 25.825 25.396 26.485 27.195 28.168 30.908 32.449 24.826 39.488 57.232 35.551 31.058 38.862 48.697 34.995 7.657 7.393 8.416 8.053 8.498 8.515 7.954 8.944 9.389 12.490 12.178 11.548 11.945 13.368 14.927 8.971 12.926 17.363 12.624 14.076 16.848 17.442 17.591 16.617 17.657 19.109 21.881 23.083 19.310 18.360 21.603 27.062 20.872 27.520 26.461 43.223 
m2c183r2.htb 28.845 19.274 18.713 17.459 17.426 16.535 16.733 15.776 15.083 35.543 17.222 28.013 16.123 20.052 16.844 29.568 32.988 28.306 18.185 16.931 14.422 14.950 14.752 16.436 12.871 14.521 14.620 16.258 25.985 21.207 23.145 36.464 27.759 16.631 28.620 15.934 24.653 17.888 14.620 15.149 14.521 15.116 13.663 13.036 12.871 17.737 22.373 19.111 24.010 21.116 24.604 38.090 24.817 19.674 
m2c184r2.htb 55.967 46.053 43.408 42.815 43.832 41.986 39.898 37.035 28.258 78.410 47.088 60.647 54.919 37.613 75.835 57.503 75.344 29.931 41.370 39.812 38.223 38.828 38.881 39.239 41.167 41.798 44.073 35.625 20.939 31.080 30.614 20.622 22.490 38.556 28.708 16.971 49.344 44.320 43.590 41.718 41.193 40.407 41.714 41.183 37.467 38.804 43.845 23.606 26.531 31.451 20.686 27.510 29.761 46.711 
m2c185r2.htb 25.916 29.183 33.886 33.614 37.005 37.723 39.653 44.827 57.797 37.849 16.187 36.270 33.126 31.354 23.869 45.443 45.847 40.503 11.386 13.119 15.446 15.668 17.129 17.104 20.569 21.535 26.807 14.981 11.097 16.127 20.656 22.280 26.493 25.764 40.858 41.393 14.530 20.446 22.995 26.485 27.673 29.158 30.891 37.302 48.465 18.067 23.052 16.463 23.665 33.378 34.534 48.874 78.896 40.868 
m2c186r2.htb 20.429 18.944 17.723 16.997 18.119 17.954 19.736 19.835 21.551 19.977 16.748 13.139 15.758 19.819 16.748 37.923 29.104 33.511 10.627 9.670 8.614 7.789 8.185 8.350 8.185 7.327 8.119 14.463 16.948 9.813 9.988 12.908 16.137 25.078 11.737 11.655 18.383 15.182 15.380 15.908 14.521 13.267 16.073 14.752 15.413 29.455 21.251 28.580 17.844 18.344 13.291 32.159 8.407 16.407 
m2c187r2.htb 38.526 38.344 38.554 39.844 39.334 39.983 38.254 39.004 39.124 39.412 38.493 30.202 42.706 16.498 44.500 24.680 18.377 28.987 53.015 56.496 56.766 56.616 56.586 57.426 57.006 57.276 58.266 78.491 59.304 69.152 107.003 146.929 138.406 83.878 49.819 80.024 71.437 74.347 77.402 75.098 74.617 76.118 77.108 76.328 78.308 98.895 104.914 101.563 99.324 74.859 96.606 128.465 66.499 81.019 
m2c189r2.htb 10.087 10.489 8.447 10.644 9.097 10.118 10.458 10.179 10.489 14.068 12.893 11.889 15.179 20.013 16.617 17.705 8.426 16.814 11.046 10.025 12.717 10.644 9.684 10.489 11.077 11.170 12.778 23.218 35.907 46.935 22.578 17.882 24.657 20.772 27.147 23.107 7.550 7.828 7.797 7.890 7.550 7.611 7.116 8.137 8.447 14.151 10.838 9.408 12.237 15.606 19.128 18.622 19.779 13.280 
