FILE	
m2c79r2.htb 0.51 
m2c81r2.htb 0.67 
m2c82r2.htb 0.35 
m2c84r2.htb 0.67 
m2c86r2.htb 0.55 
m2c91r2.htb 0.54 
m2c93r2.htb 0.50 
m2c94r2.htb 0.61 
m2c97r2.htb 0.58 
m2c98r2.htb 0.67 
m2c99r2.htb 0.60 
m2c100r2.htb 0.75 
m2c101r2.htb 0.53 
m2c103r2.htb 0.53 
m2c109r2.htb 0.58 
m2c110r2.htb 0.56 
m2c116r2.htb 0.56 
m2c119r2.htb 0.50 
m2c121r2.htb 0.47 
m2c125r2.htb 0.47 
m2c126r2.htb 0.47 
m2c127r2.htb 0.61 
m2c128r2.htb 0.58 
m2c129r2.htb 0.60 
m2c130r2.htb 0.63 
m2c131r2.htb 0.64 
m2c134r2.htb 0.45 
m2c135r2.htb 0.49 
m2c137r2.htb 0.59 
m2c138r2.htb 0.41 
m2c139r2.htb 0.51 
m2c140r2.htb 0.68 
m2c141r2.htb 0.57 
m2c143r2.htb 0.59 
m2c144r2.htb 0.63 
m2c145r2.htb 0.56 
m2c148r2.htb 0.53 
m2c149r2.htb 0.57 
m2c150r2.htb 0.57 
m2c151r2.htb 0.63 
m2c152r2.htb 0.45 
m2c155r2.htb 0.54 
m2c157r2.htb 0.57 
m2c158r2.htb 0.61 
m2c159r2.htb 0.42 
m2c160r2.htb 0.65 
m2c161r2.htb 0.65 
m2c162r2.htb 0.59 
m2c163r2.htb 0.46 
m2c168r3.htb 0.52 
m2c170r2.htb 0.66 
m2c172r2.htb 0.43 
m2c174r2.htb 0.57 
m2c175r2.htb 0.53 
m2c176r2.htb 0.52 
m2c177r2.htb 0.51 
m2c178r2.htb 0.59 
m2c179r2.htb 0.59 
m2c180r2.htb 0.50 
m2c181r2.htb 0.59 
m2c182r2.htb 0.62 
m2c183r2.htb 0.56 
m2c184r2.htb 0.59 
m2c185r2.htb 0.74 
m2c186r2.htb 0.41 
m2c187r2.htb 0.54 
m2c189r2.htb 0.51 
m2c190r2.htb 0.48 
m2c191r2.htb 0.50 
m2c193r2.htb 0.56 
m2c195r2.htb 0.44 
m2c196r3.htb 0.60 
m2c197r2.htb 0.54 
m2c197r2.htb 0.54 
m2c199r2.htb 0.57 
m2c200r2.htb 0.56 
m2c202r2.htb 0.58 
m2c214r2.htb 0.52 
m2c220r2.htb 0.55 
m2c221r2.htb 0.62 
m2c223r2.htb 0.58 
m2c226r2.htb 0.59 
m2c231r2.htb 0.58 
m2c233r2.htb 0.52 
m2c236r2.htb 0.63 
m2c237r2.htb 0.55 
m2c240r2.htb 0.47 
m2c241r2.htb 0.53 
m2c242r2.htb 0.60 
m2c244r2.htb 0.61 
m2c247r2.htb 0.53 
m2c252r2.htb 0.57 
m2c254r2.htb 0.55 
m2c258r2.htb 0.53 
m2c260r2.htb 0.46 
m2c262r2.htb 0.48 
m2c364r2.htb 0.43 
m2c365r2.htb 0.45 
m2c368r2.htb 0.45 
m2c369r2.htb 0.53 
