FILE	         Ve_N_thr	 ves_CP	 ves_p	
m2c84r2.htb 14.218 10.216 7.705 6.953 5.259 5.549 5.196 5.639 5.980 5.690 6.624 0.621 0.615 0.633 0.636 0.667 0.661 0.636 0.629 0.619 0.621 0.608 
m2c86r2.htb 24.007 14.327 11.640 9.802 8.373 7.173 7.173 7.026 7.656 8.269 8.331 0.523 0.539 0.513 0.525 0.526 0.543 0.546 0.555 0.554 0.535 0.530 
m2c91r2.htb 24.186 20.946 27.498 17.071 15.963 17.060 36.729 106.960 36.038 29.802 42.762 0.452 0.470 0.472 0.538 0.558 0.549 0.536 0.509 0.510 0.520 0.502 
m2c93r2.htb 16.104 12.416 9.858 7.315 5.623 5.471 5.361 5.617 5.082 5.514 6.741 0.506 0.510 0.530 0.538 0.507 0.506 0.537 0.546 0.542 0.506 0.472 
m2c94r2.htb 300.000 98.213 31.718 17.477 22.248 27.588 20.949 24.063 30.459 30.723 30.723 0.576 0.579 0.588 0.596 0.592 0.611 0.617 0.621 0.609 0.576 0.520 
m2c97r2.htb 56.259 25.835 19.651 19.876 14.058 11.584 10.461 9.119 8.174 8.067 8.066 0.507 0.524 0.547 0.544 0.537 0.572 0.578 0.568 0.580 0.573 0.559 
m2c98r2.htb 45.098 29.843 24.513 29.806 28.948 30.151 27.009 27.221 32.066 40.397 43.153 0.628 0.630 0.663 0.661 0.673 0.669 0.675 0.686 0.699 0.694 0.696 
m2c99r2.htb 12.889 8.386 7.045 5.501 4.484 3.718 3.154 3.078 3.861 4.655 6.408 0.505 0.513 0.519 0.554 0.574 0.596 0.631 0.648 0.667 0.660 0.662 
m2c100r2.htb 8.455 6.674 6.216 5.381 4.534 4.379 3.712 4.081 4.614 6.248 7.963 0.581 0.599 0.620 0.671 0.713 0.762 0.777 0.788 0.803 0.801 0.802 
m2c101r2.htb 237.981 300.000 103.166 53.889 62.291 129.873 188.116 300.000 300.000 300.000 156.848 0.544 0.555 0.558 0.532 0.525 0.524 0.515 0.503 0.510 0.505 0.492 
m2c103r2.htb 33.581 24.727 18.223 18.375 15.722 14.789 11.923 11.374 13.823 21.829 27.959 0.535 0.545 0.547 0.526 0.526 0.527 0.520 0.520 0.497 0.481 0.470 
m2c109r2.htb 29.552 29.945 26.603 25.711 19.614 20.087 24.478 27.307 22.134 27.645 24.788 0.570 0.572 0.576 0.582 0.588 0.575 0.600 0.612 0.613 0.582 0.585 
m2c110r2.htb 65.676 48.515 45.640 19.123 17.413 16.121 12.543 10.739 11.846 11.943 12.905 0.494 0.501 0.494 0.525 0.553 0.563 0.547 0.545 0.553 0.569 0.562 
m2c116r2.htb 96.902 287.700 57.376 30.222 26.199 15.257 13.637 10.068 10.062 8.741 9.339 0.547 0.537 0.559 0.585 0.586 0.585 0.582 0.580 0.589 0.599 0.596 
m2c119r2.htb 46.126 92.295 71.810 208.691 300.000 226.860 300.000 159.070 159.049 300.000 84.997 0.515 0.522 0.514 0.513 0.479 0.488 0.480 0.462 0.458 0.447 0.442 
m2c121r2.htb 61.349 93.023 53.341 44.012 46.252 48.148 26.285 29.799 39.311 75.466 59.435 0.394 0.409 0.410 0.435 0.439 0.469 0.469 0.494 0.531 0.541 0.546 
m2c125r2.htb 48.655 53.885 78.894 41.200 41.668 26.829 20.767 17.581 17.112 31.698 22.973 0.492 0.475 0.473 0.479 0.499 0.471 0.467 0.483 0.474 0.497 0.487 
m2c126r2.htb 111.949 38.634 32.809 37.517 45.921 41.972 28.899 40.311 209.052 44.268 21.969 0.460 0.449 0.467 0.484 0.478 0.472 0.476 0.427 0.424 0.589 0.559 
m2c127r2.htb 35.101 35.760 22.157 17.745 10.071 7.944 8.203 6.644 5.716 6.203 6.186 0.492 0.547 0.542 0.567 0.539 0.615 0.615 0.616 0.589 0.522 0.537 
m2c128r2.htb 44.029 24.809 17.169 11.263 9.857 7.887 7.418 7.101 6.943 6.821 7.172 0.484 0.492 0.529 0.545 0.573 0.575 0.573 0.576 0.576 0.590 0.603 
m2c129r2.htb 22.517 17.689 14.731 17.204 17.537 14.029 11.793 10.125 10.794 11.593 12.528 0.522 0.527 0.535 0.567 0.582 0.599 0.581 0.584 0.573 0.578 0.581 
m2c130r2.htb 18.401 15.014 11.889 9.069 7.443 6.575 6.068 6.328 6.364 6.702 6.617 0.621 0.631 0.623 0.632 0.629 0.629 0.610 0.587 0.564 0.561 0.563 
