FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m5c7r2.htb 26.000 3.074 2.654 4.253 3.040 2.356 2.660 85.219 34.647 24.366 46.136 87.213 42.976 
m5c8r2.htb 15.000 3.554 4.345 4.958 5.188 2.590 1.423 10.337 11.750 27.951 24.544 28.552 47.673 
m5c13r2.htb 30.000 4.837 2.890 3.583 2.632 1.969 2.207 31.112 38.475 19.016 16.903 260.225 32.591 
m5c14r2.htb 33.000 3.951 2.436 2.946 2.969 2.113 1.860 80.208 51.514 33.637 25.097 201.379 140.769 
m5c15r2.htb 25.000 3.392 3.582 2.663 2.644 2.250 2.073 17.111 16.668 300.000 95.300 24.722 30.260 
m5c25r2.htb 45.000 3.083 3.066 2.725 1.913 2.059 2.913 63.815 84.207 52.095 29.143 104.442 17.334 
m5c29r2.htb 50.000 3.441 2.929 2.945 2.090 2.442 2.371 128.473 300.000 300.000 69.900 97.334 90.565 
m5c30r2.htb 15.000 4.637 3.772 10.638 2.172 4.008 1.779 92.797 30.449 157.654 58.906 300.000 60.443 
m5c35r2.htb 27.000 3.412 4.141 4.415 3.592 3.479 1.605 57.364 31.737 58.611 76.585 251.100 40.792 
m5c37r2.htb 40.000 7.269 5.155 6.890 2.968 3.720 2.217 36.668 46.919 119.715 103.461 35.225 32.364 
m5c38r2.htb 30.000 5.689 3.617 3.907 2.695 2.587 1.960 274.191 97.252 52.908 93.785 18.304 45.254 
m5c40r2.htb 40.000 3.519 3.702 2.601 5.200 1.864 2.165 36.545 38.673 35.377 35.435 43.906 114.912 
m5c42r2.htb 12.000 5.231 3.377 6.215 3.494 4.182 3.074 12.924 32.321 300.000 38.752 10.613 12.844 
m5c46r2.htb 50.000 5.016 3.526 4.000 3.550 3.360 1.987 300.000 79.442 300.000 282.871 162.145 94.004 
m5c49r2.htb 35.000 2.670 2.850 3.105 3.220 2.442 1.940 53.267 300.000 284.503 300.000 75.153 300.000 
m5c54r2.htb 26.000 3.200 2.207 4.384 3.709 1.837 1.731 117.101 300.000 9.746 7.310 9.484 9.687 
m5c60r2.htb 34.000 2.542 1.922 3.337 3.344 2.148 1.746 27.860 26.146 12.996 12.433 46.167 53.229 
m5c63r2.htb 16.000 4.390 2.035 4.998 2.783 2.946 2.269 32.579 13.778 31.842 29.473 19.607 18.735 
m5c66r2.htb 37.000 2.654 2.703 3.123 3.209 1.876 3.263 13.308 14.419 43.511 24.822 11.148 11.978 
m5c67r2.htb 30.000 3.383 2.860 3.457 2.315 1.696 2.108 300.000 93.551 24.026 21.157 112.860 78.934 
m5c69r2.htb 40.000 3.626 2.220 3.417 3.335 3.529 2.445 16.754 20.778 19.276 13.531 27.165 39.524 
m5c70r2.htb 50.000 2.640 2.598 2.693 2.794 2.914 1.575 18.302 47.712 89.391 144.915 50.789 118.681 
m5c71r2.htb 50.000 3.574 2.922 2.359 2.858 3.451 1.738 43.212 17.695 26.616 22.472 14.648 9.597 
m5c74r2.htb 38.000 2.161 1.798 3.808 6.261 2.462 2.035 50.604 146.413 16.689 16.171 20.981 22.254 
m5c75r2.htb 35.000 3.545 2.414 3.573 4.347 2.593 1.575 16.409 13.495 7.607 9.786 83.304 129.309 
m5c79r2.htb 34.000 2.912 2.005 3.022 3.331 2.175 1.092 109.470 157.609 137.585 122.410 88.131 300.000 
m5c81r2.htb 29.000 3.152 3.802 3.112 3.192 1.978 2.015 82.091 36.115 18.873 15.992 25.891 25.657 
m5c82r2.htb 20.000 2.652 2.295 3.088 6.628 1.834 1.713 32.747 71.642 52.478 217.110 24.582 26.177 
m5c83r2.htb 24.000 2.547 2.581 2.029 2.749 2.465 2.148 55.867 166.279 75.882 61.331 43.626 91.832 
m5c87r2.htb 25.000 2.875 3.077 3.749 3.166 1.620 2.104 33.038 34.229 76.671 40.512 300.000 46.658 
m5c92r2.htb 21.000 2.926 3.052 3.290 3.351 2.071 1.337 71.607 90.657 295.296 123.565 88.163 300.000 
m5c94r2.htb 20.000 2.606 5.197 3.343 6.432 1.698 2.279 73.197 182.705 65.933 63.381 21.936 45.570 
m5c95r2.htb 27.000 3.339 2.829 3.565 2.456 2.836 2.962 267.307 300.000 300.000 300.000 133.197 300.000 
m5c100r2.htb 30.000 2.172 2.183 3.261 2.029 2.431 2.210 36.548 141.595 300.000 193.553 192.089 34.302 
