FILE	         Ve_N_thr	 ves_CP	 ves_p	
m14c136r2.htb 186.862 68.946 39.714 30.648 18.698 9.936 6.979 8.565 4.487 4.988 5.389 6.654 8.709 10.873 13.147 19.651 92.851 33.932 10.334 11.570 12.747 22.925 60.090 111.226 45.530 0.462 0.452 0.458 0.441 0.423 0.401 0.358 0.333 0.305 0.303 0.286 0.264 0.249 0.269 0.276 0.300 0.326 0.348 0.625 0.638 0.618 0.586 0.554 0.449 0.450 
m14c140r2.htb 300.000 300.000 283.885 181.623 244.541 300.000 300.000 300.000 231.834 187.835 171.979 82.112 67.349 48.989 66.273 90.768 74.918 56.999 36.768 44.278 30.067 34.263 35.567 41.971 62.971 0.485 0.488 0.493 0.492 0.484 0.464 0.465 0.456 0.554 0.442 0.439 0.446 0.452 0.469 0.485 0.484 0.482 0.472 0.474 0.472 0.484 0.460 0.445 0.427 0.417 
m14c142r2.htb 300.000 300.000 300.000 53.112 53.848 39.730 20.960 14.422 12.651 11.106 9.634 8.199 7.233 7.010 6.505 6.660 8.023 11.948 15.028 23.641 64.117 300.000 186.755 79.960 82.750 0.540 0.540 0.532 0.490 0.506 0.525 0.556 0.577 0.620 0.651 0.669 0.680 0.714 0.725 0.742 0.732 0.714 0.685 0.616 0.571 0.521 0.475 0.493 0.510 0.520 
m14c143r3.htb 82.127 33.117 18.137 15.467 13.533 13.099 11.956 12.174 9.816 10.165 11.199 12.697 24.130 40.305 42.896 31.833 29.735 18.236 31.087 24.626 31.090 30.831 29.566 29.229 31.654 0.533 0.531 0.550 0.566 0.564 0.579 0.575 0.575 0.553 0.553 0.521 0.512 0.505 0.499 0.521 0.494 0.511 0.507 0.530 0.544 0.548 0.544 0.541 0.540 0.538 
m14c144r2.htb 300.000 161.037 74.472 59.489 39.551 29.070 30.097 28.240 22.027 23.269 24.567 30.417 36.865 51.516 112.182 300.000 300.000 121.327 55.573 42.566 23.913 21.251 20.378 20.697 21.400 0.414 0.412 0.415 0.412 0.404 0.403 0.390 0.381 0.375 0.368 0.363 0.352 0.347 0.340 0.339 0.333 0.662 0.653 0.644 0.617 0.564 0.518 0.498 0.478 0.456 
m14c145r2.htb 81.960 38.553 25.779 14.093 9.871 8.515 8.240 9.242 12.207 16.230 21.430 38.604 210.480 46.971 22.580 15.061 11.664 10.921 12.600 16.947 26.519 248.480 27.293 19.382 22.831 0.511 0.513 0.508 0.522 0.532 0.541 0.517 0.477 0.423 0.389 0.368 0.352 0.352 0.663 0.673 0.697 0.709 0.712 0.654 0.575 0.512 0.551 0.556 0.557 0.559 
m14c147r2.htb 75.767 139.146 79.803 55.822 43.167 35.364 29.065 19.224 14.583 10.592 9.913 13.223 15.753 18.029 18.180 19.891 17.811 16.467 20.622 25.562 34.550 25.276 22.250 24.238 23.612 0.550 0.456 0.463 0.457 0.456 0.453 0.457 0.461 0.461 0.460 0.463 0.463 0.448 0.448 0.432 0.420 0.401 0.393 0.392 0.393 0.404 0.419 0.412 0.411 0.415 
m14c152r2.htb 300.000 65.754 52.123 53.143 27.567 19.401 12.882 13.772 8.313 8.566 8.051 9.335 10.637 11.149 13.761 15.700 30.493 27.494 58.830 75.672 30.502 25.575 29.061 23.972 22.365 0.476 0.466 0.468 0.458 0.457 0.458 0.462 0.475 0.501 0.499 0.495 0.498 0.494 0.514 0.520 0.528 0.531 0.545 0.455 0.493 0.501 0.508 0.512 0.519 0.530 
m14c153r2.htb 220.194 43.216 22.332 14.252 10.501 8.734 6.954 8.129 5.871 7.960 8.396 10.064 13.595 19.448 35.574 82.067 39.401 300.000 14.209 23.086 22.277 87.691 249.666 70.279 31.792 0.506 0.527 0.517 0.513 0.507 0.497 0.498 0.508 0.510 0.496 0.476 0.470 0.440 0.419 0.402 0.396 0.626 0.364 0.649 0.618 0.592 0.560 0.469 0.492 0.503 
m14c156r2.htb 130.372 32.702 49.275 27.853 23.364 14.287 36.423 29.384 42.880 84.713 21.697 22.190 40.330 35.087 28.786 44.248 47.017 34.627 64.034 40.789 18.747 18.521 25.532 25.402 26.369 0.492 0.491 0.505 0.521 0.546 0.520 0.518 0.551 0.570 0.419 0.445 0.458 0.466 0.476 0.488 0.463 0.471 0.456 0.443 0.567 0.580 0.600 0.595 0.610 0.608 
m14c165r2.htb 38.968 37.330 27.783 24.549 22.953 24.861 23.136 31.225 22.866 30.635 31.929 42.179 44.796 50.091 48.370 43.377 44.830 28.432 51.533 41.828 92.744 300.000 161.947 116.903 59.496 0.483 0.481 0.481 0.493 0.485 0.489 0.484 0.487 0.499 0.487 0.485 0.483 0.487 0.480 0.490 0.500 0.510 0.504 0.504 0.506 0.512 0.507 0.503 0.503 0.509 
m14c171r2.htb 56.556 241.267 44.282 113.874 210.754 82.632 61.827 216.066 296.884 138.496 105.838 95.220 109.734 300.000 92.321 47.676 25.795 139.513 122.741 36.516 41.922 37.222 20.442 22.404 20.306 0.472 0.540 0.513 0.523 0.526 0.491 0.488 0.483 0.497 0.525 0.467 0.484 0.477 0.440 0.440 0.440 0.442 0.458 0.532 0.536 0.559 0.554 0.535 0.527 0.524 
m14c172r2.htb 300.000 300.000 176.074 146.467 156.373 56.495 33.948 38.732 35.966 34.578 43.585 45.640 83.006 51.535 33.704 40.893 300.000 90.624 72.090 58.579 53.445 45.265 43.164 62.418 43.006 0.505 0.520 0.537 0.478 0.531 0.547 0.547 0.540 0.559 0.525 0.510 0.511 0.492 0.477 0.470 0.474 0.525 0.526 0.584 0.583 0.590 0.602 0.591 0.567 0.587 
m14c174r2.htb 33.731 20.432 16.098 12.009 9.581 9.126 7.719 9.027 5.172 4.640 4.495 4.677 5.975 7.956 12.171 14.796 28.089 11.723 109.529 54.836 49.928 72.337 122.045 210.290 101.127 0.442 0.461 0.501 0.521 0.506 0.503 0.462 0.482 0.475 0.514 0.576 0.583 0.571 0.590 0.656 0.718 0.748 0.767 0.213 0.281 0.366 0.462 0.522 0.492 0.483 
m14c176r2.htb 223.156 153.556 86.906 44.653 16.675 10.731 9.362 9.623 9.916 11.776 13.924 15.572 15.733 16.615 22.937 45.750 300.000 73.075 55.668 102.578 58.759 41.913 28.734 28.883 26.270 0.537 0.534 0.521 0.504 0.512 0.503 0.479 0.470 0.449 0.443 0.453 0.459 0.467 0.471 0.468 0.483 0.520 0.528 0.511 0.504 0.526 0.548 0.562 0.575 0.587 
m14c179r3.htb 58.838 34.330 15.024 10.785 9.505 7.844 7.785 7.246 5.335 9.875 9.704 15.107 26.737 21.211 29.194 18.530 21.390 14.605 23.043 19.883 13.886 12.274 13.151 14.016 12.018 0.618 0.586 0.518 0.518 0.516 0.434 0.430 0.446 0.464 0.443 0.613 0.629 0.665 0.690 0.690 0.676 0.690 0.643 0.647 0.604 0.581 0.631 0.681 0.649 0.643 
m14c180r2.htb 38.653 12.286 8.334 6.047 5.043 3.971 3.882 5.032 4.278 4.727 4.874 5.279 5.356 5.668 7.042 8.407 12.232 7.293 49.800 24.261 32.515 67.306 241.947 261.264 300.000 0.462 0.469 0.499 0.503 0.452 0.380 0.329 0.307 0.292 0.290 0.310 0.325 0.297 0.317 0.356 0.419 0.485 0.533 0.552 0.538 0.493 0.459 0.456 0.580 0.586 
m14c184r2.htb 270.601 180.108 69.270 45.331 43.028 27.588 18.998 24.807 38.235 13.353 20.373 22.687 24.348 25.007 23.098 44.089 68.783 118.754 34.206 300.000 119.225 18.652 18.330 17.409 17.230 0.423 0.587 0.632 0.624 0.603 0.575 0.551 0.547 0.533 0.537 0.540 0.502 0.488 0.476 0.501 0.496 0.510 0.511 0.515 0.522 0.558 0.571 0.569 0.563 0.566 
m14c187r3.htb 135.374 54.727 125.418 124.956 63.616 38.041 37.160 31.792 44.513 104.463 45.187 196.964 88.996 41.124 29.735 35.699 49.198 54.804 45.960 22.452 22.400 38.682 44.296 72.208 135.919 0.451 0.483 0.480 0.514 0.505 0.518 0.551 0.561 0.530 0.463 0.428 0.397 0.620 0.607 0.615 0.598 0.575 0.572 0.589 0.581 0.572 0.543 0.527 0.506 0.503 
m14c188r2.htb 38.314 22.251 20.812 18.228 15.387 14.238 12.728 15.066 7.357 12.128 12.833 60.349 82.562 30.552 18.043 19.310 15.524 17.872 9.116 11.146 10.478 16.019 19.267 23.130 73.406 0.504 0.500 0.505 0.490 0.488 0.502 0.501 0.531 0.502 0.521 0.507 0.469 0.548 0.555 0.564 0.579 0.572 0.568 0.572 0.581 0.595 0.584 0.583 0.579 0.581 
m14c189r2.htb 115.962 107.578 36.546 32.353 19.636 15.942 12.618 14.642 9.420 11.748 9.464 9.223 10.139 9.633 11.298 13.035 17.412 13.038 42.833 24.848 300.000 83.888 74.163 48.052 53.749 0.518 0.517 0.508 0.500 0.495 0.482 0.461 0.457 0.442 0.451 0.451 0.452 0.461 0.466 0.471 0.480 0.486 0.499 0.501 0.485 0.454 0.555 0.574 0.575 0.584 
m14c192r2.htb 47.293 43.966 35.820 32.059 36.005 32.038 25.145 22.470 24.453 23.084 26.447 25.953 30.190 40.942 39.945 47.604 46.316 80.368 99.359 98.365 64.822 93.205 128.519 118.759 86.057 0.492 0.516 0.518 0.524 0.514 0.507 0.511 0.534 0.529 0.523 0.537 0.554 0.561 0.562 0.567 0.556 0.575 0.556 0.558 0.552 0.561 0.544 0.535 0.525 0.541 
m14c194r2.htb 135.388 218.797 300.000 300.000 114.669 177.635 155.174 45.430 28.296 300.000 300.000 123.125 180.886 189.825 128.866 168.299 300.000 76.198 46.226 61.943 41.527 32.899 34.203 38.038 38.527 0.434 0.426 0.559 0.562 0.543 0.553 0.561 0.561 0.549 0.521 0.513 0.535 0.541 0.553 0.561 0.557 0.540 0.543 0.521 0.498 0.523 0.534 0.535 0.550 0.564 
m14c195r2.htb 300.000 300.000 300.000 300.000 300.000 300.000 300.000 300.000 300.000 39.273 21.774 12.137 11.909 8.340 7.450 7.630 9.861 19.681 13.595 300.000 300.000 300.000 300.000 300.000 300.000 0.479 0.486 0.459 0.437 0.429 0.455 0.480 0.526 0.524 0.506 0.509 0.522 0.565 0.617 0.638 0.657 0.619 0.564 0.565 0.571 0.550 0.552 0.529 0.498 0.502 
m14c195r3.htb 98.001 99.375 255.044 60.901 50.077 23.272 40.990 101.416 30.168 26.490 19.813 10.194 10.280 8.904 7.875 7.402 8.125 12.127 8.260 300.000 300.000 300.000 300.000 300.000 300.000 0.392 0.603 0.628 0.599 0.604 0.514 0.482 0.521 0.413 0.646 0.661 0.711 0.729 0.755 0.763 0.764 0.718 0.664 0.632 0.328 0.355 0.376 0.378 0.397 0.436 
m14c196r2.htb 300.000 112.894 300.000 300.000 300.000 252.704 58.735 207.859 114.488 122.130 195.247 132.393 300.000 75.732 134.780 71.258 68.289 108.639 57.637 43.327 28.206 33.650 37.655 33.683 33.762 0.494 0.515 0.485 0.490 0.509 0.459 0.479 0.460 0.561 0.544 0.486 0.561 0.508 0.488 0.473 0.464 0.481 0.500 0.516 0.503 0.476 0.456 0.457 0.456 0.478 
m14c197r2.htb 93.057 13.828 10.526 9.753 8.224 6.455 5.383 5.246 3.392 3.596 2.941 3.234 3.599 3.471 4.016 4.617 5.716 5.671 13.507 13.572 35.145 113.619 162.234 49.278 55.275 0.449 0.454 0.461 0.461 0.459 0.444 0.440 0.441 0.435 0.451 0.495 0.501 0.494 0.500 0.513 0.517 0.519 0.508 0.535 0.546 0.539 0.535 0.468 0.469 0.478 
m14c206r2.htb 300.000 76.017 29.755 25.031 16.165 16.394 13.278 14.883 10.943 13.662 37.419 90.164 34.064 31.169 25.945 23.861 22.074 22.298 18.209 14.896 23.440 21.549 27.395 20.319 16.400 0.590 0.407 0.434 0.419 0.408 0.388 0.390 0.387 0.424 0.472 0.480 0.516 0.518 0.501 0.493 0.461 0.462 0.454 0.487 0.514 0.461 0.468 0.467 0.476 0.480 
m14c207r2.htb 70.420 56.308 65.914 94.664 68.315 44.046 19.075 18.139 17.325 19.371 18.787 24.364 34.316 39.882 135.595 300.000 42.532 33.926 36.562 54.955 44.903 57.350 115.226 300.000 100.741 0.554 0.554 0.556 0.562 0.561 0.586 0.614 0.632 0.618 0.554 0.485 0.459 0.433 0.426 0.408 0.393 0.636 0.661 0.667 0.647 0.584 0.563 0.522 0.507 0.499 
