FILE	        ThreshVeMU	, ThreshViMU	,ThreshComMU	,CorrcoefVeSUMU	,CorrcoefViSUMU	,CorrcoefComSUMU	,noiseVe	,noiseVi	,noiseCom	
m5c75r2.htb	 -0.062	 -0.920	 0.874	 0.000	 0.688	 0.006	 0.040	 0.987	 
m5c79r2.htb	 -0.375	 -0.658	 0.320	 0.054	 0.030	 -0.630	 0.940	 0.069	 
m5c81r2.htb	 -0.729	 -0.900	 0.026	 0.001	 0.298	 -0.075	 0.436	 0.849	 
m5c82r2.htb	 0.379	 -0.861	 0.314	 0.003	 -0.689	 -0.065	 0.040	 0.869	 
m5c83r2.htb	 -0.718	 -0.861	 0.030	 0.003	 0.545	 -0.070	 0.129	 0.857	 
m5c87r2.htb	 -0.215	 -0.385	 0.578	 0.306	 0.407	 0.086	 0.277	 0.826	 
m5c92r2.htb	 0.365	 -0.797	 0.334	 0.010	 0.142	 0.011	 0.716	 0.977	 
m5c95r2.htb	 -0.866	 0.753	 0.003	 0.019	 0.060	 0.353	 0.879	 0.351	 
m5c100r2.htb	 0.741	 -0.345	 0.022	 0.363	 0.053	 0.413	 0.891	 0.269	 
m5c103r2.htb	 0.748	 0.307	 0.020	 0.422	 0.047	 0.139	 0.904	 0.721	 
m5c107r2.htb	 -0.563	 0.602	 0.114	 0.087	 -0.809	 -0.128	 0.008	 0.744	 
m5c108r3.htb	 0.227	 -0.304	 0.558	 0.426	 0.016	 -0.058	 0.967	 0.882	 
m5c109r2.htb	 0.505	 -0.387	 0.166	 0.303	 0.754	 0.459	 0.019	 0.214	 
m5c111r2.htb	 -0.693	 0.876	 0.039	 0.002	 -0.502	 0.178	 0.169	 0.647	 
m5c118r2.htb	 0.303	 -0.279	 0.427	 0.467	 -0.365	 0.064	 0.334	 0.870	 
m5c125r2.htb	 -0.215	 0.898	 0.578	 0.001	 -0.802	 -0.321	 0.009	 0.399	 
m5c128r2.htb	 0.165	 -0.744	 0.671	 0.021	 0.350	 -0.124	 0.356	 0.751	 
m5c129r2.htb	 -0.097	 0.937	 0.803	 0.000	 -0.051	 -0.068	 0.896	 0.862	 
