FILE	 azimuth	 stim_type	 delta	 coherence	 bias	 bias_lower	 bias_upper	 thresh	 thresh_lower	 thresh_upper	 pct_correct	 num_reps	 norm_rev
m24c105r2.htb	90.000	3.000	0.000	60.000	1.073	0.526	1.585	1.097	0.775	 NaN	0.896	13.000	AllTrials	
m24c105r2.htb	90.000	3.000	4.000	16.000	2.146	1.289	3.062	1.471	0.810	2.831	0.845	13.000	AllTrials	
m24c105r2.htb	90.000	3.000	4.000	60.000	-1.338	-2.277	-0.909	1.198	0.528	2.746	0.791	13.000	AllTrials	
m24c105r2.htb	90.000	1.000	0.000	16.000	4.607	1.513	8.773	9.252	5.825	21.204	0.659	13.000	AllTrials	
m24c105r2.htb	90.000	2.000	0.000	16.000	5.445	3.006	10.320	7.754	5.385	18.530	0.706	13.000	AllTrials	
m24c105r2.htb	90.000	2.000	0.000	60.000	0.161	-0.247	0.606	0.798	0.258	2.067	0.925	13.000	AllTrials	
m24c105r2.htb	90.000	3.000	-4.000	16.000	0.069	-0.827	0.729	1.918	1.140	3.506	0.834	13.000	AllTrials	
m24c105r2.htb	90.000	3.000	-4.000	60.000	1.547	1.089	2.321	1.141	0.410	 NaN	0.857	13.000	AllTrials	
m24c105r2.htb	90.000	3.000	0.000	16.000	1.250	0.392	2.361	2.453	1.580	4.020	0.821	13.000	AllTrials	
m24c105r2.htb	90.000	3.000	0.000	60.000	1.073	0.613	1.655	1.097	0.775	 NaN	0.896	13.000	AllTrials	
m24c105r2.htb	90.000	3.000	4.000	16.000	2.146	1.285	3.112	1.471	0.700	2.646	0.845	13.000	AllTrials	
m24c105r2.htb	90.000	3.000	4.000	60.000	-1.338	-2.285	-0.893	1.198	0.624	 NaN	0.791	13.000	AllTrials	
m24c103r2.htb	90.000	1.000	0.000	16.000	2.142	-0.049	5.678	5.852	3.067	13.869	0.714	7.000	AllTrials	
m24c103r2.htb	90.000	2.000	0.000	16.000	-0.408	-2.339	0.867	2.986	1.034	6.337	0.776	7.000	AllTrials	
m24c103r2.htb	90.000	2.000	0.000	60.000	-0.630	-1.523	0.098	1.093	0.532	 NaN	0.829	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	-4.000	16.000	-1.366	-3.259	-0.666	1.551	0.883	 NaN	0.755	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	-4.000	60.000	1.913	0.647	3.231	2.261	1.157	 NaN	0.834	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	0.000	16.000	-0.720	-2.548	0.727	3.513	1.867	6.704	0.714	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	0.000	60.000	-0.367	-1.230	0.107	0.630	0.207	 NaN	0.857	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	4.000	16.000	0.874	-0.244	1.997	2.163	1.213	 NaN	0.804	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	4.000	60.000	-1.580	-3.500	-1.524	0.339	 NaN	0.499	0.714	7.000	AllTrials	
m24c103r2.htb	90.000	1.000	0.000	16.000	2.142	-0.107	5.646	5.852	3.298	18.696	0.714	7.000	AllTrials	
m24c103r2.htb	90.000	2.000	0.000	16.000	-0.408	-2.154	1.111	2.986	0.997	6.437	0.776	7.000	AllTrials	
m24c103r2.htb	90.000	2.000	0.000	60.000	-0.630	-1.545	0.102	1.093	0.507	 NaN	0.829	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	-4.000	16.000	-1.366	-3.026	-0.695	1.551	0.810	 NaN	0.755	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	-4.000	60.000	1.913	0.733	3.484	2.261	1.174	 NaN	0.834	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	0.000	16.000	-0.720	-2.616	0.697	3.513	1.809	6.827	0.714	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	0.000	60.000	-0.367	-1.273	0.079	0.630	0.207	 NaN	0.857	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	4.000	16.000	0.874	-0.192	2.191	2.163	1.113	 NaN	0.804	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	4.000	60.000	-1.580	-3.500	-1.524	0.339	 NaN	0.477	0.714	7.000	AllTrials	
m24c103r2.htb	90.000	1.000	0.000	16.000	2.600	1.314	3.551	1.312	0.097	3.710	0.804	7.000	AllTrials	
m24c103r2.htb	90.000	2.000	0.000	16.000	0.451	-2.114	2.728	5.452	2.987	14.826	0.707	7.000	AllTrials	
m24c103r2.htb	90.000	2.000	0.000	60.000	1.146	0.000	1.326	0.307	0.128	 NaN	0.870	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	-4.000	16.000	-0.782	-1.230	-0.000	0.577	0.011	2.448	0.798	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	-4.000	60.000	1.711	0.763	2.903	1.628	0.836	 NaN	0.844	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	0.000	16.000	0.846	-0.022	1.949	1.833	0.980	 NaN	0.821	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	0.000	60.000	0.190	 NaN	0.266	0.281	 NaN	0.430	0.964	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	4.000	16.000	2.037	0.822	3.701	2.537	1.466	 NaN	0.796	7.000	AllTrials	
m24c103r2.htb	90.000	3.000	4.000	60.000	-1.735	-3.500	-1.230	0.947	0.264	 NaN	0.750	7.000	AllTrials	
m24c164r1.htb	90.000	1.000	0.000	16.000	1.058	-0.000	3.045	1.671	0.829	 NaN	0.881	3.000	AllTrials	
m24c164r1.htb	90.000	2.000	0.000	16.000	-0.450	-0.173	-0.371	0.112	0.046	0.046	0.750	3.000	AllTrials	
m24c164r1.htb	90.000	2.000	0.000	60.000	-0.017	-1.253	0.410	1.101	0.384	 NaN	0.929	3.000	AllTrials	
m24c164r1.htb	90.000	3.000	-4.000	16.000	-1.398	-3.812	0.087	2.789	1.081	 NaN	0.738	3.000	AllTrials	
m24c164r1.htb	90.000	3.000	-4.000	60.000	-0.136	-0.115	-0.115	0.331	0.312	0.312	0.905	3.000	AllTrials	
m24c164r1.htb	90.000	3.000	0.000	16.000	-0.722	-2.675	0.260	1.494	0.408	 NaN	0.857	3.000	AllTrials	
m24c164r1.htb	90.000	3.000	0.000	60.000	-0.125	-0.103	-0.103	0.312	0.311	0.311	0.905	3.000	AllTrials	
m24c164r1.htb	90.000	3.000	4.000	16.000	-0.067	-1.439	1.024	1.840	1.070	 NaN	0.857	3.000	AllTrials	
m24c164r1.htb	90.000	3.000	4.000	60.000	9.238	2.714	615.518	11.272	2.483	79860.256	0.714	3.000	AllTrials	
m24c160r2.htb	90.000	1.000	0.000	16.000	0.285	-0.789	1.225	3.417	2.206	5.446	0.793	20.000	AllTrials	
m24c160r2.htb	90.000	2.000	0.000	16.000	0.196	-0.717	1.220	3.529	2.593	5.130	0.786	20.000	AllTrials	
m24c160r2.htb	90.000	2.000	0.000	60.000	0.250	-0.220	0.794	1.338	0.958	 NaN	0.871	20.000	AllTrials	
m24c160r2.htb	90.000	3.000	-4.000	16.000	-1.078	-1.931	-0.340	2.300	1.472	3.604	0.779	20.000	AllTrials	
m24c160r2.htb	90.000	3.000	-4.000	60.000	2.019	1.303	2.868	2.083	1.493	3.202	0.836	20.000	AllTrials	
m24c160r2.htb	90.000	3.000	0.000	16.000	0.025	-0.893	1.048	3.497	2.549	5.145	0.771	20.000	AllTrials	
m24c160r2.htb	90.000	3.000	0.000	60.000	0.155	-0.217	0.556	1.037	0.629	1.491	0.886	20.000	AllTrials	
m24c160r2.htb	90.000	3.000	4.000	16.000	0.278	-0.587	1.030	2.715	1.836	4.070	0.807	20.000	AllTrials	
m24c160r2.htb	90.000	3.000	4.000	60.000	-1.669	-2.402	-1.208	1.344	0.821	2.302	0.771	20.000	AllTrials	
m24c166r2.htb	90.000	1.000	0.000	16.000	1.597	1.597	1.857	5.180	5.180	5.648	0.759	12.000	AllTrials	
m24c166r2.htb	90.000	2.000	0.000	16.000	3.136	1.562	5.700	4.583	2.688	8.899	0.765	12.000	AllTrials	
m24c166r2.htb	90.000	2.000	0.000	60.000	1.084	0.635	1.505	0.766	0.349	 NaN	0.929	12.000	AllTrials	
m24c166r2.htb	90.000	3.000	-4.000	16.000	-2.122	-3.626	-1.130	2.961	2.005	4.988	0.707	12.000	AllTrials	
m24c166r2.htb	90.000	3.000	-4.000	60.000	1.251	1.075	1.333	0.217	0.101	0.413	0.923	12.000	AllTrials	
m24c166r2.htb	90.000	3.000	0.000	16.000	-0.604	-2.055	0.475	3.416	1.969	5.438	0.766	12.000	AllTrials	
m24c166r2.htb	90.000	3.000	0.000	60.000	-0.452	-1.138	0.126	1.330	0.901	 NaN	0.835	12.000	AllTrials	
m24c166r2.htb	90.000	3.000	4.000	16.000	1.302	0.151	2.608	3.428	2.149	5.568	0.803	12.000	AllTrials	
m24c166r2.htb	90.000	3.000	4.000	60.000	-1.602	 NaN	-1.573	0.269	0.038	0.525	0.726	12.000	AllTrials	
m24c166r2.htb	90.000	1.000	0.000	16.000	6.455	2.251	15.645	6.055	1.608	51.566	0.786	4.000	AllTrials	
m24c166r2.htb	90.000	2.000	0.000	16.000	8.675	3.500	17.891	5.565	1.273	 NaN	0.707	4.000	AllTrials	
m24c166r2.htb	90.000	2.000	0.000	60.000	14.955	10.548	 NaN	7.853	1.586	 NaN	0.857	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	-4.000	16.000	0.242	-1.137	1.298	1.728	0.987	 NaN	0.836	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	-4.000	60.000	1.480	 NaN	1.670	0.377	 NaN	0.425	0.893	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	0.000	16.000	1.031	-0.982	3.934	4.317	2.060	12.814	0.779	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	0.000	60.000	0.003	 NaN	0.204	0.320	0.301	0.301	0.929	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	4.000	16.000	2.536	0.635	3.246	1.341	0.091	 NaN	0.857	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	4.000	60.000	14.387	5.347	34768.608	14.037	3.356	607688.577	0.714	4.000	AllTrials	
m24c166r2.htb	90.000	1.000	0.000	16.000	6.455	2.345	17.601	6.055	1.608	49.294	0.786	4.000	AllTrials	
m24c166r2.htb	90.000	2.000	0.000	16.000	8.675	3.165	16.005	5.565	1.273	 NaN	0.707	4.000	AllTrials	
m24c166r2.htb	90.000	2.000	0.000	60.000	14.955	9.600	231.914	7.853	1.223	75.350	0.857	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	-4.000	16.000	0.242	-0.936	1.461	1.728	0.987	 NaN	0.836	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	-4.000	60.000	1.480	1.343	1.343	0.377	0.042	0.039	0.893	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	0.000	16.000	1.031	-1.131	3.776	4.317	2.051	 NaN	0.779	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	0.000	60.000	0.003	 NaN	0.022	0.320	0.301	0.301	0.929	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	4.000	16.000	2.536	1.042	3.260	1.341	0.091	 NaN	0.857	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	4.000	60.000	14.387	5.525	3293.601	14.037	4.263	72552.845	0.714	4.000	AllTrials	
m24c166r2.htb	90.000	1.000	0.000	16.000	6.455	2.150	15.710	6.055	1.122	31.381	0.786	4.000	AllTrials	
m24c166r2.htb	90.000	2.000	0.000	16.000	8.675	3.799	19.183	5.565	1.273	 NaN	0.707	4.000	AllTrials	
m24c166r2.htb	90.000	2.000	0.000	60.000	14.955	10.000	 NaN	7.853	1.586	 NaN	0.857	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	-4.000	16.000	0.242	-1.031	1.327	1.728	0.987	 NaN	0.836	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	-4.000	60.000	1.480	1.343	1.343	0.377	0.245	0.039	0.893	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	0.000	16.000	1.031	-0.786	3.915	4.317	2.125	 NaN	0.779	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	0.000	60.000	0.003	 NaN	0.204	0.320	0.301	0.301	0.929	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	4.000	16.000	2.536	1.042	3.260	1.341	0.091	 NaN	0.857	4.000	AllTrials	
m24c166r2.htb	90.000	3.000	4.000	60.000	14.387	5.642	3112.498	14.037	4.020	369867.065	0.714	4.000	AllTrials	
m24c18r2.htb	90.000	1.000	0.000	15.000	-0.557	-1.232	-0.000	0.691	0.000	1.826	0.833	6.000	AllTrials	
m24c18r2.htb	90.000	2.000	0.000	15.000	-3.155	-18.402	-0.046	8.521	3.164	32.238	0.663	6.000	AllTrials	
m24c18r2.htb	90.000	2.000	0.000	60.000	-0.816	-2.543	0.379	2.714	1.260	5.680	0.823	6.000	AllTrials	
m24c18r2.htb	90.000	3.000	-4.000	15.000	-3.122	-4.683	-1.748	1.932	0.465	 NaN	0.684	6.000	AllTrials	
m24c18r2.htb	90.000	3.000	-4.000	60.000	1.033	-0.063	2.445	2.028	0.994	 NaN	0.833	6.000	AllTrials	
m24c18r2.htb	90.000	3.000	0.000	15.000	-2.253	-4.277	-0.774	3.447	1.969	 NaN	0.697	6.000	AllTrials	
m24c18r2.htb	90.000	3.000	0.000	60.000	0.675	-0.017	1.230	0.650	0.223	 NaN	0.952	6.000	AllTrials	
m24c18r2.htb	90.000	3.000	4.000	15.000	-1.368	-3.375	-0.266	2.471	1.270	 NaN	0.762	6.000	AllTrials	
m24c18r2.htb	90.000	3.000	4.000	60.000	-1.405	 NaN	-1.230	1.052	0.000	 NaN	0.786	6.000	AllTrials	
m24c18r2.htb	90.000	1.000	0.000	15.000	-0.557	-1.246	-0.000	0.691	0.000	1.817	0.833	6.000	AllTrials	
m24c18r2.htb	90.000	2.000	0.000	15.000	-3.155	-25.857	-0.441	8.521	3.359	38.517	0.663	6.000	AllTrials	
m24c18r2.htb	90.000	2.000	0.000	60.000	-0.816	-2.494	0.452	2.714	1.266	5.745	0.823	6.000	AllTrials	
m24c18r2.htb	90.000	3.000	-4.000	15.000	-3.122	-4.632	-1.725	1.932	0.477	 NaN	0.684	6.000	AllTrials	
m24c18r2.htb	90.000	3.000	-4.000	60.000	1.033	-0.075	2.530	2.028	1.045	 NaN	0.833	6.000	AllTrials	
m24c18r2.htb	90.000	3.000	0.000	15.000	-2.253	-4.247	-0.739	3.447	1.990	 NaN	0.697	6.000	AllTrials	
m24c18r2.htb	90.000	3.000	0.000	60.000	0.675	0.096	1.230	0.650	0.223	 NaN	0.952	6.000	AllTrials	
m24c18r2.htb	90.000	3.000	4.000	15.000	-1.368	-3.030	-0.109	2.471	1.150	 NaN	0.762	6.000	AllTrials	
m24c18r2.htb	90.000	3.000	4.000	60.000	-1.405	 NaN	-1.230	1.052	0.243	 NaN	0.786	6.000	AllTrials	
m24c36r2.htb	90.000	1.000	0.000	18.000	0.422	-0.601	1.528	2.586	1.303	4.630	0.814	10.000	AllTrials	
m24c36r2.htb	90.000	2.000	0.000	18.000	1.233	-0.124	3.623	4.883	3.376	 NaN	0.714	10.000	AllTrials	
m24c36r2.htb	90.000	2.000	0.000	60.000	1.112	0.384	2.013	1.517	0.788	 NaN	0.886	10.000	AllTrials	
m24c36r2.htb	90.000	3.000	-4.000	18.000	-3.045	-4.781	-2.038	2.770	1.729	5.329	0.686	10.000	AllTrials	
m24c36r2.htb	90.000	3.000	-4.000	60.000	2.738	1.629	3.810	2.040	1.181	3.412	0.829	10.000	AllTrials	
m24c36r2.htb	90.000	3.000	0.000	18.000	-2.398	-4.495	-1.015	4.287	2.838	 NaN	0.671	10.000	AllTrials	
m24c36r2.htb	90.000	3.000	0.000	60.000	-0.141	-0.841	0.350	1.147	0.677	 NaN	0.886	10.000	AllTrials	
m24c36r2.htb	90.000	3.000	4.000	18.000	0.354	-0.963	1.588	3.188	1.685	5.095	0.814	10.000	AllTrials	
m24c36r2.htb	90.000	3.000	4.000	60.000	-0.722	-1.332	-0.281	0.836	0.389	 NaN	0.843	10.000	AllTrials	
m24c36r2.htb	90.000	1.000	0.000	18.000	0.140	-1.108	0.966	2.224	1.180	5.023	0.740	14.000	AllTrials	
m24c36r2.htb	90.000	2.000	0.000	18.000	2.415	0.201	2344.300	6.790	2.965	473.255	0.600	14.000	AllTrials	
m24c36r2.htb	90.000	2.000	0.000	60.000	0.796	0.003	1.440	1.121	0.555	2.856	0.840	14.000	AllTrials	
m24c36r2.htb	90.000	3.000	-4.000	18.000	-3.232	-8.362	-1.983	3.027	1.490	19.046	0.560	14.000	AllTrials	
m24c36r2.htb	90.000	3.000	-4.000	60.000	2.664	1.573	4.743	2.012	1.139	5.812	0.760	14.000	AllTrials	
m24c36r2.htb	90.000	3.000	0.000	18.000	-3.433	-44.572	-1.141	5.847	2.327	397.326	0.540	14.000	AllTrials	
m24c36r2.htb	90.000	3.000	0.000	60.000	-0.054	-0.705	0.515	1.237	0.674	2.260	0.840	14.000	AllTrials	
m24c36r2.htb	90.000	3.000	4.000	18.000	0.593	-0.432	2.645	2.692	1.295	7.235	0.740	14.000	AllTrials	
m24c36r2.htb	90.000	3.000	4.000	60.000	-0.785	-1.262	-0.207	0.808	0.384	 NaN	0.780	14.000	AllTrials	
m24c37r2.htb	90.000	1.000	0.000	18.000	0.297	-0.662	1.150	3.203	2.202	4.672	0.825	18.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	18.000	-1.366	-3.316	-0.467	4.139	2.832	7.089	0.698	18.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	60.000	0.244	-0.133	0.649	0.946	0.578	1.657	0.905	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	18.000	-1.637	-2.678	-0.902	2.479	1.765	4.107	0.738	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	60.000	2.380	1.230	2.920	0.904	0.559	 NaN	0.857	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	18.000	-0.739	-1.663	0.089	2.847	1.896	4.121	0.778	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	60.000	0.414	0.090	0.707	0.646	0.257	1.177	0.944	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	18.000	0.109	-0.604	0.769	2.119	1.312	3.316	0.825	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	60.000	-0.958	-1.487	-0.547	1.167	0.816	 NaN	0.817	18.000	AllTrials	
m24c37r2.htb	90.000	1.000	0.000	18.000	0.336	-0.611	1.306	3.253	2.178	4.834	0.824	17.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	18.000	-1.246	-3.263	-0.320	4.343	2.978	7.695	0.697	17.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	60.000	0.273	-0.150	0.657	0.990	0.596	1.620	0.908	17.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	18.000	-1.625	-2.721	-0.839	2.692	1.765	4.063	0.739	17.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	60.000	2.382	1.521	2.924	0.922	0.628	 NaN	0.857	17.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	18.000	-0.631	-1.563	0.260	2.895	1.862	4.306	0.782	17.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	60.000	0.471	0.000	0.849	0.630	0.266	1.069	0.950	17.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	18.000	-0.002	-0.774	0.628	2.118	1.317	3.548	0.824	17.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	60.000	-0.897	-1.545	-0.545	1.167	0.771	 NaN	0.824	17.000	AllTrials	
m24c37r2.htb	90.000	1.000	0.000	18.000	-0.150	-1.167	0.711	3.325	2.284	4.656	0.807	20.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	18.000	-1.592	-3.246	-0.646	4.153	2.895	6.822	0.686	20.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	60.000	0.071	-0.324	0.440	1.051	0.755	1.651	0.893	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	18.000	-2.047	-3.029	-1.217	2.770	1.965	4.292	0.721	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	60.000	2.207	1.239	2.656	0.989	0.432	1.552	0.871	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	18.000	-0.923	-1.892	-0.170	2.787	1.884	4.164	0.771	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	60.000	0.417	0.026	0.638	0.644	0.358	1.055	0.950	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	18.000	-0.249	-0.940	0.451	2.353	1.501	3.712	0.807	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	60.000	-1.080	-1.677	-0.737	1.140	0.764	 NaN	0.807	20.000	AllTrials	
m24c37r2.htb	90.000	1.000	0.000	18.000	0.297	-0.673	1.190	3.203	2.158	4.607	0.825	18.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	18.000	-1.366	-3.289	-0.407	4.139	2.904	7.229	0.698	18.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	60.000	0.244	-0.136	0.644	0.946	0.618	1.654	0.905	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	18.000	-1.637	-2.558	-0.878	2.479	1.719	3.910	0.738	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	60.000	2.380	1.230	3.168	0.904	0.559	 NaN	0.857	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	18.000	-0.739	-1.664	0.074	2.847	1.946	4.309	0.778	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	60.000	0.414	0.090	0.707	0.646	0.257	1.153	0.944	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	18.000	0.109	-0.655	0.754	2.119	1.298	3.385	0.825	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	60.000	-0.958	-1.538	-0.567	1.167	0.816	 NaN	0.817	18.000	AllTrials	
m24c37r2.htb	90.000	1.000	0.000	18.000	-0.150	-1.068	0.683	3.325	2.327	4.757	0.807	20.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	18.000	-1.592	-3.302	-0.704	4.153	2.947	6.894	0.686	20.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	60.000	0.071	-0.388	0.423	1.051	0.729	1.660	0.893	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	18.000	-2.047	-3.143	-1.286	2.770	1.952	4.154	0.721	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	60.000	2.207	1.239	2.652	0.989	0.432	 NaN	0.871	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	18.000	-0.923	-1.782	-0.129	2.787	1.940	4.107	0.771	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	60.000	0.417	0.028	0.670	0.644	0.419	 NaN	0.950	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	18.000	-0.249	-0.958	0.461	2.353	1.514	3.590	0.807	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	60.000	-1.080	-1.648	-0.717	1.140	0.770	 NaN	0.807	20.000	AllTrials	
m24c37r2.htb	90.000	1.000	0.000	18.000	0.297	-0.568	1.319	3.203	2.261	4.812	0.825	18.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	18.000	-1.366	-3.193	-0.437	4.139	2.877	7.475	0.698	18.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	60.000	0.244	-0.137	0.643	0.946	0.618	1.588	0.905	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	18.000	-1.637	-2.671	-0.929	2.479	1.752	4.074	0.738	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	60.000	2.380	1.230	2.790	0.904	0.545	 NaN	0.857	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	18.000	-0.739	-1.679	0.089	2.847	1.816	4.186	0.778	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	60.000	0.414	0.081	0.696	0.646	0.281	1.265	0.944	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	18.000	0.109	-0.557	0.871	2.119	1.281	3.344	0.825	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	60.000	-0.958	-1.497	-0.536	1.167	0.816	 NaN	0.817	18.000	AllTrials	
m24c37r2.htb	90.000	1.000	0.000	18.000	-0.391	-1.533	0.482	3.303	2.234	4.756	0.813	16.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	18.000	-1.640	-3.397	-0.789	3.477	2.248	5.561	0.688	16.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	60.000	0.031	-0.445	0.446	1.054	0.664	1.679	0.884	16.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	18.000	-2.181	-3.473	-1.317	2.844	1.967	4.737	0.714	16.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	60.000	1.977	1.230	2.517	0.932	0.371	 NaN	0.884	16.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	18.000	-1.154	-2.140	-0.374	2.515	1.662	4.041	0.768	16.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	60.000	0.309	-0.048	0.547	0.582	0.281	 NaN	0.946	16.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	18.000	-0.233	-1.046	0.436	2.096	1.348	3.786	0.821	16.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	60.000	-1.189	-1.773	-0.816	1.072	0.768	 NaN	0.795	16.000	AllTrials	
m24c37r2.htb	90.000	1.000	0.000	18.000	-0.150	-1.031	0.786	3.325	2.343	4.796	0.807	20.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	18.000	-1.592	-3.346	-0.668	4.153	2.949	7.124	0.686	20.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	60.000	0.071	-0.360	0.423	1.051	0.736	1.769	0.893	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	18.000	-2.047	-3.227	-1.289	2.770	1.993	4.661	0.721	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	60.000	2.207	1.239	2.656	0.989	0.432	1.814	0.871	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	18.000	-0.923	-1.872	-0.239	2.787	1.890	4.069	0.771	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	60.000	0.417	0.028	0.638	0.644	0.307	1.105	0.950	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	18.000	-0.249	-0.986	0.438	2.353	1.570	3.729	0.807	20.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	60.000	-1.080	-1.669	-0.720	1.140	0.770	 NaN	0.807	20.000	AllTrials	
m24c37r2.htb	90.000	1.000	0.000	18.000	-0.724	-2.109	0.187	3.363	2.211	5.244	0.816	14.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	18.000	-2.022	-4.089	-1.075	3.421	2.064	5.822	0.684	14.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	60.000	-0.179	-0.643	0.232	0.974	0.620	1.615	0.878	14.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	18.000	-2.477	-4.267	-1.544	3.324	2.358	 NaN	0.704	14.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	60.000	1.412	1.131	1.492	0.320	 NaN	0.457	0.898	14.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	18.000	-1.421	-2.620	-0.654	2.454	1.603	4.088	0.755	14.000	AllTrials	
