FILE	 azimuth	 stim_type	 delta	 coherence	 bias	 bias_lower	 bias_upper	 thresh	 thresh_lower	 thresh_upper	 pct_correct	 num_reps	 norm_rev
m24c0r227.htb	90.000	2.000	0.000	15.000	-0.694	-2.242	0.057	3.074	1.996	5.361	0.735	15.000	AllTrials	
m24c0r227.htb	90.000	2.000	0.000	50.000	-0.294	-0.897	0.259	1.700	1.056	2.910	0.843	15.000	AllTrials	
m24c0r227.htb	90.000	3.000	-3.000	15.000	-1.954	-3.364	-1.190	2.787	1.961	 NaN	0.730	15.000	AllTrials	
m24c0r227.htb	90.000	3.000	-3.000	50.000	0.572	0.162	0.981	0.855	0.552	 NaN	0.876	15.000	AllTrials	
m24c0r227.htb	90.000	3.000	0.000	15.000	-1.282	-2.585	-0.582	2.554	1.429	3.962	0.725	15.000	AllTrials	
m24c0r227.htb	90.000	3.000	0.000	50.000	-0.454	-1.037	0.047	1.385	0.922	 NaN	0.819	15.000	AllTrials	
m24c0r227.htb	90.000	3.000	3.000	15.000	-0.409	-1.198	0.280	2.301	1.474	3.544	0.836	15.000	AllTrials	
m24c0r227.htb	90.000	3.000	3.000	50.000	-1.410	-2.066	-0.864	1.340	0.907	2.309	0.771	15.000	AllTrials	
m18c0r151.htb	90.000	1.000	0.000	25.000	-3.799	-8.937	-1.939	6.117	3.380	12.594	0.675	13.000	AllTrials	
m18c0r151.htb	90.000	2.000	0.000	25.000	0.970	-0.071	1.705	1.794	0.986	3.568	0.821	13.000	AllTrials	
m18c0r151.htb	90.000	2.000	0.000	70.000	0.253	-0.663	0.952	1.448	0.713	2.719	0.880	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	-2.000	25.000	-4.324	 NaN	-4.092	1.447	0.697	 NaN	0.702	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	-2.000	70.000	-0.222	-0.916	0.635	0.834	0.249	1.627	0.940	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	0.000	25.000	-2.670	-3.693	-1.969	1.697	1.120	 NaN	0.786	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	0.000	70.000	-1.893	-2.800	-1.193	0.847	0.248	1.693	0.833	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	2.000	25.000	-3.199	-5.073	-2.239	2.579	1.606	 NaN	0.750	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	2.000	70.000	-2.114	-2.904	-1.462	1.494	0.894	 NaN	0.821	13.000	AllTrials	
m18c0r151.htb	90.000	1.000	0.000	25.000	-4.472	-11.804	-2.410	6.209	3.446	13.717	0.667	13.000	AllTrials	
m18c0r151.htb	90.000	2.000	0.000	25.000	0.903	-0.104	1.658	1.825	1.020	3.935	0.821	13.000	AllTrials	
m18c0r151.htb	90.000	2.000	0.000	70.000	0.249	-0.921	0.980	1.548	0.763	3.235	0.872	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	-2.000	25.000	-4.249	 NaN	-3.948	1.599	0.607	 NaN	0.705	13.000	AllTrials	
