FILE	         theshold	 CP	 Rfiring	 Rdfttrial	 Rdftmean	 phase	 ratio	
m2c368r2.htb 35.263 40.040 0.447 0.577 0.274 0.280 0.525 0.386 0.146 0.305 
m2c369r2.htb 75.695 19.984 0.490 0.565 0.856 0.840 -0.463 -0.720 0.209 0.029 
m2c370r2.htb 6.282 15.171 0.531 0.405 0.656 0.652 -0.904 -0.684 0.001 0.042 
m2c372r2.htb 20.268 26.395 0.535 0.472 0.476 0.474 -0.522 -0.428 0.150 0.251 
m2c374r2.htb 8.352 11.743 0.532 0.439 0.474 0.458 -0.929 -0.902 0.000 0.001 
m2c376r2.htb 121.582 300.000 0.575 0.527 0.196 0.178 -0.559 -0.217 0.118 0.575 
m2c378r2.htb 14.442 15.328 0.528 0.508 0.554 0.516 0.752 0.769 0.019 0.016 
m2c382r2.htb 64.798 300.000 0.476 0.522 0.630 0.640 -0.525 -0.024 0.146 0.951 
m2c384r2.htb 25.469 53.573 0.576 0.602 0.070 0.072 0.691 0.626 0.039 0.071 
m2c392r2.htb 55.490 70.956 0.466 0.480 0.524 0.574 -0.270 -0.043 0.483 0.912 
m2c403r2.htb 13.016 138.700 0.530 0.592 0.544 0.486 -0.771 0.033 0.015 0.933 
m2c409r2.htb 9.504 9.455 0.639 0.512 0.064 0.056 -0.712 -0.833 0.031 0.005 
m2c417r2.htb 34.081 21.221 0.606 0.440 0.088 0.094 -0.217 0.755 0.575 0.019 
m2c423r2.htb 35.412 300.000 0.508 0.497 0.848 0.840 -0.362 0.068 0.338 0.862 
m2c427r2.htb 20.269 300.000 0.401 0.440 0.050 0.032 0.677 -0.202 0.045 0.602 
m2c429r2.htb 7.208 11.362 0.551 0.540 0.340 0.384 0.939 -0.866 0.000 0.003 
m2c436r2.htb 4.506 6.095 0.569 0.536 0.096 0.076 -0.972 -0.896 0.000 0.001 
m2c441r2.htb 1.811 4.072 0.589 0.442 0.016 0.036 0.970 0.957 0.000 0.000 
m2c443r2.htb 73.215 22.272 0.443 0.412 0.164 0.172 -0.237 0.614 0.539 0.079 
m2c445r2.htb 6.508 5.816 0.634 0.588 0.028 0.040 -0.863 -0.930 0.003 0.000 
m2c450r2.htb 100.929 18.058 0.692 0.341 0.008 0.006 -0.314 -0.806 0.410 0.009 
m5c4r2.htb 20.059 19.539 0.532 0.480 0.536 0.520 -0.902 -0.865 0.001 0.003 
m5c6r2.htb 43.283 166.669 0.624 0.561 0.004 0.002 0.501 -0.140 0.169 0.719 
m5c7r2.htb 300.000 85.673 0.538 0.485 0.504 0.450 -0.045 -0.022 0.908 0.956 
m5c8r2.htb 5.017 5.767 0.653 0.602 0.030 0.038 -0.979 0.952 0.000 0.000 
m5c13r2.htb 16.788 22.471 0.461 0.467 0.366 0.434 -0.949 -0.930 0.000 0.000 
m5c14r2.htb 16.551 18.568 0.564 0.547 0.170 0.150 0.857 -0.703 0.003 0.034 
