FILE	        ThreshVeMU	, ThreshViMU	,ThreshComMU	,CorrcoefVeSUMU	,CorrcoefViSUMU	,CorrcoefComSUMU	,noiseVe	,noiseVi	,noiseCom	
m2c191r2.htb	 44.948	 32.649	 47.846	 -0.402	 0.641	 0.572	 0.188	 0.256	 0.050	 
m2c193r2.htb	 300.000	 300.000	 100.929	 0.005	 0.162	 -0.156	 -0.073	 -0.019	 -0.311	 
m2c195r2.htb	 54.940	 20.351	 20.034	 0.220	 -0.438	 0.042	 -0.054	 -0.055	 0.160	 
m2c197r2.htb	 39.579	 9.296	 10.772	 0.629	 0.991	 0.964	 0.106	 0.094	 0.202	 
m2c198r2.htb	 10.668	 16.012	 16.600	 0.758	 0.696	 0.742	 0.181	 0.223	 0.060	 
m2c199r2.htb	 18.848	 13.798	 7.346	 0.733	 0.933	 0.968	 0.167	 0.240	 0.175	 
m2c200r2.htb	 17.103	 8.865	 7.239	 0.736	 0.972	 0.933	 -0.062	 0.012	 -0.042	 
m2c202r2.htb	 300.000	 58.752	 33.963	 0.358	 -0.202	 -0.758	 0.167	 0.205	 0.111	 
m2c214r2.htb	 23.791	 3.248	 2.775	 0.643	 0.996	 0.968	 -0.342	 -0.308	 -0.347	 
m2c220r2.htb	 27.325	 10.789	 33.779	 0.715	 0.986	 0.688	 0.576	 0.702	 0.593	 
m2c221r2.htb	 14.427	 15.552	 35.038	 0.950	 0.849	 0.800	 0.401	 0.430	 0.423	 
m2c223r2.htb	 37.129	 19.958	 11.532	 0.708	 0.955	 0.972	 0.634	 0.513	 0.705	 
m2c226r2.htb	 32.715	 27.357	 27.420	 -0.298	 0.150	 -0.142	 -0.014	 0.207	 0.215	 
m2c231r2.htb	 66.611	 10.937	 20.701	 0.000	 0.888	 0.224	 0.416	 0.143	 0.282	 
m2c233r2.htb	 23.204	 40.459	 26.476	 -0.171	 0.579	 0.906	 0.376	 0.346	 0.388	 
m2c236r2.htb	 17.221	 227.481	 112.904	 0.287	 0.957	 0.775	 0.440	 0.481	 0.539	 
m2c237r2.htb	 40.877	 8.725	 8.355	 0.175	 0.930	 0.842	 -0.173	 -0.446	 -0.519	 
m2c240r2.htb	 147.962	 22.602	 27.205	 0.190	 0.971	 0.771	 0.435	 -0.069	 -0.182	 
m2c241r2.htb	 121.582	 35.285	 61.254	 -0.318	 0.692	 -0.050	 -0.419	 -0.375	 -0.275	 
m2c252r2.htb	 30.090	 107.363	 78.173	 -0.361	 0.592	 -0.805	 -0.093	 -0.188	 -0.096	 
m2c254r2.htb	 14.590	 23.265	 14.772	 0.934	 0.875	 0.788	 0.485	 0.462	 0.415	 
m2c258r2.htb	 37.124	 18.629	 20.101	 -0.388	 0.883	 0.823	 0.161	 0.034	 0.121	 
m2c260r2.htb	 60.206	 15.146	 15.205	 0.777	 0.973	 0.949	 0.400	 0.201	 0.440	 
m2c364r2.htb	 19.318	 8.091	 7.099	 0.198	 0.955	 0.910	 0.214	 0.351	 0.264	 
m2c365r2.htb	 9.797	 29.442	 11.512	 0.597	 0.462	 0.689	 0.044	 -0.044	 -0.043	 
m2c368r2.htb	 300.000	 94.439	 71.450	 0.111	 0.173	 0.728	 0.415	 0.379	 0.369	 
m2c369r2.htb	 71.413	 147.954	 33.392	 0.364	 0.184	 0.713	 0.389	 0.222	 0.204	 
m2c370r2.htb	 300.000	 11.139	 11.889	 -0.011	 -0.413	 -0.321	 0.219	 0.167	 0.184	 
m2c372r2.htb	 53.463	 24.384	 52.037	 -0.095	 0.936	 0.738	 0.294	 0.334	 0.267	 
m2c374r2.htb	 19.754	 17.450	 23.330	 0.742	 0.683	 0.500	 0.153	 0.335	 0.346	 
m2c376r2.htb	 59.737	 12.287	 10.281	 0.681	 0.632	 0.906	 0.144	 0.089	 0.079	 
m2c378r2.htb	 66.327	 28.924	 69.712	 0.387	 0.822	 0.694	 0.336	 0.274	 0.399	 
m2c382r2.htb	 300.000	 3.974	 3.225	 0.372	 0.955	 0.965	 0.485	 0.376	 0.473	 
m2c392r2.htb	 22.689	 13.091	 10.628	 0.691	 0.735	 0.857	 0.375	 0.391	 0.288	 
m2c403r2.htb	 70.602	 2.033	 1.842	 -0.343	 0.966	 0.945	 0.325	 0.213	 0.106	 
