FILE	       10_bias	 20_bias	 30_bias	 10_thresh	 20_thresh	 30_thresh	 11_bias	 21_bias	 31_bias	 11_thresh	 21_thresh	 31_thresh	 1_shfit_p	 2_shfit_p	 3_shfit_p	 1_slope_p	 2_slope_p	 3_slope_p	
m5c627r3.htb -0.001 -1.407 -0.203 
m5c631r3.htb 0.534 -1.895 -0.398 
m5c634r3.htb -0.505 -1.795 -0.186 
m5c638r3.htb 0.705 6.413 1.328 
m5c642r3.htb -0.271 0.525 0.076 
m5c646r3.htb 0.584 1.334 0.871 
m5c654r3.htb 0.237 -1.453 0.415 
m5c656r3.htb 0.610 -0.716 -0.163 
m5c665r3.htb -0.042 0.260 2.684 
m5c667r3.htb 1.074 2.003 1.144 
m5c671r3.htb 0.061 -0.212 -0.131 
m5c676r3.htb -0.536 1.202 -0.101 
m5c682r3.htb 0.816 0.715 1.067 
m5c685r3.htb -0.490 -0.416 1.016 
m5c745r4.htb 0.630 2.234 0.423 
m5c755r3.htb 0.657 8.403 1.503 
m5c759r3.htb -1.295 -3.885 -1.308 
m5c762r3.htb 0.892 1.062 0.745 
m5c771r3.htb 0.774 -2.014 -0.524 
m5c777r3.htb -0.042 -6.319 -1.401 
m5c780r3.htb -0.051 -0.522 -0.371 
m5c785r3.htb -0.049 -5.845 -0.109 
m5c795r3.htb -0.181 -1.644 -0.356 
m5c799r3.htb -0.131 -3.698 -0.266 
m5c802r3.htb -0.328 0.002 0.340 
m5c807r3.htb -1.147 -2.176 -0.485 
m5c814r3.htb -0.542 -0.485 -0.372 
m5c818r3.htb 0.205 -0.596 0.070 
m5c821r3.htb -0.139 0.004 0.744 
m5c828r3.htb -0.419 0.319 -0.021 
m5c832r3.htb 0.306 0.506 0.439 
m5c835r4.htb 0.342 0.165 0.506 
m5c838r3.htb -0.331 -1.198 -0.747 
m5c862r3.htb 0.411 4.458 1.681 
m13c4r3.htb -1.869 3.010 -0.287 
m13c7r3.htb 0.314 6.158 6.457 
m13c15r3.htb -0.358 -0.503 1.742 
m13c17r3.htb 1.210 3.124 3.405 
m13c27r3.htb 3.315 -0.356 0.967 
m13c30r3.htb 1.758 2.965 2.419 
m13c36r3.htb -0.411 0.340 -2.759 
m13c40r3.htb 1.912 3.821 1.054 
m13c44r3.htb 0.140 -3.881 0.370 
m13c49r3.htb -1.285 -1.543 0.779 
m13c52r4.htb -1.019 6.195 1.969 
m13c56r3.htb -0.072 0.879 -0.116 
m13c59r3.htb -1.174 0.620 -0.318 
m13c63r3.htb -0.388 -6.894 -0.289 
m13c75r3.htb -0.767 -3.677 -0.037 
m13c78r4.htb -1.404 -0.990 0.084 
m13c81r3.htb 0.321 1.725 -3.038 
m13c86r3.htb -1.335 0.511 2.104 
m13c89r3.htb 1.204 1.251 -1.587 
m13c91r3.htb -1.428 5.765 -0.313 
m13c94r3.htb -1.739 0.652 -0.674 
m13c99r3.htb -1.686 -3.963 0.652 
m13c102r3.htb 0.677 -0.554 -1.706 
m13c105r3.htb -3.445 -5.921 -0.369 
m13c108r3.htb -0.173 1.404 -1.848 
m13c111r3.htb 0.636 3.059 -0.526 
m13c123r3.htb -0.145 -0.010 1.403 
m13c126r3.htb 0.748 0.742 -3.021 
m13c133r3.htb 3.233 2.592 1.253 
m13c137r3.htb -2.683 3.014 1.055 
m13c146r3.htb -1.077 3.113 -0.579 
m13c150r3.htb -0.995 3.853 1.870 
m13c154r3.htb -1.920 5.537 0.091 
m13c157r3.htb 3.080 11.543 0.768 
m13c160r3.htb 0.943 1.943 0.549 
m13c163r3.htb 1.627 7.010 1.591 
m13c171r3.htb -1.666 -0.914 -0.565 
m13c174r3.htb 1.195 1.854 0.053 
m13c177r3.htb -1.362 6.576 0.213 
m13c180r3.htb -0.693 -0.183 1.223 
m13c189r3.htb 1.300 2.473 -0.478 
m13c192r3.htb -2.162 1.466 -0.458 
m13c202r3.htb -1.432 0.396 -0.072 
m13c207r3.htb -0.956 0.609 1.330 
m13c211r3.htb -1.769 6.490 1.901 
m13c217r3.htb 0.062 -0.403 -1.086 
m13c220r3.htb -1.049 -2.156 1.013 
m13c228r3.htb -0.375 3.042 -2.009 
m13c232r3.htb 3.232 -0.422 -0.026 
m13c235r3.htb -1.565 1.843 0.016 
m13c240r3.htb -0.375 -2.451 -0.433 
m13c249r3.htb 1.809 -1.910 -0.408 
m13c254r3.htb -0.530 -0.895 1.072 
m13c259r3.htb 1.165 4.731 -1.272 
m13c270r3.htb 1.368 -7.254 -0.728 
m13c275r3.htb 3.311 4.968 0.031 
m13c279r3.htb 0.084 2.436 -0.127 
m13c283r3.htb 1.424 5.848 0.043 
m13c287r3.htb 0.239 3.261 0.878 
m13c291r3.htb 0.599 -4.124 -0.470 
m13c295r3.htb 0.132 5.581 2.122 
m13c298r3.htb -1.976 -10.169 -1.285 
m13c301r3.htb 2.330 -3.091 0.176 
m13c305r3.htb -0.424 -7.169 2.881 
m13c308r3.htb -3.884 1.903 -3.250 
m13c312r3.htb 0.219 -1.009 1.043 
m13c321r3.htb -0.724 -7.886 0.068 
m13c324r3.htb 3.679 -4.074 0.852 
m13c327r3.htb -2.692 0.949 -3.137 
