FILE 10_bias 20_bias 30_bias 10_thresh 20_thresh 30_thresh 11_bias 21_bias 31_bias 11_thresh 21_thresh 31_thresh 1_shift_p 2_shift_p 3_shift_p 1_slope_p 2_slope_p 3_slope_p	
m5c568r3.htb -0.261 0.155 -0.361 1.200 1.685 1.218 0.093 0.192 -0.179 1.526 1.875 0.803 0.096 0.942 0.587 0.407 0.770 0.163 
m5c574r3.htb 0.504 0.191 0.156 1.900 1.553 0.596 0.622 -1.180 -0.298 1.418 2.774 0.809 0.297 0.001 0.002 0.369 0.097 0.297 
m5c293r2.htb 1.121 -0.034 0.850 2.240 3.258 1.880 1.063 0.428 1.114 2.981 3.471 1.501 0.271 0.814 0.313 0.136 0.941 0.520 
m5c305r2.htb -0.562 0.448 0.169 3.375 2.388 1.985 -1.203 1.512 1.088 3.037 2.683 2.565 0.300 0.139 0.231 0.551 0.887 0.940 
m5c311r2.htb -0.673 0.296 0.934 3.715 2.057 1.754 -0.053 1.473 1.292 2.679 2.905 2.392 0.505 0.074 0.979 0.354 0.164 0.233 
m5c318r3.htb -1.068 0.811 0.915 2.472 3.379 1.524 -0.936 0.981 1.131 2.945 3.760 2.128 0.653 0.834 0.778 0.409 0.629 0.202 
m5c323r2.htb 0.003 0.014 1.203 1.887 2.584 1.621 0.049 0.988 0.731 3.420 3.533 2.366 0.968 0.290 0.158 0.079 0.373 0.268 
m5c330r2.htb -1.455 0.175 0.178 3.239 1.565 1.539 -1.919 -8.582 -1.180 3.711 3.555 3.144 0.533 0.000 0.003 0.254 0.002 0.026 
m5c334r2.htb 1.210 0.334 1.562 2.997 2.434 2.278 0.842 -0.199 1.322 2.552 2.028 1.357 0.904 0.096 0.472 0.578 0.457 0.244 
m5c341r2.htb 0.199 -0.592 0.872 3.074 2.547 1.443 0.269 1.159 1.015 2.530 2.760 1.715 0.775 0.000 0.938 0.480 0.820 0.468 
m5c347r2.htb 0.225 -0.372 0.152 2.027 2.948 1.595 0.322 1.664 1.167 2.074 2.692 1.657 0.749 0.000 0.000 0.890 0.763 0.791 
m5c352r2.htb 1.967 0.717 0.980 2.364 2.704 1.512 2.056 0.736 0.760 2.464 3.991 2.000 0.937 0.603 0.129 0.890 0.205 0.409 
m5c358r2.htb 1.179 0.253 0.435 2.311 2.675 1.872 1.164 -0.852 0.119 2.030 3.438 2.468 0.581 0.023 0.179 0.333 0.420 0.304 
m5c364r2.htb 0.945 1.524 0.645 1.393 2.985 2.243 1.812 -0.331 -0.061 2.688 2.062 2.200 0.984 0.000 0.033 0.050 0.319 0.136 
m5c371r2.htb 0.964 1.446 0.491 2.165 2.608 1.718 1.049 2.032 0.759 1.683 2.854 1.436 0.855 0.346 0.340 0.905 0.908 0.841 
m5c377r2.htb 0.718 0.645 0.498 2.248 2.089 1.962 0.153 1.513 0.106 1.446 2.161 1.448 0.113 0.005 0.269 0.046 0.874 0.197 
m5c381r3.htb 0.186 0.446 -0.539 1.637 2.393 1.255 0.353 0.404 -0.124 1.811 2.548 1.572 0.717 0.884 0.072 0.658 0.795 0.623 
m5c385r3.htb 1.014 -0.302 0.008 1.906 2.633 1.951 1.120 0.764 0.627 1.606 2.611 1.338 0.423 0.003 0.005 0.514 0.271 0.182 
m5c391r3.htb 0.423 -2.589 -1.690 2.537 2.111 1.616 3.233 2.253 0.564 3.322 3.354 1.412 0.000 0.000 0.000 0.282 0.071 0.585 
m5c398r3.htb -0.320 -4.341 -2.052 1.637 3.667 1.626 0.682 1.346 -0.413 2.392 2.233 1.817 0.003 0.000 0.000 0.152 0.859 0.814 
m5c405r3.htb -0.026 -1.808 -1.658 1.922 2.892 1.837 0.284 0.470 -1.071 2.634 2.774 1.971 0.070 0.000 0.020 0.241 0.663 0.735 
m5c410r3.htb 0.325 0.838 -0.078 1.968 1.807 0.980 0.243 0.261 -0.464 2.308 2.070 1.918 0.614 0.024 0.156 0.551 0.480 0.059 
m5c414r3.htb -0.236 0.388 -0.449 1.950 2.700 0.480 -0.754 -0.281 -0.964 2.600 2.224 1.613 0.275 0.114 0.743 0.346 0.517 0.602 
m5c419r3.htb -0.454 1.081 -0.014 1.755 3.014 0.920 -0.218 1.551 0.168 2.402 2.154 1.897 0.298 0.040 0.544 0.264 0.286 0.030 
m5c426r3.htb 0.004 -0.733 -0.352 2.657 2.391 2.143 0.604 3.526 0.955 1.374 2.680 1.455 0.009 0.000 0.000 0.017 0.470 0.319 
m5c431r3.htb 0.036 -0.347 -1.105 1.650 1.704 1.612 0.326 -1.306 -0.885 2.450 2.402 1.451 0.480 0.040 0.642 0.110 0.197 0.781 
