FILE	
m2c101r2.htb 0.493 0.479 0.432 0.351 0.316 0.382 0.430 0.503 0.495 0.460 0.500 0.498 0.832 0.998 0.998 0.969 300.000 27.277 14.678 26.393 33.737 300.000 98.213 30.608 58.456 300.000 242.192 33.264 2.370 1.538 1.387 0.671 
m2c103r2.htb 0.483 0.443 0.478 0.430 0.461 0.526 0.521 0.536 0.479 0.456 0.483 0.535 0.899 0.999 0.992 0.942 15.345 37.945 20.460 35.656 40.867 92.295 173.410 221.043 300.000 37.473 33.655 37.168 3.868 1.723 1.383 0.497 
m2c109r2.htb 0.460 0.535 0.528 0.410 0.345 0.376 0.421 0.365 0.478 0.419 0.471 0.465 0.773 0.989 0.999 0.989 66.219 32.250 29.244 26.256 61.188 24.328 53.979 224.812 54.116 78.296 166.900 177.992 6.120 1.067 1.067 0.669 
m2c110r2.htb 0.466 0.405 0.411 0.413 0.467 0.455 0.447 0.493 0.466 0.507 0.493 0.541 0.855 0.984 0.985 0.944 33.526 56.623 29.294 23.175 29.378 300.000 77.843 76.416 293.877 111.582 43.848 66.517 1.938 1.342 1.359 0.521 
m2c116r2.htb 0.481 0.538 0.539 0.476 0.408 0.423 0.508 0.429 0.469 0.471 0.462 0.482 0.826 1.000 1.000 0.976 37.566 300.000 60.134 71.810 82.695 300.000 59.257 60.580 57.825 78.173 65.565 71.424 1.667 1.400 0.759 0.277 
m2c119r2.htb 0.529 0.479 0.498 0.437 0.350 0.436 0.426 0.447 0.463 0.470 0.486 0.553 0.750 0.953 0.990 0.935 18.095 23.773 24.916 37.800 18.658 47.420 201.932 68.975 47.448 44.362 44.279 28.528 4.887 1.414 1.394 0.686 
m2c121r2.htb 0.443 0.443 0.445 0.448 0.397 0.381 0.374 0.400 0.458 0.424 0.481 0.488 0.727 0.969 0.967 0.920 78.647 39.653 29.658 42.040 49.768 40.496 44.195 38.564 27.777 50.539 22.751 300.000 6.621 1.209 0.979 0.577 
m2c125r2.htb 0.557 0.553 0.593 0.425 0.398 0.391 0.421 0.447 0.433 0.413 0.389 0.469 0.753 0.974 1.000 0.982 78.296 300.000 300.000 13.892 33.288 300.000 300.000 49.581 30.042 23.535 53.037 27.814 5.596 2.447 1.855 0.982 
m2c126r2.htb 0.576 0.515 0.428 0.445 0.415 0.353 0.369 0.413 0.416 0.476 0.424 0.501 0.912 0.988 0.982 0.984 129.415 18.117 22.369 17.281 31.209 40.145 44.112 120.510 167.074 73.094 300.000 300.000 1.418 1.394 1.123 0.671 
m2c127r2.htb 0.601 0.595 0.476 0.326 0.433 0.417 0.482 0.448 0.590 0.510 0.334 0.373 0.652 0.975 1.000 0.958 48.231 10.710 17.416 14.381 12.168 12.056 16.841 24.779 14.751 15.322 45.150 48.762 6.644 0.971 0.971 0.614 
m2c128r2.htb 0.511 0.509 0.415 0.362 0.400 0.448 0.402 0.420 0.477 0.516 0.546 0.560 0.914 1.000 0.934 0.950 25.998 300.000 26.793 22.275 21.250 16.327 16.532 62.411 30.891 81.377 300.000 63.217 1.527 1.243 1.039 0.369 
m2c129r2.htb 0.481 0.399 0.407 0.382 0.368 0.346 0.353 0.373 0.373 0.388 0.456 0.515 0.824 0.986 0.985 0.951 49.806 19.726 18.468 11.071 17.236 41.762 97.476 130.007 60.580 57.998 40.140 18.637 1.686 1.127 1.055 0.395 
m2c130r2.htb 0.536 0.468 0.435 0.460 0.428 0.371 0.435 0.409 0.456 0.471 0.503 0.530 0.901 0.989 0.921 0.883 24.420 13.018 10.630 8.389 12.557 19.270 111.676 34.517 69.558 80.830 300.000 25.962 1.214 0.997 0.849 0.319 
m2c131r2.htb 0.391 0.404 0.421 0.459 0.483 0.463 0.410 0.441 0.519 0.545 0.597 0.661 0.816 0.984 0.962 0.905 67.721 14.500 14.084 12.060 14.952 21.910 33.895 48.101 70.095 43.399 30.724 61.529 1.398 1.041 0.830 0.654 
m2c134r2.htb 0.452 0.489 0.453 0.441 0.455 0.444 0.469 0.450 0.504 0.559 0.626 0.621 0.882 0.999 0.999 0.951 27.136 27.136 19.128 15.850 37.588 35.963 130.007 300.000 169.445 31.565 135.565 55.296 4.814 1.203 1.203 0.764 
m2c135r2.htb 0.543 0.459 0.381 0.432 0.500 0.509 0.560 0.523 0.476 0.567 0.510 0.582 0.813 0.986 1.000 0.969 43.974 24.271 17.330 14.906 17.419 17.197 24.939 42.090 37.229 29.470 300.000 27.570 1.269 1.200 1.058 0.330 
m2c137r2.htb 0.464 0.429 0.554 0.622 0.540 0.436 0.411 0.415 0.390 0.460 0.447 0.461 0.762 1.000 0.840 0.619 22.954 30.991 17.527 10.441 11.229 14.729 16.435 31.658 34.195 63.394 97.366 66.574 1.354 1.182 1.020 0.308 
m2c138r2.htb 0.552 0.495 0.475 0.418 0.365 0.489 0.412 0.440 0.484 0.494 0.521 0.575 0.886 0.999 0.995 0.957 17.191 14.305 16.225 150.887 26.040 97.239 300.000 300.000 298.769 36.632 300.000 39.300 2.390 1.616 1.314 0.631 
m2c139r2.htb 0.446 0.411 0.474 0.476 0.463 0.396 0.411 0.523 0.489 0.549 0.544 0.603 0.827 1.000 1.000 0.993 28.068 24.954 34.826 16.512 13.788 25.749 42.809 115.383 107.928 37.747 279.665 62.354 3.571 0.931 1.152 0.342 
m2c140r2.htb 0.536 0.493 0.450 0.433 0.495 0.394 0.394 0.392 0.359 0.437 0.444 0.488 0.876 1.000 1.000 0.985 93.023 15.049 16.229 12.933 22.368 31.146 24.566 47.232 50.130 51.078 300.000 27.327 4.500 1.664 0.928 0.389 
m2c141r2.htb 0.511 0.517 0.439 0.400 0.371 0.340 0.396 0.385 0.495 0.577 0.585 0.631 0.874 1.000 0.989 0.946 48.720 14.053 15.482 23.833 14.306 15.596 19.085 21.603 32.784 23.398 23.099 122.575 1.295 1.065 0.866 0.645 
m2c143r2.htb 0.364 0.444 0.500 0.533 0.353 0.438 0.381 0.449 0.496 0.504 0.516 0.516 0.948 1.000 0.999 0.984 34.000 23.537 21.952 17.286 52.429 29.997 55.156 297.611 40.955 88.487 115.750 36.569 1.442 1.352 1.049 0.384 
m2c144r2.htb 0.586 0.544 0.537 0.418 0.394 0.399 0.427 0.326 0.444 0.444 0.413 0.516 0.953 1.000 0.984 0.971 37.596 9.026 10.953 10.591 20.887 21.799 15.240 300.000 28.871 36.641 71.810 17.846 1.624 0.922 0.617 0.504 
m2c145r2.htb 0.338 0.449 0.529 0.470 0.378 0.342 0.394 0.365 0.449 0.480 0.459 0.442 0.982 1.000 0.983 0.987 143.848 11.070 15.836 23.955 16.905 12.938 18.239 36.903 58.357 130.466 111.069 27.253 1.359 0.791 0.470 0.308 
m2c148r2.htb 0.485 0.352 0.351 0.391 0.371 0.369 0.483 0.509 0.485 0.432 0.438 0.475 0.834 1.000 1.000 0.990 48.033 13.129 18.548 11.581 14.940 29.039 67.962 76.886 57.001 300.000 300.000 95.235 7.511 1.074 0.945 0.418 
m2c149r2.htb 0.465 0.437 0.446 0.481 0.425 0.398 0.439 0.431 0.434 0.464 0.436 0.485 0.834 1.000 0.955 0.892 50.170 25.911 12.386 16.797 13.509 117.657 31.694 147.962 100.867 211.349 300.000 167.692 4.833 1.129 0.963 0.353 
m2c150r2.htb 0.584 0.536 0.387 0.403 0.373 0.343 0.440 0.426 0.428 0.467 0.532 0.532 0.937 1.000 0.996 0.989 14.006 14.291 300.000 230.917 20.988 53.215 53.183 38.547 28.746 32.849 119.208 83.505 3.402 1.127 1.014 0.395 
m2c151r2.htb 0.585 0.412 0.434 0.462 0.469 0.473 0.353 0.444 0.361 0.344 0.361 0.322 0.904 1.000 1.000 0.993 54.938 24.032 142.326 33.077 18.909 88.347 30.291 106.073 83.505 35.416 95.619 20.705 5.105 0.972 0.805 0.461 
m2c152r2.htb 0.488 0.443 0.494 0.520 0.492 0.440 0.469 0.459 0.439 0.492 0.494 0.505 0.797 0.949 0.983 0.961 46.520 17.181 16.581 7.456 10.473 17.880 300.000 47.911 76.324 112.904 54.081 35.065 6.860 1.379 1.129 0.701 
