FILE	
m2c183r2.htb -0.488 -0.162 -0.195 4.666 4.960 5.000 28.845 19.274 18.713 17.459 17.426 16.535 16.733 15.776 15.083 5.962 4.150 5.293 4.015 4.478 4.104 5.438 5.743 5.320 18.185 16.931 14.422 14.950 14.752 16.436 12.871 14.521 14.620 4.032 5.098 4.605 4.811 6.039 5.269 4.078 5.350 3.992 24.653 17.888 14.620 15.149 14.521 15.116 13.663 13.036 12.871 4.211 4.730 4.372 4.900 4.595 4.960 6.172 4.982 4.435 
m2c184r2.htb -0.785 0.630 -0.506 7.525 5.320 5.082 55.967 46.053 43.408 42.815 43.832 41.986 39.898 37.035 28.258 8.855 6.862 7.788 7.411 6.133 8.708 7.583 8.680 5.471 41.370 39.812 38.223 38.828 38.881 39.239 41.167 41.798 44.073 5.969 4.576 5.575 5.533 4.541 4.742 6.209 5.358 4.120 49.344 44.320 43.590 41.718 41.193 40.407 41.714 41.183 37.467 6.229 6.622 4.859 5.151 5.608 4.548 5.245 5.455 6.835 
m2c185r2.htb 1.564 1.168 1.847 5.801 4.701 5.513 25.916 29.183 33.886 33.614 37.005 37.723 39.653 44.827 57.797 6.152 4.023 6.022 5.756 5.599 4.886 6.741 6.771 6.364 11.386 13.119 15.446 15.668 17.129 17.104 20.569 21.535 26.807 3.871 3.331 4.016 4.545 4.720 5.147 5.076 6.392 6.434 14.530 20.446 22.995 26.485 27.673 29.158 30.891 37.302 48.465 4.251 4.801 4.058 4.865 5.777 5.877 6.991 8.882 6.393 
m2c186r2.htb 0.498 -0.030 -0.125 4.459 3.782 4.634 20.429 18.944 17.723 16.997 18.119 17.954 19.736 19.835 21.551 4.470 4.092 3.625 3.970 4.452 4.092 6.158 5.395 5.789 10.627 9.670 8.614 7.789 8.185 8.350 8.185 7.327 8.119 3.803 4.117 3.133 3.160 3.593 4.017 5.008 3.426 3.414 18.383 15.182 15.380 15.908 14.521 13.267 16.073 14.752 15.413 5.427 4.610 5.346 4.224 4.283 3.646 5.671 2.899 4.051 
m2c187r2.htb -0.046 0.129 0.043 5.546 10.341 9.972 38.526 38.344 38.554 39.844 39.334 39.983 38.254 39.004 39.124 6.278 6.204 5.496 6.535 4.062 6.671 4.968 4.287 5.384 53.015 56.496 56.766 56.616 56.586 57.426 57.006 57.276 58.266 8.859 7.701 8.316 10.344 12.121 11.765 9.159 7.058 8.946 71.437 74.347 77.402 75.098 74.617 76.118 77.108 76.328 78.308 9.945 10.243 10.078 9.966 8.652 9.829 11.334 8.155 9.001 
m2c189r2.htb 0.350 -0.343 -0.164 4.020 5.071 3.841 10.087 10.489 8.447 10.644 9.097 10.118 10.458 10.179 10.489 3.751 3.591 3.448 3.896 4.474 4.076 4.208 2.903 4.101 11.046 10.025 12.717 10.644 9.684 10.489 11.077 11.170 12.778 4.818 5.992 6.851 4.752 4.229 4.966 4.558 5.210 4.807 7.550 7.828 7.797 7.890 7.550 7.611 7.116 8.137 8.447 3.762 3.292 3.067 3.498 3.950 4.374 4.315 4.447 3.644 
m2c190r2.htb 0.201 -1.134 -0.414 4.820 8.436 7.510 4.510 5.177 6.280 6.078 6.139 7.298 6.676 5.856 7.646 3.117 3.472 4.486 4.723 4.478 4.845 5.566 3.754 6.309 27.072 23.281 18.953 17.963 19.236 16.238 14.144 11.485 12.815 9.411 9.034 8.722 8.830 9.829 8.343 6.455 6.595 7.287 26.843 19.406 16.549 17.519 16.379 16.266 15.106 15.361 9.844 7.990 7.076 7.535 8.696 8.518 6.647 6.152 8.599 4.874 
m2c191r2.htb 0.171 -0.556 -0.023 4.452 6.923 6.396 14.851 16.337 17.272 17.567 16.089 17.567 18.124 19.582 18.564 4.478 4.224 4.335 3.845 4.386 4.331 5.365 4.770 4.236 34.229 37.266 36.386 37.129 35.396 34.186 35.078 32.728 31.023 5.525 7.402 7.003 7.520 6.729 7.422 5.942 6.429 4.948 36.124 37.789 36.238 35.728 35.561 36.304 35.836 36.964 35.891 6.521 6.393 5.322 7.387 5.230 8.171 5.869 5.510 6.828 
m2c193r2.htb 0.008 -0.188 0.042 8.835 6.374 8.446 16.565 14.528 15.194 16.070 13.442 15.004 15.765 16.089 16.165 9.420 8.471 7.687 11.011 8.066 9.096 8.316 9.296 5.839 10.739 9.311 8.816 9.653 7.788 8.568 8.416 8.854 9.730 8.824 5.602 6.038 8.638 4.389 6.743 6.061 5.643 4.841 13.100 11.424 9.577 9.768 10.072 10.682 9.330 9.863 9.844 10.854 10.905 8.410 8.925 9.215 7.836 7.846 8.424 6.986 
m2c195r2.htb -0.251 -0.063 0.086 2.735 2.811 2.293 6.865 6.865 6.304 6.931 5.446 5.809 5.611 6.106 6.238 4.086 3.449 2.593 3.098 2.916 2.984 2.086 2.665 2.741 3.762 4.389 5.215 5.248 4.653 4.686 5.182 5.116 3.729 2.720 3.387 3.141 2.874 2.628 2.507 2.903 3.175 2.476 4.290 4.785 4.323 3.927 3.993 3.993 4.719 4.785 3.894 1.986 3.033 2.055 2.136 2.487 1.919 2.868 2.920 2.251 
