FILE	
m2c181r2.htb 21.611 0.568 0.116 0.568 0.261 0.006 0.940 0.586 0.570 
m2c182r2.htb 58.077 0.556 0.128 0.444 0.003 0.192 0.748 0.618 0.613 
m2c183r2.htb 14.229 0.570 0.274 0.570 0.193 0.193 0.853 0.567 0.573 
m2c184r2.htb 32.378 0.585 0.042 0.585 0.114 0.000 0.471 0.592 0.562 
m2c185r2.htb 17.781 0.482 0.666 0.518 0.000 0.784 0.830 0.749 0.749 
m2c186r2.htb 20.987 0.580 0.186 0.420 0.057 0.089 0.647 0.413 0.400 
m2c187r2.htb 9.191 0.616 0.012 0.384 0.452 0.056 0.633 0.560 0.537 
m2c189r2.htb 20.919 0.618 0.040 0.382 0.971 0.040 0.497 0.499 0.477 
m2c190r2.htb 13.944 0.473 0.524 0.527 0.673 0.659 0.662 0.479 0.476 
m2c191r2.htb 14.667 0.516 0.678 0.484 0.705 0.028 0.248 0.512 0.512 
m2c193r2.htb 15.008 0.618 0.002 0.382 0.805 0.692 0.399 0.570 0.567 
m2c195r2.htb 12.005 0.609 0.032 0.609 0.941 0.101 0.750 0.469 0.493 
m2c196r3.htb 37.908 0.669 0.002 0.331 0.109 0.179 0.336 0.602 0.577 
m2c197r2.htb 31.476 0.591 0.030 0.409 0.228 0.736 0.544 0.534 0.535 
m2c198r2.htb 26.811 0.637 0.066 0.363 0.856 0.027 0.866 0.546 0.493 
m2c199r2.htb 18.355 0.542 0.400 0.542 0.218 0.397 0.766 0.560 0.559 
m2c200r2.htb 42.527 0.661 0.000 0.339 0.322 0.828 0.467 0.564 0.555 
m2c202r2.htb 13.045 0.590 0.102 0.590 0.086 0.077 0.766 0.581 0.576 
m2c214r2.htb 49.697 0.661 0.002 0.661 0.588 0.486 0.553 0.528 0.540 
m2c220r2.htb 27.899 0.599 0.148 0.401 0.473 0.744 0.079 0.559 0.553 
m2c221r2.htb 83.505 0.542 0.352 0.458 0.143 0.207 0.464 0.596 0.593 
m2c223r2.htb 34.260 0.547 0.408 0.453 0.365 0.265 0.807 0.563 0.555 
m2c226r2.htb 18.700 0.646 0.004 0.354 0.089 0.246 0.973 0.599 0.582 
m2c231r2.htb -91.720 0.400 0.044 0.600 0.098 0.156 0.261 0.590 0.584 
