FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c149r2.htb 40.000 0.000 0.000 0.050 0.225 0.325 0.550 0.825 1.000 1.000 0.103 0.340 0.325 0.410 0.590 0.675 0.660 0.897 
m2c150r2.htb 20.000 0.000 0.000 0.150 0.350 0.600 0.550 0.950 1.000 1.000 0.406 0.360 0.508 0.424 0.576 0.492 0.640 0.594 
m2c151r2.htb 21.000 0.000 0.000 0.000 0.524 0.619 0.524 1.000 1.000 1.000 0.068 0.307 0.338 0.461 0.539 0.662 0.693 0.932 
m2c152r2.htb 30.000 0.000 0.000 0.167 0.267 0.533 0.667 0.833 1.000 1.000 0.411 0.316 0.425 0.521 0.479 0.575 0.684 0.589 
m2c155r2.htb 20.000 0.000 0.000 0.200 0.050 0.400 0.450 0.650 1.000 1.000 0.140 0.361 0.460 0.451 0.549 0.540 0.639 0.860 
m2c157r2.htb 40.000 0.000 0.000 0.050 0.275 0.550 0.700 0.925 1.000 1.000 0.000 0.036 0.245 0.420 0.580 0.755 0.964 1.000 
m2c158r2.htb 40.000 0.000 0.000 0.150 0.400 0.600 0.600 0.850 1.000 1.000 0.000 0.067 0.269 0.383 0.617 0.731 0.933 1.000 
m2c159r2.htb 40.000 0.000 0.000 0.125 0.250 0.575 0.725 0.875 1.000 1.000 0.148 0.354 0.488 0.604 0.396 0.512 0.646 0.852 
m2c160r2.htb 20.000 0.000 0.000 0.050 0.300 0.500 0.700 0.950 1.000 1.000 0.031 0.315 0.179 0.365 0.635 0.821 0.685 0.969 
m2c161r2.htb 29.000 0.000 0.000 0.138 0.345 0.567 0.793 0.759 0.931 1.000 0.152 0.153 0.492 0.316 0.684 0.508 0.847 0.848 
m2c162r2.htb 40.000 0.000 0.000 0.366 0.537 0.650 0.825 0.900 1.000 1.000 0.227 0.249 0.440 0.405 0.595 0.560 0.751 0.773 
m2c163r2.htb 39.000 0.000 0.000 0.154 0.375 0.385 0.692 0.850 1.000 1.000 0.427 0.484 0.607 0.443 0.557 0.393 0.516 0.573 
m2c168r3.htb 20.000 0.000 0.000 0.100 0.524 0.350 0.600 0.857 1.000 1.000 0.406 0.565 0.467 0.458 0.542 0.533 0.435 0.594 
m2c170r2.htb 20.000 0.000 0.000 0.100 0.350 0.450 0.650 0.900 1.000 1.000 0.340 0.181 0.473 0.453 0.547 0.528 0.819 0.660 
m2c172r2.htb 28.000 0.000 0.036 0.036 0.393 0.536 0.679 1.000 1.000 1.000 0.169 0.328 0.442 0.397 0.603 0.558 0.672 0.831 
m2c174r2.htb 24.000 0.000 0.000 0.208 0.333 0.560 0.625 0.917 1.000 1.000 0.113 0.117 0.306 0.500 0.500 0.694 0.883 0.887 
m2c175r2.htb 24.000 0.000 0.000 0.083 0.375 0.708 0.875 0.875 1.000 1.000 0.453 0.375 0.408 0.598 0.402 0.592 0.625 0.547 
m2c176r2.htb 22.000 0.000 0.000 0.091 0.318 0.500 0.682 0.864 1.000 1.000 0.288 0.536 0.352 0.512 0.488 0.648 0.464 0.712 
m2c177r2.htb 33.000 0.000 0.000 0.273 0.333 0.606 0.697 0.909 1.000 1.000 0.496 0.490 0.573 0.570 0.430 0.427 0.510 0.504 
m2c178r2.htb 30.000 0.000 0.000 0.100 0.433 0.367 0.767 0.867 1.000 1.000 0.445 0.424 0.435 0.459 0.541 0.565 0.576 0.555 
m2c179r2.htb 33.000 0.000 0.000 0.059 0.206 0.303 0.588 0.941 1.000 1.000 0.055 0.223 0.402 0.312 0.688 0.598 0.777 0.945 
m2c180r2.htb 21.000 0.000 0.048 0.048 0.190 0.524 0.476 0.762 0.952 1.000 0.366 0.315 0.498 0.481 0.519 0.502 0.685 0.634 
m2c181r2.htb 52.000 0.000 0.000 0.019 0.288 0.423 0.615 0.904 1.000 1.000 0.014 0.135 0.325 0.409 0.591 0.675 0.865 0.986 
m2c182r2.htb 60.000 0.000 0.000 0.133 0.250 0.517 0.583 0.950 1.000 1.000 0.104 0.282 0.372 0.463 0.537 0.628 0.718 0.896 
m2c183r2.htb 30.000 0.000 0.000 0.033 0.300 0.367 0.567 0.933 1.000 1.000 0.051 0.332 0.403 0.461 0.539 0.597 0.668 0.949 
m2c184r2.htb 37.000 0.000 0.000 0.211 0.378 0.432 0.568 0.892 1.000 1.000 0.003 0.183 0.346 0.446 0.554 0.654 0.817 0.997 
m2c185r2.htb 40.000 0.000 0.000 0.150 0.375 0.500 0.650 0.825 1.000 1.000 0.001 0.034 0.257 0.282 0.718 0.743 0.966 0.999 
m2c186r2.htb 30.000 0.000 0.033 0.233 0.333 0.667 0.600 0.900 1.000 1.000 0.443 0.470 0.408 0.441 0.559 0.592 0.530 0.557 
m2c187r2.htb 33.000 0.000 0.000 0.061 0.121 0.364 0.529 0.818 1.000 1.000 0.446 0.416 0.540 0.473 0.527 0.460 0.584 0.554 
m2c189r2.htb 32.000 0.000 0.000 0.031 0.219 0.406 0.688 0.938 0.969 1.000 0.480 0.508 0.365 0.539 0.461 0.635 0.492 0.520 
m2c190r2.htb 35.000 0.000 0.000 0.114 0.278 0.314 0.686 0.771 1.000 1.000 0.368 0.446 0.480 0.417 0.583 0.520 0.554 0.632 
m2c191r2.htb 35.000 0.000 0.000 0.306 0.400 0.722 0.800 0.889 1.000 1.000 0.248 0.314 0.447 0.485 0.515 0.553 0.686 0.752 
m2c193r2.htb 52.000 0.000 0.000 0.096 0.269 0.462 0.481 0.808 1.000 1.000 0.452 0.427 0.462 0.528 0.472 0.538 0.573 0.548 
m2c195r2.htb 30.000 0.000 0.000 0.133 0.267 0.567 0.600 0.900 1.000 1.000 0.487 0.457 0.423 0.385 0.615 0.577 0.543 0.513 
m2c196r3.htb 27.000 0.000 0.000 0.000 0.148 0.357 0.593 0.778 1.000 1.000 0.013 0.076 0.113 0.393 0.607 0.887 0.924 0.987 
m2c197r2.htb 42.000 0.000 0.000 0.095 0.238 0.262 0.595 0.833 1.000 1.000 0.078 0.176 0.287 0.334 0.666 0.713 0.824 0.922 
m2c198r2.htb 20.000 0.000 0.000 0.100 0.190 0.450 0.800 0.950 1.000 1.000 0.127 0.290 0.226 0.324 0.676 0.774 0.710 0.873 
m2c199r2.htb 30.000 0.000 0.000 0.200 0.267 0.633 0.833 0.933 1.000 1.000 0.146 0.268 0.401 0.533 0.467 0.599 0.732 0.854 
m2c200r2.htb 30.000 0.000 0.000 0.067 0.467 0.533 0.767 0.800 1.000 1.000 0.079 0.136 0.389 0.491 0.509 0.611 0.864 0.921 
m2c202r2.htb 40.000 0.000 0.000 0.075 0.175 0.425 0.750 0.925 1.000 1.000 0.433 0.403 0.502 0.426 0.574 0.498 0.597 0.567 
