FILE	
m5c111r2.htb 100.059 0.503 0.877 0.950 0.047 
m5c118r2.htb 11.376 0.542 0.314 0.187 0.007 
m5c125r2.htb 7.611 0.509 0.470 0.429 0.078 
m5c128r2.htb 117.836 0.487 0.702 0.982 0.473 
m5c129r2.htb 8.831 0.582 0.196 0.254 0.972 
m5c135r2.htb 11.017 0.627 0.072 0.028 0.049 
m5c140r2.htb 139.194 0.534 0.416 0.437 0.288 
m5c152r2.htb 24.757 0.625 0.060 0.256 0.433 
m5c154r2.htb 21.472 0.652 0.000 0.070 0.267 
m5c156r2.htb 26.144 0.568 0.362 0.470 0.768 
m5c159r2.htb 124.107 0.552 0.637 0.576 0.921 
m5c163r2.htb 38.969 0.462 0.552 0.666 0.097 
m5c164r3.htb 10.761 0.572 0.391 0.384 0.804 
m5c166r2.htb 56.333 0.569 0.376 0.705 0.575 
m5c167r2.htb 19.659 0.510 0.815 0.131 0.282 
m5c170r2.htb 5.804 0.569 0.114 0.639 0.467 
