FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c403r2.htb 0.474 0.565 0.652 0.565 0.472 0.574 0.679 0.575 0.421 0.518 0.618 0.519 
m2c409r2.htb 0.419 0.557 0.699 0.558 0.050 0.314 0.621 0.313 0.439 0.596 0.743 0.596 
m2c417r2.htb 0.380 0.505 0.633 0.504 0.448 0.618 0.780 0.620 0.434 0.560 0.679 0.558 
m2c423r2.htb 0.386 0.472 0.553 0.471 0.506 0.594 0.678 0.594 0.477 0.561 0.646 0.561 
m2c427r2.htb 0.416 0.512 0.607 0.511 0.409 0.502 0.598 0.502 0.376 0.493 0.618 0.494 
m2c429r2.htb 0.530 0.651 0.755 0.647 0.509 0.619 0.727 0.620 0.547 0.671 0.785 0.669 
m2c436r2.htb 0.527 0.603 0.675 0.602 0.659 0.740 0.815 0.740 0.637 0.712 0.784 0.712 
m2c441r2.htb 0.612 0.691 0.765 0.691 0.721 0.793 0.860 0.793 0.534 0.626 0.711 0.626 
m2c443r2.htb 0.447 0.528 0.612 0.529 0.575 0.664 0.746 0.663 0.487 0.566 0.646 0.567 
m2c445r2.htb 0.531 0.646 0.755 0.647 0.148 0.256 0.378 0.259 0.388 0.530 0.665 0.529 
m2c450r2.htb 0.448 0.590 0.732 0.591 0.246 0.385 0.523 0.385 0.299 0.443 0.585 0.442 
m5c4r2.htb 0.406 0.502 0.600 0.502 0.279 0.366 0.455 0.365 0.272 0.397 0.525 0.396 
m5c6r2.htb 0.547 0.634 0.716 0.634 0.374 0.450 0.524 0.450 0.317 0.418 0.521 0.418 
m5c7r2.htb 0.513 0.608 0.704 0.608 0.545 0.641 0.732 0.642 0.551 0.665 0.765 0.662 
m5c8r2.htb 0.424 0.570 0.714 0.569 0.338 0.483 0.634 0.485 0.248 0.416 0.597 0.416 
m5c13r2.htb 0.459 0.542 0.626 0.542 0.252 0.334 0.425 0.336 0.279 0.382 0.482 0.381 
m5c14r2.htb 0.410 0.499 0.588 0.499 0.515 0.605 0.688 0.603 0.321 0.417 0.518 0.417 
m5c15r2.htb 0.409 0.511 0.613 0.510 0.359 0.477 0.595 0.478 0.458 0.570 0.686 0.572 
m5c25r2.htb 0.436 0.512 0.593 0.515 0.472 0.558 0.641 0.558 0.472 0.555 0.639 0.555 
m5c29r2.htb 0.448 0.520 0.590 0.520 0.489 0.562 0.634 0.561 0.363 0.442 0.523 0.442 
m5c30r2.htb 0.355 0.503 0.649 0.503 0.366 0.538 0.711 0.537 0.261 0.402 0.555 0.404 
m5c35r2.htb 0.506 0.603 0.700 0.604 0.425 0.527 0.628 0.527 0.461 0.570 0.673 0.570 
m5c37r2.htb 0.609 0.718 0.816 0.718 0.558 0.629 0.700 0.629 0.613 0.689 0.763 0.690 
m5c38r2.htb 0.547 0.632 0.713 0.632 0.310 0.402 0.492 0.401 0.303 0.403 0.505 0.403 
m5c40r2.htb 0.406 0.485 0.564 0.485 0.394 0.465 0.542 0.467 0.419 0.514 0.601 0.512 
m5c42r2.htb 0.368 0.554 0.746 0.556 0.427 0.589 0.742 0.589 0.415 0.663 0.863 0.660 
m5c46r2.htb 0.393 0.457 0.523 0.458 0.529 0.595 0.658 0.595 0.369 0.452 0.534 0.452 
m5c49r2.htb 0.431 0.526 0.624 0.526 0.449 0.535 0.621 0.535 0.447 0.534 0.617 0.534 
m5c54r2.htb 0.399 0.495 0.595 0.495 0.478 0.585 0.690 0.586 0.408 0.538 0.670 0.538 
m5c60r2.htb 0.497 0.597 0.693 0.598 0.482 0.576 0.667 0.576 0.446 0.543 0.638 0.545 
m5c63r2.htb 0.393 0.564 0.724 0.561 0.559 0.693 0.825 0.695 0.373 0.540 0.707 0.541 
m5c66r2.htb 0.483 0.578 0.669 0.577 0.534 0.618 0.700 0.618 0.473 0.553 0.635 0.554 
m5c67r2.htb 0.265 0.405 0.554 0.405 0.452 0.565 0.670 0.564 0.427 0.542 0.660 0.544 
m5c69r2.htb 0.512 0.603 0.686 0.601 0.296 0.377 0.466 0.378 0.381 0.467 0.555 0.468 
m5c70r2.htb 0.548 0.619 0.688 0.619 0.457 0.528 0.601 0.528 0.465 0.539 0.612 0.540 
m5c71r2.htb 0.477 0.562 0.641 0.561 0.424 0.496 0.571 0.498 0.441 0.514 0.590 0.516 
m5c74r2.htb 0.446 0.541 0.636 0.541 0.430 0.505 0.580 0.504 0.435 0.516 0.601 0.518 
m5c75r2.htb 0.380 0.491 0.597 0.490 0.350 0.428 0.512 0.429 0.331 0.425 0.519 0.425 
m5c79r2.htb 0.425 0.521 0.618 0.522 0.429 0.516 0.603 0.515 0.441 0.552 0.664 0.553 
m5c81r2.htb 0.412 0.509 0.602 0.508 0.443 0.537 0.633 0.537 0.345 0.465 0.585 0.466 
m5c82r2.htb 0.414 0.569 0.716 0.568 0.328 0.457 0.590 0.457 0.378 0.522 0.669 0.523 
m5c83r2.htb 0.502 0.614 0.724 0.614 0.475 0.592 0.705 0.592 0.386 0.559 0.729 0.560 
