 
m4c48r7_9.htb	   5.40	 57.356	 40.038	 92.641	 
m4c48r11.htb	   5.40	 100.000	 88.284	 100.000	 
m4c48r18.htb	   5.40	 21.755	 15.114	 29.062	 
m4c50r1.htb	   5.60	  6.076	  2.554	  9.491	 
m4c50r3.htb	   5.60	 15.255	  9.882	 21.424	 
m4c50r1_3.htb	   5.60	 11.919	  8.075	 16.158	 
m4c50r5.htb	   5.60	 52.186	 31.174	 81.645	 
m4c50r8.htb	   5.60	 37.851	 23.677	 48.335	 
m4c50r5_8.htb	   5.60	 43.719	 31.703	 56.332	 
m4c50r13.htb	   5.60	  8.083	  5.894	 10.296	 
m4c51r1.htb	   5.00	 17.547	 10.485	 26.191	 
m4c51r5.htb	   5.00	 67.385	 24.248	 100.000	 
m4c51r8.htb	   5.00	 100.000	 92.728	 100.000	 
m4c51r5_8.htb	   5.00	 100.000	 83.481	 100.000	 
m4c51r11.htb	   5.00	 100.000	 97.546	 100.000	 
m4c51r12.htb	  -5.00	 37.896	 22.993	 57.186	 
m4c51r13.htb	   5.00	 19.849	 11.573	 29.115	 
m4c52r5.htb	   4.00	 15.042	  7.366	 24.699	 
m4c52r7.htb	   4.00	 44.348	 35.171	 51.507	 
m4c52r9.htb	   4.00	 63.618	 45.473	 85.715	 
m4c52r11.htb	   4.00	 97.458	 95.865	 100.000	 
m4c52r18.htb	   4.00	 19.212	 14.436	 24.333	 
m4c53r5.htb	   9.00	 14.963	  7.369	 22.760	 
m4c53r6.htb	   9.00	 100.000	 81.532	 100.000	 
m4c53r9.htb	   9.00	 100.000	 77.904	 100.000	 
m4c53r6_9.htb	   9.00	 100.000	 97.297	 100.000	 
m4c53r13.htb	   9.00	 100.000	 62.546	 100.000	 
m4c53r16.htb	   9.00	 21.240	 15.481	 27.554	 
m4c53r22.htb	   9.00	 10.611	  7.521	 13.650	 
m4c55r8.htb	  10.00	 25.490	 14.754	 38.804	 
m4c55r13.htb	  10.00	 82.718	 48.369	 100.000	 
m4c55r14.htb	  10.00	 98.278	 95.214	 100.000	 
m4c55r18.htb	  10.00	 26.760	 18.910	 32.246	 
m4c56r3.htb	   9.00	 12.042	  9.083	 15.264	 
m4c56r5.htb	   9.00	 100.000	 100.000	 100.000	 
m4c56r8.htb	   9.00	 13.433	  9.505	 17.496	 
m4c59r4.htb	   7.00	 20.475	 12.736	 25.265	 
m4c59r14.htb	   7.00	 83.236	 52.725	 100.000	 
m4c59r15.htb	   2.00	 23.982	 13.931	 30.920	 
m4c59r16.htb	   8.56	 26.752	 14.741	 45.140	 
m4c59r17.htb	   5.90	 43.854	 20.733	 100.000	 
m4c59r13.htb	   7.00	 35.270	 21.715	 48.905	 
m4c59r19.htb	   8.60	 35.660	 20.239	 56.630	 
m4c59r20.htb	   2.00	 16.868	 10.412	 24.692	 
m4c59r21.htb	   5.90	 27.817	 17.083	 40.821	 
m4c59r18.htb	   7.00	 21.451	 13.820	 30.648	 
m4c59r22.htb	   8.60	 16.859	 11.153	 23.102	 
m3c1218r9.htb	   2.00	 100.000	 98.996	 100.000	 
m3c1218r10.htb	   3.00	 45.867	 26.592	 49.761	 
m3c1218r11.htb	   1.00	 35.505	 19.131	 64.137	 
m3c1218r12.htb	   4.00	 59.053	 37.306	 80.073	 
m3c1218r13.htb	   6.00	 56.364	 38.582	 74.347	 
m3c1218r14.htb	   4.00	 27.479	 14.502	 46.884	 
m3c1218r15.htb	   2.00	 30.848	 20.717	 42.938	 
m3c1218r16.htb	   3.00	 24.918	  9.441	 45.967	 
m3c1218r17.htb	   1.00	 36.546	 17.051	 88.165	 
m3c1218r18.htb	   4.00	 13.310	  4.539	 25.257	 
m3c1218r19.htb	   4.00	 34.222	 18.920	 49.143	 
m3c943r2.htb	  -5.00	 42.744	 34.017	 48.916	 
m3c943r2.htb	   5.00	 33.744	 24.647	 41.081	 
m3c944r2.htb	  -5.00	 100.000	 97.887	 100.000	 
m3c944r2.htb	   5.00	 36.234	 27.708	 44.184	 
m3c945r2.htb	  -5.00	 48.060	 39.919	 56.773	 
m3c945r2.htb	   5.00	 26.819	 22.218	 31.199	 
