FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m5c404r1.htb 58.416 58.086 48.845 66.667 40.924 45.545 62.046 59.406 56.766 54.125 60.066 13.689 2.251 11.511 5.065 6.752 13.903 9.262 6.617 3.593 9.110 17.162 13.861 13.201 21.122 50.825 79.538 108.911 113.531 129.043 36.304 2.829 2.425 2.651 7.013 10.533 3.856 15.258 2.651 20.319 2.651 
m5c409r1.htb 46.205 50.165 46.865 50.495 52.475 44.884 50.165 45.875 58.086 39.604 53.795 4.278 9.835 3.705 5.982 2.021 2.829 3.454 7.013 1.852 7.287 42.904 43.234 40.924 49.835 50.165 46.865 45.545 41.254 34.983 41.584 11.596 2.021 9.531 9.002 8.054 2.829 3.501 4.102 5.438 3.705 
m5c408r1.htb 60.644 77.888 81.188 70.627 78.548 69.307 72.937 77.558 80.198 64.686 77.888 3.981 3.052 5.954 8.204 0.000 2.139 7.869 14.702 5.954 5.347 80.528 88.779 83.828 76.238 78.878 72.607 68.812 47.855 43.894 74.587 3.524 6.036 6.872 2.425 9.244 5.161 7.551 5.615 8.754 5.347 
m5c406r1.htb 51.815 75.908 59.736 64.686 66.337 61.056 70.297 63.366 76.898 59.406 62.376 5.702 10.057 3.157 9.471 10.154 6.223 6.679 9.323 3.501 5.557 69.967 95.710 90.759 88.119 82.508 68.977 77.228 66.337 57.096 67.657 2.829 10.876 3.234 5.286 3.981 2.829 18.364 11.943 0.808 4.278 
m5c407r1.htb 46.782 53.135 48.515 47.525 48.515 53.135 57.426 53.135 62.871 47.195 57.756 5.281 4.667 4.122 5.659 10.389 4.537 2.164 8.158 5.403 6.699 55.776 66.667 61.716 68.647 73.267 75.908 57.096 50.495 44.884 58.086 2.380 3.806 1.746 7.283 5.145 4.760 5.403 2.061 3.719 1.190 
m5c411r1.htb 26.733 35.644 36.634 34.323 33.663 26.733 38.614 35.644 32.673 31.683 35.974 5.218 3.183 2.380 4.122 2.492 11.673 4.316 1.512 4.917 3.806 16.502 19.554 24.092 36.634 48.515 50.495 38.284 36.304 28.053 18.152 6.112 0.547 4.862 5.513 1.715 4.884 2.701 6.425 8.862 4.585 
m5c412r1.htb 25.248 39.604 37.294 37.294 28.053 35.644 34.653 36.964 39.934 42.244 43.894 5.513 2.251 1.069 2.915 1.213 1.852 4.220 6.727 5.255 10.105 23.432 18.482 26.073 30.693 49.175 46.205 40.924 33.993 32.013 20.792 1.762 7.013 5.830 2.100 0.808 6.353 4.967 2.651 3.454 2.492 
m5c413r1.htb 38.119 58.086 59.406 42.574 47.855 43.317 53.713 49.175 50.248 44.224 53.795 4.135 2.492 2.599 4.440 2.614 4.881 3.675 1.707 1.439 9.241 33.003 39.274 37.954 43.234 45.215 42.904 44.554 38.119 46.040 33.003 3.806 3.250 3.148 6.915 2.310 2.877 6.844 2.113 5.611 1.838 
m5c415r1.htb 34.158 65.594 60.644 59.901 59.406 57.426 66.337 59.901 67.987 66.089 74.587 6.689 4.676 5.208 1.143 5.239 3.933 6.559 6.576 1.503 7.782 67.327 69.554 73.267 88.119 70.297 71.947 60.066 60.066 53.960 59.076 8.929 4.388 4.001 8.003 1.512 2.164 8.581 5.839 3.777 3.891 
m5c416r1.htb 70.792 106.931 85.809 98.762 82.508 87.624 93.069 92.574 106.931 94.389 83.498 6.875 5.187 8.380 0.873 2.492 9.300 7.446 9.445 4.862 7.055 87.789 108.251 113.861 118.317 131.353 115.182 96.700 103.960 86.139 96.370 8.751 3.446 4.122 2.492 8.935 8.171 10.760 11.241 10.906 6.004 
