FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m5c37r1.htb 0.709 -0.187 
m5c38r1.htb -1.118 0.907 
m5c40r1.htb -1.340 4.865 
m5c42r1.htb -1.796 1.090 
m5c46r1.htb 0.939 -0.120 
m5c49r1.htb 2.526 3.393 
m5c54r1.htb -0.529 -6.145 
m5c60r1.htb -1.344 6.861 
m5c63r1.htb 0.730 0.622 
m5c66r1.htb 1.444 3.359 
m5c67r1.htb 0.171 -3.400 
m5c69r1.htb 2.531 -4.320 
m5c70r1.htb 4.125 1.025 
m5c71r1.htb -0.729 -3.406 
m5c74r1.htb 0.956 -5.839 
m5c75r1.htb -2.015 8.903 
m5c79r1.htb -0.430 1.128 
m5c81r1.htb -1.143 7.249 
m5c82r1.htb -1.739 -0.889 
m5c83r1.htb -1.726 -5.047 
m5c87r1.htb 0.932 -0.328 
m5c92r1.htb 1.764 -4.712 
m5c94r1.htb -0.979 -0.644 
m5c95r1.htb -1.481 -0.879 
m5c100r1.htb -1.961 4.977 
m5c103r1.htb -5.862 1.157 
m5c107r1.htb -1.378 0.000 
m5c108r1.htb 0.790 0.770 
m5c109r1.htb -1.261 3.017 
m5c111r1.htb -0.894 -16.717 
m5c118r1.htb 3.315 -0.187 
m5c125r1.htb 2.343 -2.141 
m5c128r1.htb 2.384 5.778 
m5c129r1.htb 1.495 -0.000 
m5c135r1.htb 1.134 -1.003 
m5c140r1.htb -0.649 -1.617 
m5c152r1.htb 3.105 -2.441 
m5c154r1.htb 0.190 1.597 
m5c156r1.htb 0.938 0.766 
m5c159r1.htb -0.949 -2.880 
m5c163r1.htb -2.582 5.152 
m5c164r1.htb -2.582 5.152 
m5c166r1.htb -1.131 0.985 
m5c167r1.htb -1.650 -0.934 
m5c170r1.htb 4.833 -9.200 
