FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c198r1.htb 5.149 23.020 29.208 23.515 15.099 8.663 6.436 11.386 10.644 7.921 14.604 2.208 1.715 4.486 3.915 1.268 1.777 3.183 2.815 2.952 2.107 18.317 13.861 15.099 13.366 11.386 15.842 26.980 21.535 19.307 14.851 0.990 2.470 2.158 2.970 0.990 0.660 1.082 1.946 1.953 1.235 
m2c199r1.htb 32.871 36.832 49.505 49.505 48.515 53.267 49.109 41.980 36.040 29.505 29.307 4.221 5.332 1.949 1.949 3.419 1.243 2.230 2.338 4.088 1.140 35.050 39.406 50.099 68.713 54.653 42.178 32.277 20.792 31.089 32.871 2.680 1.374 2.230 3.143 2.306 1.805 1.627 1.949 2.230 1.693 
m2c200r1.htb 6.931 18.218 19.802 9.901 12.079 2.772 5.743 4.554 4.752 6.139 10.495 3.597 5.513 1.750 3.744 0.952 2.605 0.564 1.182 1.233 2.920 51.089 71.287 65.347 21.188 3.960 1.188 3.366 3.366 5.347 23.564 4.061 3.976 3.072 5.007 0.783 0.542 0.828 0.828 0.828 2.169 
m2c202r1.htb 29.703 15.644 21.386 22.574 18.812 32.277 31.881 19.208 17.426 14.653 10.891 4.163 3.665 2.558 3.604 4.091 1.993 4.395 2.089 2.083 2.011 11.089 15.644 23.564 58.812 27.723 13.069 5.545 4.158 5.149 5.149 1.898 3.560 3.401 4.505 2.689 1.502 0.751 1.281 1.898 2.053 
m2c214r1.htb 14.851 16.634 19.010 18.812 11.485 23.960 26.337 28.713 19.010 10.297 16.634 2.485 5.126 3.721 2.680 3.100 1.426 3.819 3.594 3.258 3.577 9.901 15.248 15.248 40.594 65.743 64.158 52.673 43.762 15.050 9.505 2.548 1.027 4.151 4.850 4.518 3.542 5.161 2.333 1.418 0.899 
m2c220r1.htb 4.356 10.693 15.248 9.901 6.139 5.149 6.931 9.307 5.347 6.931 11.881 1.502 4.016 2.374 1.619 0.414 2.041 2.364 0.965 0.700 2.689 2.574 3.960 3.366 6.337 20.396 31.683 27.327 18.020 9.505 3.564 0.899 1.526 1.664 0.828 2.490 3.483 2.415 3.809 3.528 0.564 
m2c221r1.htb 12.673 52.871 48.119 43.366 38.416 27.525 17.624 16.634 18.614 22.772 39.208 2.814 6.545 3.273 4.177 2.510 3.158 1.581 1.993 3.721 1.736 4.158 8.119 7.525 5.149 10.693 13.465 23.168 35.248 39.208 13.663 1.460 4.378 2.465 1.542 2.252 2.440 1.968 1.736 4.612 0.886 
m2c223r1.htb 5.658 28.878 23.927 14.356 11.551 14.356 21.452 15.842 14.191 16.337 21.617 4.519 2.721 3.369 3.139 1.502 2.838 3.314 1.473 0.918 1.780 5.611 3.795 4.620 0.660 15.512 38.944 60.726 62.046 47.030 6.436 1.649 0.859 1.625 0.362 1.499 1.974 2.287 2.032 1.935 1.276 
m2c226r1.htb 16.832 49.307 39.208 31.683 24.554 19.208 20.396 22.574 22.970 27.723 42.574 2.279 3.614 3.412 1.832 1.805 1.999 4.043 1.657 2.425 2.548 49.505 28.317 26.733 11.485 12.871 7.129 5.941 6.931 15.446 46.139 3.483 2.941 3.376 1.999 3.150 1.657 2.158 1.750 3.350 4.436 
m2c231r1.htb 34.851 48.713 28.119 30.891 33.465 30.495 26.931 31.089 40.198 43.762 46.535 4.028 3.907 2.582 2.809 2.652 5.267 4.352 3.476 2.279 3.430 3.168 2.970 4.158 10.297 68.911 88.911 93.267 92.277 54.257 3.168 0.813 0.700 1.542 2.563 3.044 5.232 3.841 4.235 1.619 1.073 
m2c233r1.htb 23.168 28.713 22.525 21.287 24.752 25.495 25.990 32.426 33.416 36.881 31.188 1.617 1.707 2.578 1.683 1.642 1.889 2.351 2.736 2.442 4.537 18.069 9.901 8.416 10.149 9.158 11.139 42.327 81.683 133.911 47.277 2.853 0.933 0.990 1.574 2.054 1.642 1.503 4.188 4.534 5.390 
m2c236r1.htb 8.204 15.182 22.277 15.347 18.812 25.578 26.568 35.149 29.868 20.792 16.172 2.515 4.873 2.253 4.498 2.464 2.663 5.031 3.412 3.003 3.887 41.089 31.117 25.248 35.314 73.267 84.653 90.594 91.584 79.066 50.495 7.565 5.494 3.670 4.055 1.940 4.170 5.606 2.866 6.222 4.978 
m2c237r1.htb 22.489 21.947 27.063 28.548 34.983 36.799 33.946 35.974 32.249 22.112 26.874 2.764 3.826 2.573 2.710 1.845 3.465 2.468 2.822 2.252 3.357 22.442 35.644 52.475 118.647 117.492 88.449 39.439 28.713 20.627 22.937 2.577 3.498 3.498 5.174 6.228 7.850 2.588 3.118 1.265 2.558 
m2c240r1.htb 25.347 48.317 56.238 62.376 61.188 58.614 63.366 52.277 36.436 36.040 40.594 2.485 4.702 3.302 2.460 3.951 5.061 3.793 4.754 1.968 4.838 19.406 18.218 16.436 14.455 8.911 13.663 11.683 10.297 11.089 13.663 2.440 2.230 2.390 2.857 2.524 3.139 2.852 3.023 3.100 4.702 
