FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m5c682r1.htb 0.614 0.818 0.645 0.860 
m5c682r2.htb 2.018 0.768 0.687 0.720 
m5c685r1.htb 0.463 0.896 0.632 0.881 
m5c685r2.htb 1.755 0.958 0.675 0.677 
m5c745r1.htb 0.590 1.063 0.705 0.946 
m5c745r2.htb 1.405 1.051 0.802 0.872 
m5c755r1.htb 0.917 1.029 0.731 0.905 
m5c755r2.htb 1.500 1.058 0.817 0.845 
m5c759r1.htb 2.048 1.059 0.697 0.879 
m5c759r2.htb 1.795 1.269 0.747 0.701 
m5c762r1.htb 0.887 0.935 0.613 0.896 
m5c762r2.htb 1.009 0.924 0.742 0.744 
m5c771r1.htb 1.059 0.865 0.650 0.898 
m5c771r2.htb 0.890 0.734 0.800 0.720 
m5c777r1.htb 0.826 0.940 0.689 0.892 
m5c777r2.htb 1.429 0.852 0.865 0.721 
m5c780r1.htb 0.541 1.511 0.697 0.879 
m5c780r2.htb 1.433 0.825 0.744 0.816 
m5c785r1.htb 0.755 1.199 0.632 0.929 
m5c785r2.htb 1.675 0.994 0.768 0.785 
m5c795r1.htb 0.907 0.825 0.618 0.876 
m5c795r2.htb 2.585 1.680 0.827 0.848 
m5c799r1.htb 2.468 1.163 0.675 0.903 
m5c799r2.htb 1.314 1.341 0.855 0.845 
m5c802r1.htb 0.978 0.842 0.646 0.843 
m5c802r5.htb 0.649 0.662 0.731 0.717 
m5c807r1.htb 0.734 0.912 0.737 0.840 
m5c807r2.htb 2.419 1.072 0.704 0.804 
m5c814r1.htb 1.020 1.058 0.721 0.887 
m5c814r2.htb 1.029 0.764 0.801 0.810 
m5c818r1.htb 0.911 0.619 0.746 0.771 
m5c818r2.htb 1.075 0.720 0.790 0.784 
m5c821r1.htb 0.781 0.624 0.687 0.669 
m5c821r2.htb 0.913 0.894 0.753 0.790 
m5c828r1.htb 0.672 1.022 0.682 0.912 
m5c828r2.htb 1.213 0.786 0.704 0.749 
m5c832r1.htb 1.265 1.788 0.817 0.841 
m5c832r2.htb -4.692 1.224 0.550 0.802 
m5c835r1.htb 1.917 1.427 0.674 0.881 
m5c835r3.htb 2.783 1.429 0.789 0.694 
m5c838r1.htb 22.778 0.812 0.517 0.832 
m5c838r2.htb 0.861 0.746 0.847 0.759 
m5c862r1.htb 0.581 1.008 0.591 0.922 
m5c862r2.htb 0.986 0.864 0.838 0.836 
m13c4r1.htb 0.676 1.743 0.631 0.861 
m13c4r2.htb -4.556 2.021 0.738 0.751 
m13c7r1.htb 0.940 1.103 0.727 0.900 
m13c7r2.htb 1.376 0.681 0.709 0.751 
m13c15r1.htb 1.126 1.615 0.595 0.869 
m13c15r2.htb -0.727 -16.897 0.623 0.645 
m13c17r1.htb 0.753 1.679 0.705 0.804 
m13c17r2.htb -1.494 1.458 0.714 0.740 
m13c27r1.htb 0.470 1.610 0.439 0.771 
m13c27r2.htb -3.786 2.030 0.640 0.691 
m13c30r1.htb 0.603 1.131 0.800 0.892 
m13c30r2.htb 1.323 0.743 0.675 0.834 
m13c36r1.htb 0.635 0.951 0.802 0.922 
m13c36r2.htb 0.675 0.572 0.833 0.864 
m13c40r1.htb 0.808 0.911 0.664 0.847 
m13c40r2.htb -5.195 3.008 0.744 0.720 
m13c44r1.htb 1.162 1.053 0.775 0.688 
m13c44r2.htb 2.032 0.799 0.644 0.715 
m13c49r1.htb 1.136 1.186 0.570 0.712 
m13c49r2.htb 3.080 0.990 0.551 0.625 
m13c52r1.htb 0.629 1.212 0.831 0.894 
m13c52r2.htb -12.375 1.008 0.795 0.882 
m13c56r1.htb 1.112 1.171 0.784 0.772 
m13c56r2.htb 175.000 1.111 0.568 0.807 
m13c59r1.htb 0.587 0.722 0.708 0.824 
m13c59r2.htb 2.992 0.746 0.774 0.835 
m13c63r1.htb 0.584 1.503 0.676 0.904 
m13c63r2.htb 3.568 0.779 0.652 0.688 
m13c75r1.htb 0.502 0.940 0.743 0.903 
m13c75r2.htb 1.193 0.714 0.803 0.828 
m13c78r1.htb 0.479 1.098 0.615 0.884 
m13c78r2.htb 1.340 0.532 0.805 0.704 
m13c81r1.htb 0.663 1.340 0.641 0.864 
m13c81r2.htb 1.142 0.738 0.884 0.743 
