FILE	 Spon	 VesPref	 VisPref	 VesP	 VisP	 VesDDI	 VisDDI	 Congruency
m13c30r1.htb	 10.891	 50.801	 179.005	 0.123	 0.000	 -1.452	 3.536	 -0.363	 
m13c30r1.htb	 0.000	 17.663	 346.220	 0.000	 0.001	 -5.170	 0.707	 0.186	 
m13c30r1.htb	 7.723	 247.408	 194.124	 0.057	 0.000	 0.409	 2.370	 0.553	 
m13c30r1.htb	 4.554	 247.790	 187.013	 0.012	 0.000	 0.683	 5.779	 0.289	 
m13c30r1.htb	 18.218	 159.467	 184.024	 0.060	 0.000	 -0.691	 3.913	 0.082	 
m13c30r1.htb	 13.663	 208.675	 184.669	 0.000	 0.000	 2.146	 4.216	 0.783	 
m13c30r1.htb	 0.000	 17.653	 315.976	 0.000	 0.001	 -5.170	 0.707	 0.162	 
m13c30r1.htb	 0.000	 360.000	 315.000	 0.487	 0.005	 NaN	 NaN	 0.032	 
m6c223r1.htb	 34.901	 315.754	 164.028	 0.071	 0.000	 -0.115	 1.961	 -0.229	 
m6c223r2.htb	 21.188	 24.692	 139.840	 0.049	 0.000	 -2.335	 10.227	 -0.421	 
m6c223r2.htb	 21.782	 23.723	 138.662	 0.171	 0.000	 -1.851	 11.179	 -0.427	 
m6c223r2.htb	 19.005	 17.918	 137.849	 0.660	 0.000	 -0.772	 7.379	 -0.525	 
m6c223r2.htb	 20.594	 22.709	 139.814	 0.071	 0.000	 -2.397	 10.354	 -0.440	 
m6c223r2.htb	 20.943	 15.551	 137.842	 0.124	 0.000	 -1.822	 7.033	 -0.513	 
m13c30r1.htb	 4.158	 22.458	 183.399	 0.002	 0.000	 -2.763	 3.930	 -0.334	 
m13c30r1.htb	 14.059	 193.671	 184.851	 0.042	 0.000	 0.738	 2.353	 0.481	 
m13c30r1.htb	 13.663	 208.675	 184.669	 0.000	 0.000	 2.146	 4.216	 0.783	 
m13c30r1.htb	 0.000	 17.381	 315.976	 0.000	 0.001	 -5.828	 0.707	 0.183	 
