 FILE	        neuro1 	 neuro2 	 stim 	 pref1 	 p1 	 pref2 	 p2 	 DiffPref 	 noisecorrelation
m17c28r1.htb	 1.0000	 3.0000	 2.0000	 248.5391	 0.0469	 248.5391	 0.0469	 82.8194	 0.2596	 
m17c28r1.htb	 1.0000	 4.0000	 1.0000	 342.7846	 0.0000	 342.7846	 0.0000	 242.8620	 -0.1077	 
m17c28r1.htb	 1.0000	 4.0000	 2.0000	 248.5391	 0.0018	 248.5391	 0.0018	 28.8407	 0.1467	 
m17c28r1.htb	 2.0000	 3.0000	 1.0000	 60.6332	 0.0017	 60.6332	 0.0017	 286.9807	 0.0195	 
m17c28r1.htb	 2.0000	 3.0000	 2.0000	 53.6223	 0.0469	 53.6223	 0.0469	 277.7363	 0.2252	 
m17c28r1.htb	 2.0000	 4.0000	 1.0000	 60.6332	 0.0000	 60.6332	 0.0000	 39.2894	 -0.2364	 
m17c28r1.htb	 2.0000	 4.0000	 2.0000	 53.6223	 0.0018	 53.6223	 0.0018	 223.7575	 -0.3253	 
m17c28r1.htb	 3.0000	 4.0000	 1.0000	 347.6139	 0.0000	 347.6139	 0.0000	 247.6913	 -0.0433	 
m17c28r1.htb	 3.0000	 4.0000	 2.0000	 331.3586	 0.0018	 331.3586	 0.0018	 53.9788	 -0.1791	 
m17c29r1.htb	 1.0000	 2.0000	 1.0000	 356.9547	 0.0000	 356.9547	 0.0000	 353.1430	 -0.1054	 
m17c29r1.htb	 1.0000	 2.0000	 2.0000	 350.3848	 0.0022	 350.3848	 0.0022	 112.6724	 -0.0507	 
m17c30r1.htb	 1.0000	 2.0000	 1.0000	 7.6710	 0.0022	 7.6710	 0.0022	 7.8273	 0.0127	 
m17c30r1.htb	 1.0000	 2.0000	 2.0000	 283.0526	 0.0000	 283.0526	 0.0000	 244.8130	 -0.1906	 
m17c31r1.htb	 1.0000	 2.0000	 1.0000	 7.2419	 0.0000	 7.2419	 0.0000	 136.1076	 -0.0305	 
