FILE	         Spon	 HTIve	 HTIvi	 VesP	         VisP	  VesPre	   VisPre	   VesSlo	    VisSlo      minVes      minVis     maxVes       maxVis
m2c138r1.htb	 6.93	    0.24	   0.29	   0.07	   0.00	   66.59	    20.12	   101.25	    101.25	    12.28	    14.26	   23.56	    46.73	    
m2c139r1.htb	 26.24	    0.83	   0.74	   0.01	   0.00	   47.67	    246.72	   101.25	    337.50	    12.21	    6.93	   37.95	    47.52	    
m2c140r1.htb	 3.17	    0.52	   0.79	   0.00	   0.00	   18.11	    20.86	   101.25	    78.75	    2.48	    0.00	   28.47	    46.29	    
m2c141r1.htb	 8.75	    0.12	   0.56	   0.09	   0.00	   346.33	    235.92	   78.75	    292.50	    12.28	    6.34	   24.95	    54.46	    
m2c143r1.htb	 26.14	    0.12	   0.72	   0.02	   0.00	   213.21	    298.91	   56.25	    247.50	    31.88	    7.52	   46.93	    39.80	    
m2c144r1.htb	 15.84	    0.59	   0.68	   0.00	   0.00	   207.76	    196.19	   292.50	    101.25	    16.58	    5.20	   39.11	    51.73	    
m2c145r1.htb	 12.48	    0.54	   0.55	   0.00	   0.00	   181.25	    164.36	   123.75	    78.75	    11.39	    10.89	   29.95	    61.88	    
m2c148r1.htb	 31.09	    0.02	   0.78	   0.04	   0.00	   256.01	    301.54	   123.75	    56.25	    33.27	    13.07	   50.30	    45.54	    
m2c149r1.htb	 7.92	    0.57	   0.63	   0.00	   0.00	   204.26	    193.56	   292.50	    101.25	    7.67	    3.47	   29.46	    39.11	    
m2c150r1.htb	 14.85	    0.53	   0.75	   0.00	   0.00	   313.84	    331.28	   22.50	    247.50	    15.59	    6.68	   41.58	    76.73	    
m2c151r1.htb	 10.69	    0.71	   0.78	   0.00	   0.00	   175.21	    123.79	   101.25	    78.75	    6.73	    5.94	   20.54	    39.60	    
m2c152r1.htb	 10.50	    0.85	   0.83	   0.00	   0.00	   282.90	    258.23	   247.50	    292.50	    4.46	    6.68	   24.75	    66.53	    
m2c155r1.htb	 9.65	    0.42	   0.34	   0.00	   0.00	   353.01	    203.04	   292.50	    123.75	    14.19	    18.15	   37.29	    57.76	    
m2c157r1.htb	 27.72	    0.79	   0.63	   0.00	   0.00	   174.91	    161.17	   123.75	    78.75	    7.67	    18.81	   64.60	    99.80	    
m2c158r1.htb	 24.75	    0.73	   0.77	   0.00	   0.00	   150.92	    164.53	   78.75	    101.25	    6.93	    2.97	   92.08	    65.94	    
