FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c140r1.htb 3.168 18.108 20.858 0.000 0.000 28.465 28.465 27.228 16.337 2.475 2.970 5.198 12.129 3.960 16.337 3.473 4.582 4.679 5.291 0.572 1.617 0.547 1.642 1.143 2.741 41.089 46.287 43.564 11.881 0.990 0.000 0.990 1.485 0.743 15.842 2.535 2.158 2.877 1.044 0.808 0.000 0.808 1.095 0.286 3.200 
m2c141r1.htb 8.746 346.327 235.920 0.085 0.000 21.584 24.950 20.396 15.677 12.277 14.653 20.000 20.396 16.040 22.178 3.628 4.250 1.936 2.773 2.089 3.793 2.306 2.920 1.898 3.731 12.475 6.337 7.723 18.020 10.297 16.832 31.881 41.584 54.455 19.208 1.904 1.192 2.534 3.197 1.999 3.358 2.197 3.265 3.208 3.614 
m2c143r1.htb 26.139 213.214 298.906 0.016 0.000 42.772 38.218 31.881 34.455 35.842 42.178 45.347 46.931 38.416 38.416 3.841 4.310 4.043 4.662 2.999 3.546 1.729 1.426 3.997 4.043 28.515 17.624 11.683 7.525 11.881 15.446 15.050 22.574 36.040 39.802 2.410 1.502 1.073 0.664 1.107 2.415 1.073 1.764 2.059 2.083 
m2c144r1.htb 15.842 207.758 196.188 0.000 0.000 18.317 18.564 19.307 16.584 21.782 25.990 35.149 39.109 28.713 16.584 2.310 3.144 2.214 1.503 3.200 1.503 1.777 4.950 2.761 3.442 5.941 5.198 5.198 13.861 41.832 51.733 48.267 51.733 44.802 5.693 2.139 1.351 1.946 1.808 1.268 8.909 1.503 1.889 3.345 1.574 
m2c145r1.htb 12.475 181.246 164.355 0.000 0.000 12.129 11.386 11.634 18.317 20.792 29.208 18.812 29.950 15.099 16.089 3.280 2.214 2.891 2.858 3.333 2.970 0.933 4.814 3.915 2.054 10.891 13.614 17.079 43.564 61.139 61.881 46.782 39.109 35.891 11.881 1.548 0.719 3.178 4.597 10.025 8.935 4.184 3.806 3.442 2.238 
m2c148r1.htb 31.089 256.010 301.537 0.035 0.000 46.337 50.297 39.604 37.228 33.267 45.545 45.347 49.307 42.376 42.376 3.040 3.711 2.129 2.563 3.350 4.335 2.359 3.100 3.216 3.273 37.624 27.723 19.010 13.069 20.297 21.287 22.772 29.505 44.752 45.545 1.715 1.762 1.865 1.542 1.830 2.001 1.457 1.460 0.886 1.565 
m2c149r1.htb 7.921 204.259 193.563 0.000 0.000 9.406 7.921 7.673 13.861 12.376 18.317 25.248 29.455 22.030 9.158 2.310 2.139 2.486 3.645 1.361 2.214 1.777 2.351 3.566 1.946 3.465 7.921 8.416 15.347 31.931 34.653 39.109 36.881 31.436 8.416 1.095 1.808 0.990 0.990 1.503 3.524 0.990 2.530 3.038 2.008 
m2c150r1.htb 14.851 313.841 331.282 0.000 0.000 33.416 18.317 15.594 18.812 17.327 16.337 21.287 18.317 32.178 41.584 3.038 2.113 4.236 1.548 1.190 1.650 4.188 0.738 4.029 2.034 66.584 34.158 19.554 10.396 11.881 7.426 6.683 8.168 49.505 76.733 1.642 2.357 2.208 2.661 3.555 1.896 0.857 0.719 3.792 4.341 
m2c151r1.htb 10.693 175.214 123.788 0.000 0.000 7.178 7.129 6.733 10.891 18.564 20.545 18.069 11.287 12.277 12.079 1.779 0.645 0.542 0.700 1.098 1.098 0.474 0.899 0.828 1.542 5.941 8.663 15.842 30.446 39.604 33.168 15.099 8.416 9.406 10.891 1.762 1.636 1.457 3.115 2.666 2.572 1.585 2.195 1.310 1.939 
m2c152r1.htb 10.495 282.899 258.227 0.000 0.000 11.881 8.911 7.426 4.703 4.455 7.673 10.891 12.624 24.752 20.198 1.457 1.400 1.642 1.238 1.539 1.098 2.322 2.925 4.631 4.691 6.683 9.653 7.921 8.168 9.406 9.653 12.871 46.782 66.535 26.980 1.363 2.471 1.278 2.036 3.581 0.248 1.750 1.098 4.264 0.623 
m2c155r1.htb 9.653 353.014 203.036 0.002 0.000 34.323 28.713 24.422 21.782 18.812 14.521 14.191 14.851 21.122 37.294 4.501 3.208 3.157 3.501 1.400 1.069 0.404 2.800 1.069 4.662 23.762 20.132 18.152 20.792 32.013 47.525 57.756 49.505 39.274 31.683 0.700 3.593 2.251 3.208 2.829 1.400 2.829 4.259 2.251 2.524 
