FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c157r1.htb 7.921 7.673 20.297 29.208 42.822 64.604 63.168 52.970 23.515 11.634 4.917 2.195 8.104 3.284 2.604 8.180 8.056 5.968 4.072 4.230 
m2c158r1.htb 10.891 16.040 32.277 72.277 82.178 87.327 92.079 52.277 12.475 6.931 4.850 13.474 11.171 13.950 8.517 4.921 7.105 11.555 7.329 5.000 
m2c159r1.htb 63.762 46.337 48.317 26.931 20.792 26.139 22.970 28.119 39.802 58.020 4.461 4.395 11.765 9.403 6.605 5.495 2.146 5.670 10.009 1.930 
m2c160r1.htb 58.416 51.287 52.475 53.267 49.505 48.119 44.356 45.743 56.040 54.059 5.816 7.119 1.565 5.116 3.208 2.765 3.239 8.236 8.733 5.799 
m2c161r1.htb 16.832 22.772 25.545 26.535 43.168 41.782 45.743 40.990 28.515 19.010 8.744 8.224 6.119 3.003 8.927 8.266 10.275 6.047 6.039 8.839 
m2c162r1.htb 18.317 16.832 15.842 15.594 13.366 21.040 32.079 39.604 32.921 23.515 4.001 6.157 4.042 3.824 1.715 2.727 5.539 1.980 4.740 4.230 
m2c163r1.htb 22.277 13.861 10.149 8.663 9.406 15.842 21.535 19.802 19.307 19.307 9.650 3.960 4.528 1.691 4.082 4.501 3.370 1.617 3.660 1.715 
m2c168r1.htb 4.703 9.653 5.941 11.139 10.891 12.376 10.396 10.644 10.891 6.188 2.195 9.714 2.681 2.957 1.808 2.357 3.477 3.649 4.278 4.072 
m2c170r1.htb 29.208 27.723 24.257 34.406 33.416 38.861 37.624 42.327 30.446 33.911 6.788 4.714 4.162 8.979 5.505 7.513 8.631 6.782 2.604 6.229 
m2c172r1.htb 14.191 15.099 13.366 8.168 5.941 6.601 6.188 2.640 13.366 20.462 3.183 3.738 2.357 2.041 5.239 3.025 6.436 2.492 3.835 2.492 
m2c174r1.htb 6.683 8.168 9.653 15.594 21.287 21.535 21.287 15.099 9.653 3.960 3.271 3.170 3.271 1.485 3.078 1.485 3.660 2.195 2.727 2.139 
m2c175r1.htb 15.347 15.050 20.050 24.010 20.792 24.257 23.366 20.545 18.812 7.921 10.861 2.029 8.140 2.041 1.980 4.609 8.183 3.271 2.425 2.556 
m2c176r1.htb 20.594 28.515 18.020 20.396 16.040 14.059 9.703 10.099 14.653 18.218 10.557 3.003 5.748 3.809 5.998 4.046 5.662 6.079 5.957 4.461 
m2c177r1.htb 12.277 15.446 7.327 11.881 15.248 11.089 6.931 4.752 2.574 10.693 2.279 3.178 2.675 7.242 1.930 8.325 3.835 4.395 1.129 5.530 
m2c178r1.htb 36.634 35.050 33.168 29.950 34.653 39.109 40.594 31.436 23.762 35.891 4.501 6.477 4.884 4.072 3.524 6.391 5.301 6.177 4.850 3.824 
m2c179r1.htb 31.485 33.861 31.881 24.158 20.594 11.485 7.525 5.545 7.921 17.426 4.717 3.923 5.350 8.001 2.835 1.930 2.384 1.930 2.425 1.129 
m2c180r1.htb 23.762 23.564 20.000 16.634 17.624 20.792 24.092 25.149 18.218 25.347 3.638 2.563 3.528 1.469 3.458 6.223 3.740 5.220 4.779 3.178 
m2c181r1.htb 26.139 35.842 50.099 59.802 62.970 60.594 47.723 17.030 5.545 15.050 7.560 11.101 10.539 7.363 5.627 4.106 5.164 6.545 2.485 5.019 
m2c182r1.htb 19.406 21.386 18.614 16.634 18.218 14.653 10.693 5.149 8.515 13.465 2.582 6.477 5.068 4.612 4.177 5.396 5.396 1.291 3.328 3.744 
m2c183r1.htb 36.634 25.941 29.505 26.535 34.059 48.515 61.386 64.752 35.842 32.475 9.950 7.188 5.441 3.923 8.390 4.428 4.142 10.837 5.486 5.304 
m2c184r1.htb 17.624 22.178 23.366 33.465 45.347 57.228 60.198 57.624 33.267 21.782 6.545 8.031 7.939 2.146 10.534 8.236 9.711 10.742 8.592 5.899 
m2c185r1.htb 76.634 74.455 62.772 41.188 27.129 27.129 27.921 23.960 35.842 57.624 12.575 7.995 4.980 4.350 1.129 7.624 5.068 4.505 3.387 10.227 
m2c186r1.htb 24.356 24.554 22.772 24.158 24.158 22.376 21.188 19.802 25.149 26.931 3.611 1.771 3.052 2.582 2.675 1.930 2.485 2.800 1.799 3.923 
m2c187r1.htb 19.059 22.178 21.188 25.545 26.535 22.970 16.832 18.812 18.317 19.802 4.381 6.515 10.232 4.769 1.771 3.665 4.850 2.139 5.858 5.513 
m2c189r1.htb 17.228 10.693 11.485 16.832 14.257 13.663 16.634 26.535 34.851 19.406 5.220 5.350 4.931 9.288 2.384 7.553 9.584 7.871 6.119 9.766 
m2c190r1.htb 9.703 9.307 5.743 3.960 5.545 2.574 4.356 5.347 10.297 8.317 4.717 5.078 3.084 1.852 3.611 1.502 3.178 4.779 4.623 2.937 
m2c191r1.htb 22.772 17.228 20.000 17.228 13.267 12.079 14.059 18.416 25.941 22.970 3.898 4.293 2.563 4.728 2.485 2.657 0.828 4.293 3.923 2.258 
m2c193r1.htb 47.525 42.970 35.644 36.040 41.386 47.327 60.000 58.812 54.851 48.713 8.631 7.296 12.563 4.235 8.354 5.618 4.931 9.716 10.905 4.921 
m2c195r1.htb 7.921 0.330 2.640 4.950 4.950 9.571 14.851 24.752 39.274 21.782 2.915 0.572 2.061 1.980 1.715 3.183 6.493 3.960 5.453 2.620 
m2c196r1.htb 42.327 45.545 36.139 29.208 18.564 21.782 19.307 25.743 19.307 37.129 2.195 15.717 2.061 2.357 4.072 6.907 7.775 1.808 10.921 8.145 
m2c197r1.htb 21.188 20.198 14.653 20.792 13.861 14.653 16.436 16.238 15.644 16.634 1.930 2.675 3.665 5.423 3.501 4.921 4.779 5.078 3.314 3.597 
m2c198r1.htb 23.020 29.208 23.515 15.099 8.663 6.436 11.386 10.644 7.921 14.604 3.824 2.970 7.770 6.782 2.195 3.078 5.513 4.876 5.113 3.649 
m2c199r1.htb 36.832 49.505 49.505 48.515 53.267 49.109 41.980 36.040 29.505 29.307 8.442 10.664 3.898 3.898 6.838 2.485 4.461 4.676 8.177 2.279 
m2c200r1.htb 18.218 19.802 9.901 12.079 2.772 5.743 4.554 4.752 6.139 10.495 7.194 11.025 3.501 7.488 1.904 5.211 1.129 2.364 2.465 5.841 
m2c202r1.htb 15.644 21.386 22.574 18.812 32.277 31.881 19.208 17.426 14.653 10.891 8.325 7.329 5.116 7.208 8.183 3.985 8.789 4.177 4.165 4.022 
m2c214r1.htb 16.634 19.010 18.812 11.485 23.960 26.337 28.713 19.010 10.297 16.634 4.970 10.251 7.442 5.359 6.199 2.852 7.637 7.188 6.515 7.153 
m2c220r1.htb 10.693 15.248 9.901 6.139 5.149 6.931 9.307 5.347 6.931 11.881 3.003 8.031 4.748 3.239 0.828 4.082 4.728 1.930 1.400 5.378 
m2c221r1.htb 52.871 48.119 43.366 38.416 27.525 17.624 16.634 18.614 22.772 39.208 5.627 13.090 6.545 8.354 5.019 6.316 3.162 3.985 7.442 3.472 
m2c223r1.htb 28.878 23.927 14.356 11.551 14.356 21.452 15.842 14.191 16.337 21.617 10.105 6.085 7.534 7.020 3.358 6.345 7.409 3.294 2.053 3.981 
m2c226r1.htb 49.307 39.208 31.683 24.554 19.208 20.396 22.574 22.970 27.723 42.574 4.559 7.228 6.824 3.665 3.611 3.997 8.086 3.314 4.850 5.097 
m2c231r1.htb 48.713 28.119 30.891 33.465 30.495 26.931 31.089 40.198 43.762 46.535 8.056 7.815 5.164 5.618 5.304 10.534 8.705 6.952 4.559 6.860 
m2c233r1.htb 28.713 22.525 21.287 24.752 25.495 25.990 32.426 33.416 36.881 31.188 2.800 2.957 4.465 2.915 2.844 3.271 4.072 4.740 4.230 7.859 
m2c236r1.htb 15.182 22.277 15.347 18.812 25.578 26.568 35.149 29.868 20.792 16.172 5.624 10.896 5.039 10.058 5.510 5.954 11.250 7.629 6.715 8.692 
m2c237r1.htb 21.947 27.063 28.548 34.983 36.799 33.946 35.974 32.249 22.112 26.874 6.181 8.555 5.753 6.060 4.126 7.748 5.519 6.310 5.036 7.506 
m2c240r1.htb 48.317 56.238 62.376 61.188 58.614 63.366 52.277 36.436 36.040 40.594 4.970 9.403 6.605 4.921 7.902 10.121 7.586 9.507 3.936 9.676 
m2c241r1.htb 15.446 13.663 11.287 11.881 18.416 19.010 15.842 28.119 27.129 25.941 5.965 2.029 4.350 4.259 3.472 0.828 2.887 4.676 4.516 4.338 
m2c242r1.htb 36.040 40.198 55.842 63.960 64.752 68.911 62.178 48.713 33.267 29.703 6.664 3.401 7.228 8.212 9.330 9.144 6.470 3.860 3.873 10.242 
m2c244r1.htb 27.723 24.010 23.267 29.950 21.535 20.545 16.089 23.515 23.515 20.792 9.901 8.338 6.883 6.486 6.925 3.738 3.824 0.948 3.065 2.139 
m2c247r1.htb 20.462 20.462 21.782 27.228 31.188 25.578 26.568 24.422 19.142 25.083 6.850 4.996 5.126 6.766 9.047 4.220 4.490 4.090 3.633 1.947 
m2c252r1.htb 3.762 7.921 7.129 11.485 10.099 13.465 13.069 19.010 6.733 6.535 3.923 5.982 4.820 4.980 5.304 3.611 6.545 6.802 2.146 2.279 
m2c254r1.htb 9.109 9.505 8.713 7.327 5.347 2.772 2.574 2.574 5.545 9.703 2.563 2.852 3.665 2.384 2.169 1.771 1.657 1.799 5.220 5.116 
m2c258r1.htb 30.363 36.436 28.713 29.901 25.908 23.102 12.706 25.149 38.218 21.287 14.025 7.995 6.744 10.227 16.866 9.260 4.662 7.363 11.083 4.094 
m2c260r1.htb 16.832 19.554 20.396 17.426 13.861 12.871 17.327 15.446 20.297 16.832 6.417 2.957 2.765 4.881 2.287 3.430 1.896 3.472 4.391 3.835 
m2c262r1.htb 17.162 13.201 13.036 7.426 11.551 7.921 7.426 14.686 17.327 27.228 5.589 4.278 5.217 4.046 6.157 6.071 2.920 4.173 2.783 12.122 
m2c364r1.htb 11.089 10.297 10.297 15.050 14.653 13.267 11.881 14.059 10.099 6.337 3.665 4.569 2.937 1.469 3.239 3.997 3.898 5.350 4.282 1.328 
m2c365r1.htb 43.168 36.040 37.426 25.941 26.337 23.960 29.109 29.307 27.723 35.050 5.495 5.313 9.936 5.575 8.506 8.867 12.179 4.235 4.259 9.330 
m2c368r1.htb 43.706 44.837 33.522 37.341 36.775 36.775 42.574 39.321 34.229 41.160 10.578 6.585 3.544 3.736 8.845 3.635 17.711 10.380 8.398 11.671 
m2c369r1.htb 16.407 16.007 22.348 22.112 21.452 23.102 25.908 21.122 17.822 12.541 4.604 4.745 12.138 7.788 5.589 6.850 4.947 6.314 6.954 3.353 
m2c370r1.htb 16.667 18.482 22.937 27.393 24.752 31.023 25.248 22.442 13.531 16.997 4.867 6.376 1.705 5.963 5.530 4.837 2.783 3.740 6.437 3.218 
m2c372r1.htb 13.267 15.050 16.832 13.267 16.634 15.248 11.485 17.030 22.574 19.010 3.178 8.177 5.097 3.019 3.731 6.127 3.328 3.923 3.239 4.921 
m2c374r1.htb 15.644 14.257 15.446 20.990 22.376 24.554 28.515 20.990 18.812 19.208 2.029 2.675 2.675 2.920 4.516 5.068 4.395 3.923 4.901 2.852 
m2c376r1.htb 15.644 12.079 10.891 9.505 19.010 22.772 17.822 17.228 10.297 11.683 6.693 2.563 3.705 6.047 3.084 3.770 10.121 9.171 2.384 4.559 
m2c378r1.htb 28.218 11.683 3.465 3.713 6.931 10.149 8.911 17.822 5.941 11.139 7.982 4.338 3.284 2.340 3.570 6.016 5.301 9.967 2.139 2.604 
