
m2c404r1.htb	 2.000	 74.059	 41.386	 17.426	 13.069	 223.887	 218.388	 227.545	 227.257	 286.285	 263.425	 289.800	 259.355	 0.001	 0.003	 0.204	 0.010	 0.000	 0.001	 0.000	 0.023	 1.000	 0.723	 0.000	 0.000	 1.000	 0.930	 1.000	 0.856	 0.000	 0.000	 0.000	 0.002	 
m2c407r1.htb	 2.000	 62.706	 51.815	 13.531	 3.300	 150.768	 157.686	 173.411	 350.569	 181.186	 165.044	 153.369	 216.675	 0.992	 0.962	 0.868	 0.786	 0.002	 0.006	 0.027	 0.000	 1.000	 0.985	 0.000	 0.000	 1.000	 0.905	 1.000	 0.956	 0.000	 0.000	 0.000	 0.000	 
m2c417r1.htb	 2.000	 109.406	 69.472	 18.317	 52.805	 21.521	 18.057	 29.067	 14.269	 20.778	 18.708	 29.882	 345.087	 0.003	 0.006	 0.014	 0.008	 0.317	 0.900	 0.001	 0.699	 1.000	 0.948	 0.000	 0.000	 1.000	 0.948	 1.000	 0.843	 0.000	 0.000	 0.000	 0.002	 
m2c418r1.htb	 2.000	 83.564	 62.574	 10.297	 34.851	 73.423	 78.420	 4.402	 33.902	 56.697	 56.106	 125.109	 54.819	 0.368	 0.304	 0.407	 0.069	 0.000	 0.001	 0.027	 0.008	 1.000	 0.933	 0.000	 0.000	 1.000	 0.996	 1.000	 0.993	 0.000	 0.000	 0.000	 0.000	 
m2c425r1.htb	 2.000	 58.663	 46.287	 5.941	 9.158	 159.100	 211.011	 142.807	 210.166	 67.167	 287.572	 102.742	 321.416	 0.044	 0.147	 0.481	 0.463	 0.001	 0.000	 0.003	 0.000	 1.000	 0.665	 0.000	 0.000	 1.000	 0.907	 1.000	 0.790	 0.000	 0.000	 0.000	 0.007	 
m2c430r1.htb	 2.000	 73.267	 22.970	 22.376	 7.525	 158.495	 165.192	 154.941	 180.148	 192.938	 164.794	 301.728	 164.580	 0.001	 0.286	 0.000	 0.182	 0.000	 0.000	 0.000	 0.000	 1.000	 0.764	 0.000	 0.000	 1.000	 0.875	 1.000	 0.842	 0.000	 0.001	 0.000	 0.002	 
m2c442r1.htb	 2.000	 66.761	 57.001	 7.214	 9.194	 17.087	 19.277	 355.171	 41.461	 137.264	 135.639	 166.468	 124.409	 0.002	 0.002	 0.013	 0.014	 0.000	 0.000	 0.001	 0.004	 1.000	 0.986	 0.000	 0.000	 1.000	 0.994	 1.000	 0.999	 0.000	 0.000	 0.000	 0.000	 
m2c443r1.htb	 2.000	 58.416	 48.350	 5.446	 2.640	 170.778	 174.348	 152.388	 177.989	 342.988	 343.689	 341.626	 337.192	 0.000	 0.000	 0.015	 0.000	 0.000	 0.000	 0.000	 0.047	 1.000	 0.954	 0.000	 0.000	 1.000	 0.992	 1.000	 0.999	 0.000	 0.000	 0.000	 0.000	 
m2c446r1.htb	 2.000	 84.752	 51.683	 13.267	 20.000	 1.062	 0.361	 353.026	 146.496	 356.443	 357.032	 353.478	 354.395	 0.003	 0.624	 0.000	 0.308	 0.000	 0.000	 0.000	 0.000	 1.000	 0.733	 0.000	 0.000	 1.000	 0.851	 1.000	 0.997	 0.000	 0.002	 0.000	 0.000	 
m5c40r1.htb	 2.000	 60.594	 48.317	 5.743	 4.356	 5.468	 4.322	 8.609	 349.994	 171.369	 172.209	 168.876	 162.432	 0.010	 0.140	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 1.000	 0.985	 0.000	 0.000	 1.000	 0.989	 1.000	 0.999	 0.000	 0.000	 0.000	 0.000	 
m5c62r1.htb	 2.000	 63.168	 40.594	 10.693	 10.693	 130.469	 137.945	 343.374	 151.999	 180.011	 186.030	 128.568	 198.496	 0.172	 0.085	 0.426	 0.000	 0.000	 0.000	 0.000	 0.000	 1.000	 0.862	 0.000	 0.000	 1.000	 0.912	 1.000	 0.969	 0.000	 0.000	 0.000	 0.000	 
m5c65r1.htb	 2.000	 89.901	 41.386	 25.149	 6.931	 181.989	 162.762	 317.149	 160.342	 165.925	 179.560	 131.123	 206.376	 0.004	 0.000	 0.265	 0.000	 0.000	 0.000	 0.000	 0.000	 1.000	 0.862	 0.000	 0.000	 1.000	 0.934	 1.000	 0.942	 0.000	 0.000	 0.000	 0.000	 
m5c69r1.htb	 2.000	 94.059	 79.455	 7.426	 24.010	 218.873	 242.859	 200.527	 256.131	 0.288	 351.987	 16.172	 348.940	 0.000	 0.000	 0.000	 0.001	 0.000	 0.001	 0.000	 0.001	 1.000	 0.948	 0.000	 0.000	 1.000	 0.938	 1.000	 0.983	 0.000	 0.000	 0.000	 0.000	 
m5c109r1.htb	 2.000	 64.752	 52.871	 5.545	 2.970	 20.505	 21.598	 18.386	 63.063	 177.381	 176.515	 179.354	 142.378	 0.018	 0.044	 0.003	 0.306	 0.000	 0.000	 0.000	 0.000	 1.000	 0.979	 0.000	 0.000	 1.000	 0.992	 1.000	 0.995	 0.000	 0.000	 0.000	 0.000	 
m5c111r1.htb	 2.000	 69.505	 43.762	 11.683	 11.089	 242.402	 208.809	 254.935	 177.702	 5.899	 4.491	 7.089	 11.734	 0.018	 0.088	 0.009	 0.044	 0.000	 0.000	 0.000	 0.000	 1.000	 0.780	 0.000	 0.000	 1.000	 0.850	 1.000	 0.994	 0.000	 0.002	 0.000	 0.000	 
m5c135r1.htb	 2.000	 112.277	 78.416	 19.010	 23.762	 256.345	 269.217	 169.482	 284.783	 289.420	 290.778	 237.446	 294.323	 0.008	 0.028	 0.006	 0.000	 0.000	 0.000	 0.000	 0.000	 1.000	 0.937	 0.000	 0.000	 1.000	 0.958	 1.000	 0.996	 0.000	 0.000	 0.000	 0.000	 
