FILE	 Spon	 VesPref	 VisPref	 VesP	 VisP	 VesDDI	 VisDDI	 Congruency
m5c535r1.htb	 98.020	 146.515	 14.399	 0.451	 0.000	 -1.104	 -10.594	 -0.251	 
m5c532r1.htb	 33.911	 252.206	 17.300	 0.926	 0.006	 0.115	 -14.225	 -0.227	 
m5c533r1.htb	 54.455	 67.085	 9.001	 0.025	 0.000	 5.425	 -17.786	 -0.432	 
m5c534r1.htb	 74.587	 134.463	 185.383	 0.750	 0.157	 -0.213	 0.623	 0.036	 
m5c537r1.htb	 62.376	 167.536	 195.554	 0.997	 0.000	 0.914	 2.724	 0.562	 
m5c538r1.htb	 64.356	 177.365	 183.186	 0.968	 0.000	 0.196	 3.115	 0.476	 
m5c539r1.htb	 73.267	 195.271	 134.457	 0.552	 0.001	 0.795	 5.498	 0.539	 
m5c541r1.htb	 45.875	 31.078	 38.756	 0.671	 0.000	 0.177	 -2.521	 0.325	 
m5c542r1.htb	 68.564	 141.058	 43.916	 0.016	 0.005	 0.554	 -3.252	 -0.203	 
m5c543r1.htb	 53.135	 24.582	 330.886	 0.083	 0.029	 -0.132	 -3.014	 0.040	 
m5c545r1.htb	 77.888	 320.618	 169.767	 0.961	 0.086	 -0.176	 1.828	 -0.423	 
m5c546r1.htb	 110.149	 63.639	 155.383	 0.103	 0.000	 -2.785	 3.465	 -0.545	 
m5c547r1.htb	 72.937	 51.824	 146.174	 0.197	 0.000	 0.032	 11.690	 -0.060	 
m5c549r1.htb	 58.663	 220.953	 9.153	 0.313	 0.000	 0.268	 -4.112	 -0.137	 
m5c550r1.htb	 114.191	 322.073	 19.670	 0.729	 0.000	 -0.458	 -5.567	 0.374	 
m5c551r1.htb	 73.597	 42.570	 20.199	 0.615	 0.000	 0.515	 -6.255	 -0.224	 
m5c553r1.htb	 66.337	 331.180	 185.123	 0.316	 0.422	 0.488	 2.688	 0.148	 
m5c554r1.htb	 81.782	 294.555	 22.832	 0.888	 0.474	 0.399	 0.904	 0.267	 
m5c555r1.htb	 67.079	 15.997	 129.092	 0.349	 0.000	 0.235	 1.156	 -0.122	 
m5c557r1.htb	 66.667	 10.014	 163.812	 0.025	 0.016	 0.120	 1.818	 -0.625	 
m5c558r1.htb	 40.264	 54.576	 157.947	 0.952	 0.099	 -0.448	 0.816	 0.122	 
m5c559r1.htb	 46.865	 275.693	 130.053	 0.059	 0.001	 0.420	 6.291	 -0.383	 
m5c562r1.htb	 42.574	 275.165	 161.943	 0.645	 0.002	 0.475	 3.287	 -0.054	 
m5c563r1.htb	 58.663	 153.559	 147.425	 0.898	 0.004	 0.385	 3.466	 0.210	 
m5c564r1.htb	 41.584	 163.793	 200.356	 0.758	 0.388	 -0.846	 1.988	 0.003	 
m5c566r1.htb	 37.129	 238.292	 38.619	 0.198	 0.007	 -0.558	 -1.710	 -0.354	 
m5c568r1.htb	 66.337	 239.795	 357.284	 0.601	 0.472	 0.280	 0.934	 0.034	 
m5c567r1.htb	 50.165	 211.397	 359.253	 0.026	 0.671	 -0.126	 -0.971	 -0.484	 
m5c569r1.htb	 66.997	 13.446	 168.678	 0.831	 0.054	 -0.593	 2.149	 -0.570	 
m5c570r1.htb	 56.436	 33.950	 138.080	 0.104	 0.046	 0.708	 3.461	 -0.295	 
m5c571r1.htb	 64.356	 224.421	 3.270	 0.914	 0.003	 1.285	 -1.684	 -0.287	 
m5c572r1.htb	 65.677	 330.614	 39.229	 0.609	 0.006	 -1.660	 -1.727	 0.322	 
m5c573r1.htb	 57.756	 130.216	 13.214	 0.584	 0.001	 -0.409	 -6.316	 0.337	 
m5c575r1.htb	 33.911	 274.285	 18.935	 0.019	 0.001	 1.897	 -1.973	 -0.299	 
m5c576r1.htb	 59.076	 327.336	 34.308	 0.817	 0.003	 0.445	 -2.969	 -0.111	 
m5c577r1.htb	 77.558	 222.850	 12.733	 0.586	 0.001	 -0.469	 -15.066	 -0.485	 
m5c579r1.htb	 34.901	 301.644	 14.340	 0.620	 0.755	 -0.339	 0.345	 -0.037	 
m5c580r1.htb	 46.287	 234.069	 25.009	 0.045	 0.000	 1.375	 0.301	 -0.248	 
m5c581r1.htb	 53.465	 217.756	 20.570	 0.429	 0.005	 0.683	 0.103	 -0.725	 
m5c582r1.htb	 58.911	 211.633	 34.341	 0.462	 0.004	 1.563	 -0.998	 -0.809	 
m5c584r1.htb	 50.743	 232.181	 45.022	 0.054	 0.019	 2.388	 -0.678	 -0.581	 
m5c585r1.htb	 50.825	 209.789	 23.468	 0.013	 0.134	 1.103	 -0.786	 -0.766	 
m5c586r1.htb	 59.901	 248.122	 194.010	 0.055	 0.001	 -0.399	 1.754	 0.065	 
m5c587r1.htb	 49.835	 266.389	 217.559	 0.399	 0.001	 -1.633	 0.854	 0.191	 
m5c589r1.htb	 9.571	 287.355	 202.721	 0.361	 0.015	 -0.089	 1.210	 -0.003	 
m5c590r1.htb	 18.812	 54.637	 193.408	 0.836	 0.082	 1.278	 1.581	 0.077	 
m5c591r1.htb	 30.693	 346.715	 179.290	 0.071	 0.070	 -3.278	 1.851	 -0.670	 
m5c592r1.htb	 13.531	 359.372	 215.468	 0.007	 0.008	 -1.445	 1.024	 -0.508	 
m5c594r1.htb	 60.726	 192.724	 178.823	 0.003	 0.035	 -0.051	 0.152	 0.731	 
m5c595r1.htb	 40.594	 200.876	 141.329	 0.072	 0.148	 1.437	 -2.037	 0.319	 
m5c596r1.htb	 33.911	 194.139	 51.818	 0.013	 0.037	 0.768	 -1.248	 -0.589	 
